* Measurement data measured by REW V5.40 beta 112
* Source: SSL 2+, MICROPHONE, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 16, 2026, 12:59:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L RDSL-REVP-0925-B001p Jan 16
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz); SPL(dB); Phase(degrees)
20.141602; 52.288; -166.1257
20.507812; 52.332; -166.0260
20.874023; 52.363; -165.8665
21.240234; 52.383; -165.6903
21.606445; 52.394; -165.5284
21.972656; 52.397; -165.3943
22.338867; 52.392; -165.2893
22.705078; 52.382; -165.2114
23.071289; 52.369; -165.1609
23.437500; 52.354; -165.1405
23.803711; 52.340; -165.1514
24.169922; 52.327; -165.1911
24.536132; 52.315; -165.2533
24.902343; 52.306; -165.3304
25.268554; 52.299; -165.4160
25.634765; 52.295; -165.5051
26.000976; 52.294; -165.5938
26.367187; 52.296; -165.6785
26.733398; 52.299; -165.7554
27.099609; 52.305; -165.8211
27.465820; 52.311; -165.8728
27.832031; 52.317; -165.9094
28.198242; 52.324; -165.9318
28.564452; 52.331; -165.9423
28.930663; 52.337; -165.9435
29.296874; 52.343; -165.9375
29.663085; 52.347; -165.9260
30.029296; 52.350; -165.9111
30.395507; 52.352; -165.8956
30.761718; 52.353; -165.8820
31.127929; 52.354; -165.8715
31.494140; 52.353; -165.8639
31.860351; 52.353; -165.8587
32.226562; 52.353; -165.8562
32.592772; 52.353; -165.8576
32.958983; 52.354; -165.8623
33.325194; 52.355; -165.8682
33.691405; 52.358; -165.8718
34.057616; 52.361; -165.8715
34.423827; 52.365; -165.8683
34.790038; 52.370; -165.8631
35.156249; 52.376; -165.8543
35.522460; 52.380; -165.8376
35.888671; 52.385; -165.8099
36.254882; 52.390; -165.7731
36.621092; 52.395; -165.7339
36.987303; 52.400; -165.6978
37.353514; 52.403; -165.6648
37.719725; 52.404; -165.6292
38.085936; 52.403; -165.5866
38.452147; 52.402; -165.5386
38.818358; 52.402; -165.4928
39.184569; 52.402; -165.4567
39.550780; 52.402; -165.4317
39.916991; 52.401; -165.4147
40.283201; 52.401; -165.4020
40.649412; 52.401; -165.3929
41.015623; 52.402; -165.3872
41.381834; 52.404; -165.3819
41.748045; 52.407; -165.3721
42.114256; 52.412; -165.3558
42.480467; 52.420; -165.3368
42.846678; 52.429; -165.3197
43.212889; 52.437; -165.3022
43.579100; 52.444; -165.2724
43.945311; 52.451; -165.2191
44.311521; 52.458; -165.1431
44.677732; 52.467; -165.0591
45.043943; 52.476; -164.9827
45.410154; 52.482; -164.9154
45.776365; 52.483; -164.8443
46.142576; 52.481; -164.7569
46.508787; 52.478; -164.6570
46.874998; 52.476; -164.5625
47.241209; 52.474; -164.4892
47.607420; 52.469; -164.4367
47.973631; 52.462; -164.3953
48.339841; 52.456; -164.3629
48.706052; 52.451; -164.3500
49.072263; 52.447; -164.3632
49.438474; 52.442; -164.3883
49.804685; 52.438; -164.3993
50.170896; 52.441; -164.3901
50.537107; 52.454; -164.3938
50.903318; 52.472; -164.4509
51.269529; 52.486; -164.5514
51.635740; 52.490; -164.6153
52.001951; 52.493; -164.5547
52.368161; 52.511; -164.3746
52.734372; 52.554; -164.2048
53.100583; 52.606; -164.1914
53.466794; 52.636; -164.3300
53.833005; 52.621; -164.4168
54.199216; 52.580; -164.1985
54.565427; 52.561; -163.6310
54.931638; 52.599; -163.0090
55.297849; 52.674; -162.7494
55.664060; 52.714; -162.9790
56.030271; 52.660; -163.3501
56.396481; 52.522; -163.2730
56.762692; 52.397; -162.4426
57.128903; 52.395; -161.3107
57.495114; 52.514; -160.8819
57.861325; 52.612; -161.7787
58.227536; 52.507; -163.6057
58.593747; 52.108; -165.0659
58.959958; 51.497; -164.4550
59.326169; 51.002; -160.7393
59.692380; 51.037; -155.3772
60.058591; 51.625; -151.8504
60.424801; 52.355; -151.9124
60.791012; 52.860; -154.6856
61.157223; 53.005; -158.3947
61.523434; 52.835; -161.4152
61.889645; 52.520; -162.7206
62.255856; 52.287; -162.3333
62.622067; 52.269; -161.3681
62.988278; 52.410; -161.0445
