* Measurement data measured by REW V5.40 beta 112
* Source: SSL 2+, MICROPHONE, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 16, 2026, 12:53:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: RDSL-REVP-0925-N002p
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz); SPL(dB); Phase(degrees)
20.141602; 51.899; -166.3378
20.507812; 51.951; -166.2182
20.874023; 51.988; -166.0329
21.240234; 52.014; -165.8252
21.606445; 52.030; -165.6275
21.972656; 52.036; -165.4551
22.338867; 52.033; -165.3106
22.705078; 52.024; -165.1933
23.071289; 52.011; -165.1045
23.437500; 51.995; -165.0484
23.803711; 51.979; -165.0282
24.169922; 51.964; -165.0425
24.536132; 51.949; -165.0854
24.902343; 51.935; -165.1490
25.268554; 51.925; -165.2260
25.634765; 51.917; -165.3119
26.000976; 51.913; -165.4029
26.367187; 51.912; -165.4954
26.733398; 51.914; -165.5843
27.099609; 51.917; -165.6641
27.465820; 51.923; -165.7304
27.832031; 51.930; -165.7812
28.198242; 51.937; -165.8171
28.564452; 51.945; -165.8397
28.930663; 51.953; -165.8504
29.296874; 51.960; -165.8499
29.663085; 51.966; -165.8393
30.029296; 51.971; -165.8206
30.395507; 51.975; -165.7968
30.761718; 51.978; -165.7710
31.127929; 51.979; -165.7459
31.494140; 51.980; -165.7232
31.860351; 51.980; -165.7044
32.226562; 51.980; -165.6905
32.592772; 51.979; -165.6815
32.958983; 51.978; -165.6761
33.325194; 51.978; -165.6724
33.691405; 51.978; -165.6701
34.057616; 51.980; -165.6702
34.423827; 51.983; -165.6739
34.790038; 51.986; -165.6794
35.156249; 51.989; -165.6817
35.522460; 51.993; -165.6750
35.888671; 51.997; -165.6573
36.254882; 52.003; -165.6319
36.621092; 52.010; -165.6043
36.987303; 52.016; -165.5774
37.353514; 52.021; -165.5489
37.719725; 52.025; -165.5136
38.085936; 52.027; -165.4692
38.452147; 52.029; -165.4183
38.818358; 52.031; -165.3666
39.184569; 52.033; -165.3187
39.550780; 52.034; -165.2754
39.916991; 52.034; -165.2361
40.283201; 52.034; -165.2009
40.649412; 52.034; -165.1712
41.015623; 52.034; -165.1470
41.381834; 52.034; -165.1263
41.748045; 52.034; -165.1063
42.114256; 52.036; -165.0870
42.480467; 52.040; -165.0705
42.846678; 52.044; -165.0572
43.212889; 52.049; -165.0427
43.579100; 52.054; -165.0197
43.945311; 52.060; -164.9849
44.311521; 52.067; -164.9423
44.677732; 52.076; -164.8986
45.043943; 52.084; -164.8553
45.410154; 52.091; -164.8055
45.776365; 52.096; -164.7410
46.142576; 52.100; -164.6617
46.508787; 52.104; -164.5771
46.874998; 52.108; -164.4971
47.241209; 52.109; -164.4220
47.607420; 52.108; -164.3452
47.973631; 52.107; -164.2659
48.339841; 52.106; -164.1957
48.706052; 52.104; -164.1484
49.072263; 52.100; -164.1218
49.438474; 52.092; -164.0939
49.804685; 52.085; -164.0464
50.170896; 52.085; -163.9924
50.537107; 52.091; -163.9743
50.903318; 52.099; -164.0224
51.269529; 52.100; -164.1102
51.635740; 52.092; -164.1607
52.001951; 52.084; -164.1108
52.368161; 52.090; -163.9813
52.734372; 52.116; -163.8720
53.100583; 52.149; -163.8673
53.466794; 52.169; -163.9382
53.833005; 52.170; -163.9493
54.199216; 52.166; -163.7850
54.565427; 52.182; -163.4867
54.931638; 52.226; -163.2492
55.297849; 52.273; -163.2372
55.664060; 52.281; -163.3884
56.030271; 52.236; -163.4164
56.396481; 52.172; -163.0479
56.762692; 52.151; -162.3340
57.128903; 52.204; -161.7278
57.495114; 52.284; -161.7217
57.861325; 52.291; -162.3480
58.227536; 52.146; -163.0263
58.593747; 51.868; -162.8358
58.959958; 51.601; -161.1200
59.326169; 51.555; -158.2743
59.692380; 51.815; -155.8378
60.058591; 52.240; -155.1972
60.424801; 52.601; -156.4768
60.791012; 52.748; -158.8074
61.157223; 52.659; -161.0418
61.523434; 52.421; -162.2741
61.889645; 52.187; -162.2407
62.255856; 52.084; -161.4846
62.622067; 52.121; -160.9098
62.988278; 52.209; -161.0066
63.354489; 52.251; -161.5924
63.720700; 52.222; -162.1593
64.086910; 52.163; -162.3353
64.453121; 52.132; -162.1332
64.819332; 52.157; -161.8614
65.185543; 52.214; -161.7985
65.551754; 52.260; -161.9612
65.917965; 52.274; -162.1563
66.284176; 52.265; -162.1912
66.650387; 52.261; -162.0337
67.016598; 52.277; -161.8050
67.382809; 52.307; -161.6437
67.749020; 52.332; -161.5845
68.115230; 52.342; -161.5588
68.481441; 52.339; -161.4832
68.847652; 52.334; -161.3373
69.213863; 52.335; -161.1669
69.580074; 52.341; -161.0279
69.946285; 52.345; -160.9373
70.312496; 52.344; -160.8726
70.678707; 52.339; -160.8067
71.044918; 52.335; -160.7347
71.411129; 52.332; -160.6698
71.777340; 52.331; -160.6223
72.143550; 52.330; -160.5878
72.509761; 52.330; -160.5556
72.875972; 52.331; -160.5216
73.242183; 52.335; -160.4913
73.608394; 52.340; -160.4689
73.974605; 52.346; -160.4492
74.340816; 52.351; -160.4209
74.707027; 52.358; -160.3769
75.073238; 52.366; -160.3211
75.439449; 52.376; -160.2629
75.805660; 52.386; -160.2068
76.171870; 52.394; -160.1485
76.538081; 52.402; -160.0808
76.904292; 52.408; -160.0013
77.270503; 52.415; -159.9155
77.636714; 52.422; -159.8308
78.002925; 52.428; -159.7507
78.369136; 52.432; -159.6734
78.735347; 52.435; -159.5961
79.101558; 52.438; -159.5187
79.467769; 52.440; -159.4437
79.833980; 52.442; -159.3727
80.200190; 52.443; -159.3056
80.566401; 52.445; -159.2413
80.932612; 52.448; -159.1809
81.298823; 52.450; -159.1260
81.665034; 52.454; -159.0769
82.031245; 52.457; -159.0306
82.397456; 52.461; -158.9830
82.763667; 52.465; -158.9323
83.129878; 52.470; -158.8809
83.496089; 52.477; -158.8323
83.862300; 52.483; -158.7873
84.228510; 52.489; -158.7414
84.594721; 52.493; -158.6880
84.960932; 52.498; -158.6232
85.327143; 52.503; -158.5483
85.693354; 52.509; -158.4691
86.059565; 52.517; -158.3919
86.425776; 52.524; -158.3198
86.791987; 52.531; -158.2526
87.158198; 52.537; -158.1882
87.524409; 52.542; -158.1241
87.890619; 52.547; -158.0590
88.256830; 52.551; -157.9928
88.623041; 52.555; -157.9263
88.989252; 52.559; -157.8607
89.355463; 52.563; -157.7969
89.721674; 52.567; -157.7352
90.087885; 52.571; -157.6753
90.454096; 52.575; -157.6167
90.820307; 52.580; -157.5591
91.186518; 52.584; -157.5024
91.552729; 52.589; -157.4465
91.918939; 52.594; -157.3909
92.285150; 52.599; -157.3350
92.651361; 52.604; -157.2784
93.017572; 52.610; -157.2205
93.383783; 52.615; -157.1608
93.749994; 52.620; -157.0986
94.116205; 52.626; -157.0340
94.482416; 52.631; -156.9682
94.848627; 52.637; -156.9031
95.214838; 52.644; -156.8399
95.581049; 52.649; -156.7782
95.947259; 52.655; -156.7165
96.313470; 52.660; -156.6536
96.679681; 52.666; -156.5900
97.045892; 52.671; -156.5277
97.412103; 52.676; -156.4679
97.778314; 52.681; -156.4097
98.144525; 52.686; -156.3502
98.510736; 52.690; -156.2873
98.876947; 52.695; -156.2213
99.243158; 52.700; -156.1549
99.609369; 52.706; -156.0912
99.975579; 52.712; -156.0314
100.341790; 52.718; -155.9746
100.708001; 52.723; -155.9182
101.074212; 52.728; -155.8607
101.440423; 52.733; -155.8013
101.806634; 52.738; -155.7400
102.172845; 52.743; -155.6768
102.539056; 52.749; -155.6122
102.905267; 52.754; -155.5482
103.271478; 52.760; -155.4866
103.637689; 52.766; -155.4283
104.003899; 52.772; -155.3712
104.370110; 52.776; -155.3113
104.736321; 52.781; -155.2460
105.102532; 52.786; -155.1765
105.468743; 52.793; -155.1078
105.834954; 52.800; -155.0457
106.201165; 52.807; -154.9918
106.567376; 52.813; -154.9421
106.933587; 52.818; -154.8903
107.299798; 52.823; -154.8322
107.666009; 52.828; -154.7691
108.032219; 52.834; -154.7057
108.398430; 52.840; -154.6459
108.764641; 52.846; -154.5888
109.130852; 52.851; -154.5303
109.497063; 52.856; -154.4670
109.863274; 52.862; -154.4004
110.229485; 52.868; -154.3357
110.595696; 52.874; -154.2768
110.961907; 52.879; -154.2209
111.328118; 52.883; -154.1602
111.694328; 52.887; -154.0878
112.060539; 52.892; -154.0050
112.426750; 52.899; -153.9218
112.792961; 52.908; -153.8513
113.159172; 52.918; -153.8000
113.525383; 52.926; -153.7640
113.891594; 52.931; -153.7317
114.257805; 52.935; -153.6923
114.624016; 52.938; -153.6413
114.990227; 52.941; -153.5811
115.356438; 52.946; -153.5173
115.722648; 52.952; -153.4547
116.088859; 52.959; -153.3964
116.455070; 52.966; -153.3439
116.821281; 52.973; -153.2963
117.187492; 52.978; -153.2479
117.553703; 52.983; -153.1901
