* Measurement data measured by REW V5.40 beta 118
* Source: Input device not selected, no input selected, L, volume: no control MINUS R
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 7, 2026, 8:42:44 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: RDSL-RTSH-0226-B002 Mar 7, 26
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz); SPL(dB); Phase(degrees)
20.141602; 77.495; -166.3681
20.507813; 77.488; -166.3366
20.874023; 77.479; -166.3666
21.240234; 77.478; -166.4448
21.606445; 77.486; -166.5479
21.972656; 77.501; -166.6438
22.338867; 77.519; -166.7010
22.705078; 77.535; -166.7013
23.071289; 77.545; -166.6485
23.437500; 77.549; -166.5662
23.803711; 77.545; -166.4877
24.169922; 77.534; -166.4426
24.536133; 77.517; -166.4473
24.902344; 77.499; -166.5036
25.268555; 77.483; -166.6022
25.634766; 77.473; -166.7281
26.000977; 77.470; -166.8651
26.367188; 77.476; -166.9967
26.733399; 77.486; -167.1075
27.099610; 77.499; -167.1852
27.465821; 77.511; -167.2242
27.832032; 77.521; -167.2279
28.198243; 77.528; -167.2079
28.564454; 77.531; -167.1801
28.930665; 77.530; -167.1584
29.296876; 77.528; -167.1516
29.663087; 77.524; -167.1618
30.029298; 77.520; -167.1856
30.395509; 77.518; -167.2170
30.761720; 77.518; -167.2498
31.127931; 77.521; -167.2789
31.494142; 77.526; -167.3023
31.860353; 77.532; -167.3197
32.226563; 77.538; -167.3317
32.592774; 77.542; -167.3372
32.958985; 77.544; -167.3346
33.325196; 77.545; -167.3231
33.691407; 77.545; -167.3051
34.057618; 77.546; -167.2865
34.423829; 77.547; -167.2736
34.790040; 77.549; -167.2692
35.156251; 77.551; -167.2712
35.522462; 77.553; -167.2744
35.888673; 77.555; -167.2735
36.254884; 77.557; -167.2664
36.621095; 77.559; -167.2534
36.987306; 77.561; -167.2352
37.353517; 77.563; -167.2128
37.719728; 77.565; -167.1875
38.085939; 77.568; -167.1617
38.452150; 77.570; -167.1391
38.818361; 77.574; -167.1220
39.184572; 77.576; -167.1109
39.550783; 77.579; -167.1039
39.916994; 77.581; -167.0971
40.283205; 77.582; -167.0861
40.649416; 77.583; -167.0671
41.015627; 77.584; -167.0387
41.381838; 77.585; -167.0040
41.748049; 77.587; -166.9699
42.114260; 77.590; -166.9432
42.480471; 77.592; -166.9256
42.846682; 77.593; -166.9115
43.212893; 77.595; -166.8923
43.579103; 77.597; -166.8637
43.945314; 77.602; -166.8284
44.311525; 77.609; -166.7923
44.677736; 77.614; -166.7571
45.043947; 77.618; -166.7179
45.410158; 77.618; -166.6685
45.776369; 77.616; -166.6097
46.142580; 77.613; -166.5517
46.508791; 77.608; -166.5065
46.875002; 77.604; -166.4793
47.241213; 77.601; -166.4673
47.607424; 77.603; -166.4662
47.973635; 77.609; -166.4747
48.339846; 77.620; -166.4900
48.706057; 77.632; -166.4979
49.072268; 77.642; -166.4741
49.438479; 77.650; -166.4014
49.804690; 77.656; -166.2887
50.170901; 77.661; -166.1705
50.537112; 77.660; -166.0809
50.903323; 77.651; -166.0253
51.269534; 77.637; -165.9831
51.635745; 77.625; -165.9417
52.001956; 77.626; -165.9268
52.368167; 77.641; -165.9845
52.734378; 77.660; -166.1193
53.100589; 77.670; -166.2500
53.466800; 77.670; -166.2461
53.833011; 77.671; -166.0353
54.199222; 77.690; -165.6949
54.565432; 77.725; -165.4208
54.931643; 77.751; -165.3698
55.297854; 77.739; -165.5164
55.664065; 77.682; -165.6681
56.030276; 77.614; -165.6429
56.396487; 77.586; -165.4753
56.762698; 77.627; -165.4347
57.128909; 77.708; -165.7682
57.495120; 77.768; -166.3859
57.861331; 77.764; -166.8093
58.227542; 77.719; -166.4484
58.593753; 77.726; -165.0810
58.959964; 77.876; -163.2210
59.326175; 78.163; -161.8696
59.692386; 78.463; -161.7193
60.058597; 78.629; -162.6933
60.424808; 78.581; -164.1360
60.791019; 78.336; -165.2358
61.157230; 78.003; -165.4336
61.523441; 77.728; -164.7699
