* Measurement data measured by REW V5.40 beta 112
* Source: SSL 2+, MICROPHONE, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 16, 2026, 10:09:03 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L RDSL-P90V-1125-B005 (Aura) Jan 16
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz); SPL(dB); Phase(degrees)
20.141602; 52.140; -164.0196
20.507812; 52.180; -163.9053
20.874023; 52.207; -163.7340
21.240234; 52.226; -163.5496
21.606445; 52.236; -163.3845
21.972656; 52.238; -163.2525
22.338867; 52.233; -163.1531
22.705078; 52.222; -163.0799
23.071289; 52.208; -163.0284
23.437500; 52.193; -162.9981
23.803711; 52.180; -162.9909
24.169922; 52.169; -163.0075
24.536132; 52.161; -163.0456
24.902343; 52.156; -163.0997
25.268554; 52.153; -163.1633
25.634765; 52.154; -163.2303
26.000976; 52.157; -163.2958
26.367187; 52.163; -163.3552
26.733398; 52.170; -163.4041
27.099609; 52.179; -163.4379
27.465820; 52.187; -163.4527
27.832031; 52.197; -163.4470
28.198242; 52.207; -163.4225
28.564452; 52.217; -163.3840
28.930663; 52.227; -163.3377
29.296874; 52.237; -163.2891
29.663085; 52.244; -163.2409
30.029296; 52.248; -163.1925
30.395507; 52.250; -163.1413
30.761718; 52.250; -163.0855
31.127929; 52.250; -163.0266
31.494140; 52.248; -162.9695
31.860351; 52.248; -162.9201
32.226562; 52.247; -162.8817
32.592772; 52.247; -162.8529
32.958983; 52.246; -162.8302
33.325194; 52.247; -162.8109
33.691405; 52.249; -162.7956
34.057616; 52.253; -162.7857
34.423827; 52.258; -162.7791
34.790038; 52.264; -162.7697
35.156249; 52.271; -162.7507
35.522460; 52.279; -162.7217
35.888671; 52.290; -162.6893
36.254882; 52.303; -162.6616
36.621092; 52.314; -162.6387
36.987303; 52.322; -162.6096
37.353514; 52.327; -162.5588
37.719725; 52.330; -162.4778
38.085936; 52.335; -162.3727
38.452147; 52.342; -162.2598
38.818358; 52.349; -162.1547
39.184569; 52.355; -162.0631
39.550780; 52.359; -161.9804
39.916991; 52.360; -161.8992
40.283201; 52.359; -161.8163
40.649412; 52.359; -161.7342
41.015623; 52.359; -161.6583
41.381834; 52.359; -161.5937
41.748045; 52.360; -161.5437
42.114256; 52.362; -161.5087
42.480467; 52.363; -161.4842
42.846678; 52.364; -161.4607
43.212889; 52.365; -161.4288
43.579100; 52.370; -161.3859
43.945311; 52.378; -161.3401
44.311521; 52.390; -161.3024
44.677732; 52.402; -161.2762
45.043943; 52.413; -161.2505
45.410154; 52.423; -161.2074
45.776365; 52.432; -161.1367
46.142576; 52.442; -161.0424
46.508787; 52.454; -160.9368
