* Measurement data measured by REW V5.40 beta 112
* Source: SSL 2+, MICROPHONE, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 16, 2026, 10:11:18 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L RDSL-P90V-1125-N010 (Aura) Jan 16
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz); SPL(dB); Phase(degrees)
20.141602; 51.382; -164.2521
20.507812; 51.424; -164.1393
20.874023; 51.452; -163.9686
21.240234; 51.471; -163.7829
21.606445; 51.481; -163.6132
21.972656; 51.482; -163.4717
22.338867; 51.477; -163.3580
22.705078; 51.466; -163.2686
23.071289; 51.454; -163.2039
23.437500; 51.441; -163.1683
23.803711; 51.430; -163.1653
24.169922; 51.419; -163.1930
24.536132; 51.410; -163.2431
24.902343; 51.402; -163.3044
25.268554; 51.398; -163.3677
25.634765; 51.396; -163.4291
26.000976; 51.399; -163.4880
26.367187; 51.404; -163.5449
26.733398; 51.412; -163.5966
27.099609; 51.419; -163.6370
27.465820; 51.427; -163.6591
27.832031; 51.436; -163.6603
28.198242; 51.445; -163.6432
28.564452; 51.454; -163.6144
28.930663; 51.463; -163.5795
29.296874; 51.470; -163.5403
29.663085; 51.475; -163.4956
30.029296; 51.478; -163.4443
30.395507; 51.481; -163.3887
30.761718; 51.482; -163.3338
31.127929; 51.483; -163.2841
31.494140; 51.484; -163.2416
31.860351; 51.484; -163.2050
32.226562; 51.484; -163.1738
32.592772; 51.485; -163.1487
32.958983; 51.487; -163.1317
33.325194; 51.489; -163.1227
33.691405; 51.492; -163.1169
34.057616; 51.495; -163.1077
34.423827; 51.499; -163.0901
34.790038; 51.504; -163.0638
35.156249; 51.511; -163.0331
35.522460; 51.519; -163.0018
35.888671; 51.527; -162.9687
36.254882; 51.533; -162.9266
36.621092; 51.538; -162.8664
36.987303; 51.542; -162.7841
37.353514; 51.548; -162.6859
37.719725; 51.556; -162.5863
38.085936; 51.565; -162.5010
38.452147; 51.572; -162.4361
38.818358; 51.576; -162.3849
39.184569; 51.576; -162.3326
39.550780; 51.574; -162.2688
39.916991; 51.573; -162.1955
40.283201; 51.573; -162.1262
40.649412; 51.575; -162.0737
41.015623; 51.577; -162.0396
41.381834; 51.578; -162.0131
41.748045; 51.579; -161.9813
42.114256; 51.582; -161.9404
42.480467; 51.588; -161.8979
42.846678; 51.597; -161.8633
43.212889; 51.607; -161.8372
43.579100; 51.616; -161.8091
43.945311; 51.625; -161.7669
44.311521; 51.634; -161.7059
44.677732; 51.645; -161.6315
45.043943; 51.656; -161.5510
45.410154; 51.666; -161.4660
45.776365; 51.674; -161.3726
46.142576; 51.680; -161.2663
46.508787; 51.684; -161.1464
46.874998; 51.687; -161.0148
47.241209; 51.689; -160.8754
47.607420; 51.691; -160.7367
47.973631; 51.694; -160.6147
48.339841; 51.697; -160.5257
48.706052; 51.697; -160.4719
49.072263; 51.691; -160.4328
49.438474; 51.683; -160.3802
49.804685; 51.678; -160.3106
50.170896; 51.682; -160.2602
50.537107; 51.691; -160.2774
50.903318; 51.697; -160.3659
51.269529; 51.691; -160.4581
51.635740; 51.680; -160.4600
52.001951; 51.680; -160.3450
52.368161; 51.707; -160.2062
52.734372; 51.752; -160.1906
53.100583; 51.791; -160.3496
53.466794; 51.798; -160.5505
53.833005; 51.774; -160.5551
54.199216; 51.754; -160.2268
54.565427; 51.779; -159.7019
54.931638; 51.853; -159.3197
55.297849; 51.930; -159.3111
55.664060; 51.952; -159.5489
56.030271; 51.900; -159.6137
56.396481; 51.824; -159.1443
56.762692; 51.806; -158.2381
57.128903; 51.881; -157.5003
57.495114; 51.980; -157.5187
57.861325; 51.979; -158.2503
58.227536; 51.793; -158.9185
58.593747; 51.462; -158.4020
58.959958; 51.183; -156.0186
59.326169; 51.206; -152.5207
59.692380; 51.587; -149.9466
60.058591; 52.106; -149.7290
60.424801; 52.491; -151.6570
60.791012; 52.600; -154.5486
61.157223; 52.435; -157.0728
61.523434; 52.118; -158.2532
61.889645; 51.838; -157.9140
62.255856; 51.736; -156.8522
62.622067; 51.799; -156.1857
62.988278; 51.902; -156.3869
63.354489; 51.938; -157.1120
63.720700; 51.891; -157.7206
64.086910; 51.820; -157.8240
64.453121; 51.797; -157.5284
64.819332; 51.844; -157.2529
65.185543; 51.918; -157.2963
65.551754; 51.966; -157.5989
65.917965; 51.967; -157.8706
66.284176; 51.945; -157.8734
66.650387; 51.938; -157.6062
67.016598; 51.964; -157.2654
67.382809; 52.010; -157.0458
67.749020; 52.050; -156.9830
68.115230; 52.067; -156.9704
68.481441; 52.066; -156.8864
68.847652; 52.061; -156.6983
69.213863; 52.065; -156.4669
69.580074; 52.076; -156.2732
69.946285; 52.087; -156.1493
70.312496; 52.090; -156.0714
70.678707; 52.086; -155.9998
71.044918; 52.080; -155.9147
71.411129; 52.075; -155.8220
71.777340; 52.072; -155.7363
72.143550; 52.073; -155.6669
72.509761; 52.075; -155.6169
72.875972; 52.078; -155.5849
73.242183; 52.081; -155.5637
73.608394; 52.083; -155.5366
73.974605; 52.085; -155.4850
74.340816; 52.091; -155.4031
74.707027; 52.103; -155.3072
75.073238; 52.120; -155.2245
75.439449; 52.139; -155.1705
75.805660; 52.155; -155.1330
76.171870; 52.165; -155.0824
76.538081; 52.173; -154.9963
76.904292; 52.183; -154.8790
77.270503; 52.196; -154.7570
77.636714; 52.210; -154.6551
78.002925; 52.222; -154.5760
78.369136; 52.229; -154.5020
78.735347; 52.232; -154.4121
79.101558; 52.234; -154.3013
79.467769; 52.238; -154.1830
79.833980; 52.245; -154.0762
80.200190; 52.251; -153.9908
80.566401; 52.257; -153.9233
80.932612; 52.261; -153.8630
81.298823; 52.263; -153.8022
81.665034; 52.266; -153.7384
82.031245; 52.269; -153.6721
82.397456; 52.273; -153.6021
82.763667; 52.278; -153.5263
83.129878; 52.285; -153.4444
83.496089; 52.295; -153.3614
83.862300; 52.306; -153.2843
84.228510; 52.319; -153.2181
84.594721; 52.331; -153.1610
84.960932; 52.341; -153.1060
85.327143; 52.350; -153.0446
85.693354; 52.358; -152.9727
86.059565; 52.366; -152.8917
86.425776; 52.375; -152.8071
86.791987; 52.383; -152.7232
87.158198; 52.391; -152.6405
87.524409; 52.398; -152.5563
87.890619; 52.404; -152.4675
88.256830; 52.411; -152.3742
88.623041; 52.418; -152.2809
88.989252; 52.426; -152.1931
89.355463; 52.434; -152.1143
89.721674; 52.441; -152.0437
90.087885; 52.448; -151.9772
90.454096; 52.454; -151.9101
90.820307; 52.459; -151.8393
91.186518; 52.465; -151.7645
91.552729; 52.472; -151.6869
91.918939; 52.480; -151.6086
92.285150; 52.489; -151.5321
92.651361; 52.498; -151.4595
93.017572; 52.508; -151.3916
93.383783; 52.518; -151.3268
