* Measurement data measured by REW V5.40 beta 112
* Source: SSL 2+, MICROPHONE, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 16, 2026, 8:29:07 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: RDSL-P90V-1125-B001 (Thunderbolt—overwound)
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz); SPL(dB); Phase(degrees)
20.141602; 52.927; -163.7451
20.507812; 52.970; -163.6307
20.874023; 52.999; -163.4568
21.240234; 53.019; -163.2652
21.606445; 53.031; -163.0875
21.972656; 53.035; -162.9374
22.338867; 53.031; -162.8152
22.705078; 53.023; -162.7169
23.071289; 53.012; -162.6419
23.437500; 53.000; -162.5932
23.803711; 52.988; -162.5731
24.169922; 52.978; -162.5794
24.536132; 52.968; -162.6059
24.902343; 52.961; -162.6452
25.268554; 52.957; -162.6927
25.634765; 52.955; -162.7454
26.000976; 52.956; -162.7998
26.367187; 52.959; -162.8509
26.733398; 52.963; -162.8931
27.099609; 52.970; -162.9234
27.465820; 52.979; -162.9426
27.832031; 52.989; -162.9527
28.198242; 52.999; -162.9541
28.564452; 53.008; -162.9445
28.930663; 53.017; -162.9214
29.296874; 53.026; -162.8850
29.663085; 53.034; -162.8386
30.029296; 53.042; -162.7863
30.395507; 53.049; -162.7308
30.761718; 53.055; -162.6726
31.127929; 53.059; -162.6122
31.494140; 53.064; -162.5514
31.860351; 53.067; -162.4926
32.226562; 53.070; -162.4375
32.592772; 53.072; -162.3851
32.958983; 53.073; -162.3334
33.325194; 53.074; -162.2824
33.691405; 53.076; -162.2341
34.057616; 53.078; -162.1916
34.423827; 53.080; -162.1558
34.790038; 53.082; -162.1243
35.156249; 53.083; -162.0916
35.522460; 53.086; -162.0535
35.888671; 53.089; -162.0101
36.254882; 53.096; -161.9677
36.621092; 53.104; -161.9349
36.987303; 53.113; -161.9167
37.353514; 53.121; -161.9088
37.719725; 53.126; -161.8970
38.085936; 53.130; -161.8651
38.452147; 53.134; -161.8053
38.818358; 53.142; -161.7242
39.184569; 53.152; -161.6384
39.550780; 53.164; -161.5607
39.916991; 53.175; -161.4903
40.283201; 53.183; -161.4141
40.649412; 53.190; -161.3204
41.015623; 53.197; -161.2110
41.381834; 53.205; -161.0998
41.748045; 53.212; -161.0000
42.114256; 53.217; -160.9108
42.480467; 53.218; -160.8197
42.846678; 53.217; -160.7166
43.212889; 53.217; -160.6070
43.579100; 53.218; -160.5088
43.945311; 53.220; -160.4362
44.311521; 53.219; -160.3863
44.677732; 53.216; -160.3433
45.043943; 53.213; -160.2946
45.410154; 53.212; -160.2420
45.776365; 53.214; -160.1972
46.142576; 53.219; -160.1676
46.508787; 53.226; -160.1492
46.874998; 53.235; -160.1344
47.241209; 53.247; -160.1201
47.607420; 53.259; -160.1060
47.973631; 53.273; -160.0844
48.339841; 53.286; -160.0368
48.706052; 53.301; -159.9518
49.072263; 53.321; -159.8424
49.438474; 53.345; -159.7402
49.804685; 53.365; -159.6597
50.170896; 53.377; -159.5702
50.537107; 53.380; -159.4155
50.903318; 53.384; -159.1759
51.269529; 53.399; -158.9112
51.635740; 53.420; -158.7231
52.001951; 53.431; -158.6529
52.368161; 53.416; -158.6181
52.734372; 53.379; -158.4701
53.100583; 53.348; -158.1480
53.466794; 53.347; -157.7865
53.833005; 53.375; -157.6342
54.199216; 53.394; -157.8138
54.565427; 53.365; -158.1636
54.931638; 53.290; -158.3363
55.297849; 53.219; -158.1085
55.664060; 53.219; -157.6643
56.030271; 53.299; -157.5167
56.396481; 53.395; -158.0193
56.762692; 53.416; -158.9629
57.128903; 53.334; -159.6568
57.495114; 53.232; -159.4446
57.861325; 53.265; -158.4137
58.227536; 53.522; -157.6585
58.593747; 53.903; -158.4136
58.959958; 54.191; -160.9458
59.326169; 54.202; -164.4427
59.692380; 53.868; -167.4776
60.058591; 53.272; -168.4538
60.424801; 52.685; -166.3346
60.791012; 52.472; -161.9542
61.157223; 52.742; -158.0336
61.523434; 53.220; -156.4774
61.889645; 53.588; -156.9680
62.255856; 53.717; -158.1350
62.622067; 53.655; -158.7439
62.988278; 53.548; -158.2948
63.354489; 53.529; -157.1933
63.720700; 53.617; -156.2785
64.086910; 53.729; -156.0164
64.453121; 53.778; -156.2187
64.819332; 53.745; -156.3912
65.185543; 53.678; -156.2008
65.551754; 53.637; -155.7101
65.917965; 53.645; -155.2486
66.284176; 53.674; -155.0701
66.650387; 53.687; -155.1497
67.016598; 53.666; -155.2756
67.382809; 53.631; -155.2708
67.749020; 53.608; -155.1311
68.115230; 53.610; -154.9855
68.481441; 53.627; -154.9475
68.847652; 53.643; -155.0156
69.213863; 53.649; -155.1014
69.580074; 53.649; -155.1246
69.946285; 53.655; -155.0741
70.312496; 53.670; -154.9930
70.678707; 53.691; -154.9209
71.044918; 53.713; -154.8611
71.411129; 53.733; -154.7935
71.777340; 53.751; -154.7051
72.143550; 53.768; -154.6025
72.509761; 53.784; -154.4966
72.875972; 53.796; -154.3870
73.242183; 53.804; -154.2636
73.608394; 53.810; -154.1223
73.974605; 53.816; -153.9733
74.340816; 53.822; -153.8326
74.707027; 53.826; -153.7074
75.073238; 53.829; -153.5929
75.439449; 53.831; -153.4824
75.805660; 53.834; -153.3793
76.171870; 53.839; -153.2952
76.538081; 53.844; -153.2369
76.904292; 53.848; -153.1968
77.270503; 53.850; -153.1581
77.636714; 53.853; -153.1077
78.002925; 53.859; -153.0466
78.369136; 53.868; -152.9854
78.735347; 53.880; -152.9333
79.101558; 53.893; -152.8898
79.467769; 53.905; -152.8459
79.833980; 53.916; -152.7928
80.200190; 53.927; -152.7266
80.566401; 53.939; -152.6473
80.932612; 53.950; -152.5559
81.298823; 53.962; -152.4542
81.665034; 53.975; -152.3460
82.031245; 53.987; -152.2383
82.397456; 54.000; -152.1380
82.763667; 54.011; -152.0464
83.129878; 54.019; -151.9589
83.496089; 54.025; -151.8680
83.862300; 54.030; -151.7699
84.228510; 54.036; -151.6669
84.594721; 54.042; -151.5662
84.960932; 54.049; -151.4752
85.327143; 54.057; -151.3976
85.693354; 54.064; -151.3325
86.059565; 54.071; -151.2756
86.425776; 54.076; -151.2199
86.791987; 54.081; -151.1585
87.158198; 54.087; -151.0869
87.524409; 54.094; -151.0060
87.890619; 54.103; -150.9214
88.256830; 54.115; -150.8411
88.623041; 54.128; -150.7703
88.989252; 54.141; -150.7085
89.355463; 54.152; -150.6498
89.721674; 54.162; -150.5868
90.087885; 54.171; -150.5135
90.454096; 54.179; -150.4285
90.820307; 54.189; -150.3346
91.186518; 54.199; -150.2375
91.552729; 54.210; -150.1435
91.918939; 54.221; -150.0572
92.285150; 54.231; -149.9788
92.651361; 54.240; -149.9046
93.017572; 54.247; -149.8295
93.383783; 54.254; -149.7504
93.749994; 54.261; -149.6684
94.116205; 54.269; -149.5868
94.482416; 54.276; -149.5085
94.848627; 54.284; -149.4332
95.214838; 54.292; -149.3580
95.581049; 54.300; -149.2805
95.947259; 54.309; -149.2018
96.313470; 54.319; -149.1252
96.679681; 54.330; -149.0543
97.045892; 54.340; -148.9897
97.412103; 54.350; -148.9280
97.778314; 54.360; -148.8647
98.144525; 54.368; -148.7955
98.510736; 54.377; -148.7194
98.876947; 54.387; -148.6380
99.243158; 54.397; -148.5546
99.609369; 54.408; -148.4725
99.975579; 54.419; -148.3938
100.341790; 54.430; -148.3191
100.708001; 54.441; -148.2483
101.074212; 54.451; -148.1807
101.440423; 54.461; -148.1154
101.806634; 54.469; -148.0504
102.172845; 54.477; -147.9822
102.539056; 54.484; -147.9073
102.905267; 54.492; -147.8245
103.271478; 54.501; -147.7369
103.637689; 54.511; -147.6520
104.003899; 54.522; -147.5765
104.370110; 54.533; -147.5118
104.736321; 54.543; -147.4532
105.102532; 54.552; -147.3929
105.468743; 54.560; -147.3256
