* Measurement data measured by REW V5.40 beta 112
* Source: SSL 2+, MICROPHONE, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 16, 2026, 8:40:12 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L RDSL-P90V-1125-N006  (Thunderbolt—overwound)
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz); SPL(dB); Phase(degrees)
20.141602; 51.815; -164.2190
20.507812; 51.866; -164.0742
20.874023; 51.904; -163.8675
21.240234; 51.930; -163.6424
21.606445; 51.946; -163.4297
21.972656; 51.953; -163.2424
22.338867; 51.951; -163.0817
22.705078; 51.943; -162.9457
23.071289; 51.931; -162.8357
23.437500; 51.917; -162.7560
23.803711; 51.903; -162.7102
24.169922; 51.889; -162.6972
24.536132; 51.877; -162.7112
24.902343; 51.866; -162.7444
25.268554; 51.858; -162.7906
25.634765; 51.854; -162.8467
26.000976; 51.853; -162.9105
26.367187; 51.855; -162.9780
26.733398; 51.860; -163.0423
27.099609; 51.865; -163.0955
27.465820; 51.872; -163.1318
27.832031; 51.881; -163.1493
28.198242; 51.890; -163.1496
28.564452; 51.901; -163.1349
28.930663; 51.910; -163.1059
29.296874; 51.920; -163.0633
29.663085; 51.928; -163.0085
30.029296; 51.935; -162.9452
30.395507; 51.942; -162.8785
30.761718; 51.947; -162.8131
31.127929; 51.951; -162.7521
31.494140; 51.953; -162.6968
31.860351; 51.954; -162.6470
32.226562; 51.953; -162.6015
32.592772; 51.952; -162.5577
32.958983; 51.950; -162.5148
33.325194; 51.951; -162.4752
33.691405; 51.953; -162.4445
34.057616; 51.956; -162.4274
34.423827; 51.960; -162.4218
34.790038; 51.963; -162.4174
35.156249; 51.966; -162.4014
35.522460; 51.972; -162.3680
35.888671; 51.980; -162.3231
36.254882; 51.992; -162.2796
36.621092; 52.005; -162.2467
36.987303; 52.017; -162.2209
37.353514; 52.025; -162.1879
37.719725; 52.031; -162.1327
38.085936; 52.035; -162.0500
38.452147; 52.041; -161.9462
38.818358; 52.047; -161.8339
39.184569; 52.054; -161.7235
39.550780; 52.059; -161.6193
39.916991; 52.063; -161.5207
40.283201; 52.065; -161.4258
40.649412; 52.065; -161.3330
41.015623; 52.065; -161.2435
41.381834; 52.066; -161.1619
41.748045; 52.067; -161.0950
42.114256; 52.069; -161.0470
42.480467; 52.070; -161.0153
42.846678; 52.070; -160.9904
43.212889; 52.071; -160.9628
43.579100; 52.074; -160.9316
43.945311; 52.081; -160.9051
44.311521; 52.089; -160.8899
44.677732; 52.097; -160.8799
45.043943; 52.104; -160.8562
45.410154; 52.112; -160.8022
45.776365; 52.122; -160.7196
46.142576; 52.137; -160.6272
46.508787; 52.153; -160.5417
46.874998; 52.167; -160.4606
47.241209; 52.177; -160.3654
47.607420; 52.185; -160.2431
47.973631; 52.193; -160.1023
48.339841; 52.202; -159.9653
48.706052; 52.207; -159.8424
49.072263; 52.206; -159.7209
49.438474; 52.203; -159.5841
49.804685; 52.201; -159.4410
50.170896; 52.201; -159.3281
50.537107; 52.199; -159.2705
50.903318; 52.189; -159.2437
51.269529; 52.173; -159.1877
51.635740; 52.161; -159.0738
52.001951; 52.166; -158.9581
52.368161; 52.186; -158.9463
52.734372; 52.203; -159.0819
53.100583; 52.199; -159.2684
53.466794; 52.179; -159.3267
53.833005; 52.169; -159.1648
54.199216; 52.201; -158.9076
54.565427; 52.270; -158.8182
54.931638; 52.337; -159.0323
55.297849; 52.354; -159.3691
55.664060; 52.318; -159.4303
56.030271; 52.286; -158.9463
56.396481; 52.331; -158.1202
56.762692; 52.464; -157.5646
57.128903; 52.604; -157.7280
57.495114; 52.631; -158.3818
57.861325; 52.496; -158.6525
58.227536; 52.285; -157.5423
58.593747; 52.219; -154.8468
58.959958; 52.485; -151.8912
59.326169; 53.015; -150.6292
59.692380; 53.540; -151.8334
60.058591; 53.822; -154.8134
60.424801; 53.759; -158.2119
60.791012; 53.391; -160.6080
61.157223; 52.886; -160.9723
61.523434; 52.496; -159.3165
61.889645; 52.392; -156.9890
62.255856; 52.507; -155.5828
62.622067; 52.642; -155.5480
62.988278; 52.660; -156.2389
63.354489; 52.557; -156.7566
63.720700; 52.423; -156.6196
64.086910; 52.356; -156.0170
64.453121; 52.381; -155.5230
64.819332; 52.443; -155.5108
65.185543; 52.474; -155.8766
65.551754; 52.453; -156.2476
65.917965; 52.410; -156.3419
66.284176; 52.391; -156.1705
66.650387; 52.413; -155.9603
67.016598; 52.458; -155.9047
67.382809; 52.495; -156.0018
67.749020; 52.510; -156.1072
68.115230; 52.513; -156.0938
68.481441; 52.521; -155.9543
68.847652; 52.540; -155.7750
69.213863; 52.566; -155.6340
69.580074; 52.588; -155.5368
69.946285; 52.600; -155.4379
70.312496; 52.606; -155.3019
70.678707; 52.611; -155.1368
71.044918; 52.618; -154.9735
71.411129; 52.624; -154.8302
71.777340; 52.628; -154.7014
72.143550; 52.630; -154.5781
72.509761; 52.632; -154.4661
72.875972; 52.634; -154.3800
73.242183; 52.635; -154.3219
73.608394; 52.632; -154.2711
73.974605; 52.627; -154.2012
74.340816; 52.625; -154.1049
74.707027; 52.630; -154.0025
75.073238; 52.642; -153.9239
75.439449; 52.656; -153.8817
75.805660; 52.669; -153.8628
76.171870; 52.679; -153.8411
76.538081; 52.687; -153.7985
76.904292; 52.697; -153.7341
77.270503; 52.709; -153.6577
77.636714; 52.722; -153.5773
78.002925; 52.735; -153.4943
78.369136; 52.747; -153.4070
78.735347; 52.759; -153.3153
79.101558; 52.770; -153.2207
79.467769; 52.780; -153.1251
79.833980; 52.788; -153.0286
80.200190; 52.795; -152.9318
80.566401; 52.801; -152.8367
80.932612; 52.806; -152.7448
81.298823; 52.809; -152.6542
81.665034; 52.812; -152.5605
82.031245; 52.815; -152.4624
82.397456; 52.819; -152.3653
82.763667; 52.825; -152.2780
83.129878; 52.832; -152.2049
83.496089; 52.838; -152.1410
83.862300; 52.844; -152.0750
84.228510; 52.850; -152.0001
84.594721; 52.859; -151.9206
84.960932; 52.871; -151.8485
85.327143; 52.884; -151.7922
85.693354; 52.896; -151.7481
86.059565; 52.905; -151.7022
86.425776; 52.913; -151.6410
86.791987; 52.921; -151.5612
87.158198; 52.931; -151.4705
87.524409; 52.942; -151.3797
87.890619; 52.954; -151.2942
88.256830; 52.965; -151.2117
88.623041; 52.975; -151.1275
88.989252; 52.984; -151.0402
89.355463; 52.993; -150.9526
89.721674; 53.002; -150.8680
90.087885; 53.010; -150.7861
90.454096; 53.017; -150.7030
90.820307; 53.024; -150.6152
91.186518; 53.031; -150.5240
91.552729; 53.040; -150.4355
91.918939; 53.049; -150.3558
92.285150; 53.058; -150.2859
92.651361; 53.065; -150.2204
93.017572; 53.072; -150.1517
93.383783; 53.079; -150.0754
93.749994; 53.087; -149.9938
94.116205; 53.096; -149.9135
94.482416; 53.105; -149.8399
94.848627; 53.115; -149.7720
95.214838; 53.123; -149.7036
95.581049; 53.131; -149.6282
95.947259; 53.139; -149.5456
96.313470; 53.149; -149.4622
96.679681; 53.159; -149.3852
97.045892; 53.169; -149.3170
97.412103; 53.177; -149.2518
97.778314; 53.184; -149.1801
98.144525; 53.191; -149.0970
98.510736; 53.199; -149.0065
98.876947; 53.209; -148.9186
99.243158; 53.220; -148.8413
99.609369; 53.230; -148.7742
99.975579; 53.239; -148.7090
100.341790; 53.246; -148.6370
100.708001; 53.254; -148.5554
101.074212; 53.264; -148.4698
101.440423; 53.274; -148.3883
101.806634; 53.285; -148.3152
102.172845; 53.295; -148.2474
102.539056; 53.304; -148.1779
102.905267; 53.312; -148.1023
103.271478; 53.321; -148.0214
103.637689; 53.330; -147.9399
104.003899; 53.339; -147.8618
104.370110; 53.349; -147.7873
104.736321; 53.357; -147.7129
105.102532; 53.365; -147.6357
105.468743; 53.373; -147.5561
105.834954; 53.382; -147.4779
106.201165; 53.392; -147.4050
106.567376; 53.401; -147.3386
106.933587; 53.409; -147.2760
107.299798; 53.416; -147.2126
107.666009; 53.424; -147.1444
108.032219; 53.431; -147.0710
108.398430; 53.440; -146.9956
108.764641; 53.450; -146.9232
109.130852; 53.461; -146.8580
109.497063; 53.472; -146.8000
109.863274; 53.482; -146.7441
110.229485; 53.491; -146.6829
110.595696; 53.500; -146.6114
110.961907; 53.510; -146.5314
111.328118; 53.521; -146.4510
111.694328; 53.534; -146.3788
112.060539; 53.546; -146.3164
112.426750; 53.556; -146.2560
112.792961; 53.565; -146.1867
113.159172; 53.573; -146.1036
113.525383; 53.583; -146.0139
113.891594; 53.594; -145.9308
114.257805; 53.605; -145.8623
114.624016; 53.614; -145.8023
114.990227; 53.619; -145.7354
115.356438; 53.625; -145.6512
115.722648; 53.632; -145.5564
116.088859; 53.642; -145.4727
116.455070; 53.653; -145.4180
116.821281; 53.660; -145.3887
117.187492; 53.661; -145.3563
117.553703; 53.657; -145.2878
117.919914; 53.656; -145.1709
118.286125; 53.662; -145.0274
118.652336; 53.676; -144.8990
119.018547; 53.694; -144.8174
119.384758; 53.711; -144.7821
119.750968; 53.721; -144.7629
120.117179; 53.728; -144.7253
120.483390; 53.735; -144.6563
120.849601; 53.746; -144.5714
121.215812; 53.761; -144.4986
121.582023; 53.778; -144.4542
121.948234; 53.792; -144.4314
122.314445; 53.802; -144.4081
122.680656; 53.810; -144.3658
123.046867; 53.818; -144.3023
123.413078; 53.828; -144.2298
123.779288; 53.840; -144.1618
124.145499; 53.852; -144.1028
124.511710; 53.863; -144.0470
124.877921; 53.873; -143.9864
125.244132; 53.882; -143.9183
125.610343; 53.892; -143.8460
125.976554; 53.903; -143.7745
126.342765; 53.913; -143.7057
126.708976; 53.923; -143.6380
127.075187; 53.933; -143.5697
127.441398; 53.943; -143.5008
127.807608; 53.952; -143.4330
128.173819; 53.962; -143.3670
128.540030; 53.971; -143.3016
128.906241; 53.981; -143.2352
129.272452; 53.990; -143.1682
129.638663; 54.000; -143.1038
130.004874; 54.010; -143.0447
130.371085; 54.020; -142.9909
130.737296; 54.029; -142.9380
131.103507; 54.037; -142.8808
131.469718; 54.045; -142.8160
131.835928; 54.054; -142.7454
132.202139; 54.064; -142.6745
132.568350; 54.076; -142.6089
132.934561; 54.087; -142.5508
133.300772; 54.097; -142.4975
133.666983; 54.107; -142.4438
134.033194; 54.116; -142.3846
134.399405; 54.125; -142.3189
134.765616; 54.135; -142.2502
135.131827; 54.146; -142.1841
135.498037; 54.157; -142.1246
135.864248; 54.167; -142.0710
136.230459; 54.176; -142.0181
136.596670; 54.185; -141.9602
136.962881; 54.193; -141.8952
137.329092; 54.202; -141.8260
137.695303; 54.212; -141.7591
138.061514; 54.223; -141.6992
138.427725; 54.233; -141.6461
138.793936; 54.242; -141.5954
139.160147; 54.251; -141.5419
139.526357; 54.259; -141.4828
139.892568; 54.269; -141.4200
140.258779; 54.279; -141.3573
140.624990; 54.290; -141.2977
140.991201; 54.301; -141.2423
141.357412; 54.312; -141.1899
141.723623; 54.322; -141.1384
142.089834; 54.332; -141.0857
142.456045; 54.341; -141.0297
142.822256; 54.351; -140.9687
143.188467; 54.360; -140.9022
143.554677; 54.371; -140.8326
143.920888; 54.383; -140.7653
144.287099; 54.395; -140.7063
144.653310; 54.406; -140.6580
145.019521; 54.416; -140.6169
145.385732; 54.424; -140.5746
145.751943; 54.430; -140.5227
146.118154; 54.437; -140.4582
146.484365; 54.444; -140.3861
146.850576; 54.454; -140.3161
147.216787; 54.465; -140.2564
147.582997; 54.476; -140.2084
147.949208; 54.485; -140.1664
148.315419; 54.494; -140.1228
148.681630; 54.503; -140.0739
149.047841; 54.512; -140.0214
149.414052; 54.522; -139.9698
149.780263; 54.533; -139.9211
150.146474; 54.543; -139.8731
150.512685; 54.554; -139.8219
150.878896; 54.564; -139.7659
151.245107; 54.575; -139.7076
151.611317; 54.587; -139.6512
151.977528; 54.598; -139.5973
152.343739; 54.608; -139.5416
152.709950; 54.617; -139.4785
153.076161; 54.627; -139.4061
153.442372; 54.637; -139.3294
153.808583; 54.649; -139.2574
154.174794; 54.661; -139.1968
154.541005; 54.671; -139.1479
154.907216; 54.680; -139.1047
155.273427; 54.687; -139.0594
155.639637; 54.694; -139.0078
156.005848; 54.701; -138.9514
156.372059; 54.710; -138.8960
156.738270; 54.719; -138.8478
157.104481; 54.729; -138.8094
157.470692; 54.738; -138.7777
157.836903; 54.747; -138.7454
158.203114; 54.756; -138.7055
158.569325; 54.766; -138.6567
158.935536; 54.778; -138.6047
159.301746; 54.792; -138.5585
159.667957; 54.806; -138.5221
160.034168; 54.819; -138.4910
160.400379; 54.830; -138.4538
