* Measurement data measured by REW V5.40 beta 112
* Source: SSL 2+, MICROPHONE, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 16, 2026, 9:31:57 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L RDSL-P90V-1125-B003 (Zenith) Jan 16
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz); SPL(dB); Phase(degrees)
20.141602; 51.782; -164.2764
20.507812; 51.836; -164.1322
20.874023; 51.875; -163.9198
21.240234; 51.904; -163.6834
21.606445; 51.922; -163.4569
21.972656; 51.931; -163.2560
22.338867; 51.931; -163.0814
22.705078; 51.924; -162.9299
23.071289; 51.912; -162.8020
23.437500; 51.899; -162.7027
23.803711; 51.885; -162.6377
24.169922; 51.872; -162.6080
24.536132; 51.858; -162.6085
24.902343; 51.847; -162.6318
25.268554; 51.837; -162.6711
25.634765; 51.830; -162.7220
26.000976; 51.827; -162.7810
26.367187; 51.826; -162.8433
26.733398; 51.827; -162.9030
27.099609; 51.832; -162.9547
27.465820; 51.838; -162.9956
27.832031; 51.846; -163.0246
28.198242; 51.856; -163.0412
28.564452; 51.866; -163.0449
28.930663; 51.877; -163.0351
29.296874; 51.887; -163.0121
29.663085; 51.896; -162.9766
30.029296; 51.904; -162.9293
30.395507; 51.911; -162.8705
30.761718; 51.918; -162.8021
31.127929; 51.924; -162.7285
31.494140; 51.929; -162.6562
31.860351; 51.933; -162.5898
32.226562; 51.936; -162.5297
32.592772; 51.937; -162.4726
32.958983; 51.938; -162.4158
33.325194; 51.938; -162.3606
33.691405; 51.939; -162.3123
34.057616; 51.940; -162.2743
34.423827; 51.941; -162.2444
34.790038; 51.942; -162.2150
35.156249; 51.943; -162.1798
35.522460; 51.947; -162.1395
35.888671; 51.954; -162.1026
36.254882; 51.963; -162.0784
36.621092; 51.972; -162.0691
36.987303; 51.980; -162.0666
37.353514; 51.986; -162.0556
37.719725; 51.990; -162.0228
38.085936; 51.994; -161.9632
38.452147; 52.001; -161.8821
38.818358; 52.011; -161.7915
39.184569; 52.022; -161.7032
39.550780; 52.033; -161.6219
39.916991; 52.042; -161.5442
40.283201; 52.048; -161.4616
40.649412; 52.053; -161.3679
41.015623; 52.057; -161.2645
41.381834; 52.061; -161.1594
41.748045; 52.064; -161.0611
42.114256; 52.066; -160.9718
42.480467; 52.067; -160.8874
42.846678; 52.066; -160.8036
43.212889; 52.066; -160.7220
43.579100; 52.066; -160.6488
43.945311; 52.066; -160.5885
44.311521; 52.066; -160.5376
44.677732; 52.067; -160.4887
45.043943; 52.069; -160.4387
45.410154; 52.075; -160.3939
45.776365; 52.083; -160.3633
46.142576; 52.091; -160.3462
46.508787; 52.099; -160.3295
46.874998; 52.106; -160.2966
47.241209; 52.115; -160.2424
47.607420; 52.127; -160.1747
47.973631; 52.141; -160.1026
48.339841; 52.154; -160.0231
48.706052; 52.166; -159.9238
49.072263; 52.179; -159.8010
49.438474; 52.195; -159.6700
49.804685; 52.210; -159.5521
50.170896; 52.220; -159.4480
50.537107; 52.223; -159.3304
50.903318; 52.223; -159.1726
51.269529; 52.227; -158.9887
51.635740; 52.235; -158.8364
52.001951; 52.242; -158.7653
52.368161; 52.236; -158.7544
52.734372; 52.213; -158.7144
53.100583; 52.187; -158.5692
53.466794; 52.178; -158.3525
53.833005; 52.194; -158.2106
54.199216; 52.217; -158.2724
54.565427; 52.220; -158.5034
54.931638; 52.191; -158.6988
55.297849; 52.154; -158.6545
55.664060; 52.154; -158.3902
56.030271; 52.212; -158.1993
56.396481; 52.299; -158.3968
56.762692; 52.349; -158.9753
57.128903; 52.322; -159.5177
57.495114; 52.249; -159.4690
57.861325; 52.235; -158.6403
58.227536; 52.383; -157.5961
58.593747; 52.680; -157.3559
58.959958; 52.986; -158.5246
59.326169; 53.134; -160.8291
59.692380; 53.030; -163.3328
60.058591; 52.689; -164.8586
60.424801; 52.255; -164.4793
60.791012; 51.956; -162.2030
61.157223; 51.952; -159.3173
61.523434; 52.179; -157.4005
61.889645; 52.436; -156.9667
62.255856; 52.573; -157.4368
62.622067; 52.564; -157.9116
62.988278; 52.483; -157.8052
63.354489; 52.429; -157.1350
63.720700; 52.449; -156.3793
64.086910; 52.512; -155.9823
64.453121; 52.555; -155.9916
64.819332; 52.547; -156.1298
65.185543; 52.502; -156.1034
65.551754; 52.463; -155.8432
65.917965; 52.455; -155.5155
66.284176; 52.475; -155.3293
66.650387; 52.495; -155.3457
67.016598; 52.496; -155.4606
67.382809; 52.480; -155.5306
67.749020; 52.465; -155.4965
68.115230; 52.462; -155.4041
68.481441; 52.473; -155.3317
68.847652; 52.488; -155.3093
69.213863; 52.500; -155.3064
69.580074; 52.509; -155.2789
69.946285; 52.520; -155.2137
70.312496; 52.535; -155.1293
70.678707; 52.552; -155.0457
71.044918; 52.567; -154.9622
71.411129; 52.580; -154.8651
71.777340; 52.593; -154.7498
72.143550; 52.606; -154.6287
72.509761; 52.618; -154.5155
72.875972; 52.626; -154.4088
73.242183; 52.631; -154.2931
73.608394; 52.634; -154.1568
73.974605; 52.640; -154.0085
74.340816; 52.649; -153.8733
74.707027; 52.659; -153.7717
75.073238; 52.667; -153.7035
75.439449; 52.671; -153.6502
75.805660; 52.673; -153.5923
76.171870; 52.675; -153.5239
76.538081; 52.679; -153.4530
76.904292; 52.686; -153.3903
77.270503; 52.693; -153.3378
77.636714; 52.700; -153.2884
78.002925; 52.707; -153.2321
78.369136; 52.714; -153.1637
78.735347; 52.724; -153.0853
79.101558; 52.735; -153.0035
79.467769; 52.748; -152.9244
79.833980; 52.761; -152.8511
80.200190; 52.773; -152.7817
80.566401; 52.783; -152.7100
80.932612; 52.791; -152.6282
81.298823; 52.798; -152.5318
81.665034; 52.806; -152.4236
82.031245; 52.815; -152.3127
82.397456; 52.824; -152.2086
82.763667; 52.833; -152.1154
83.129878; 52.840; -152.0294
83.496089; 52.847; -151.9443
83.862300; 52.853; -151.8571
84.228510; 52.859; -151.7711
84.594721; 52.867; -151.6923
84.960932; 52.874; -151.6234
85.327143; 52.881; -151.5603
85.693354; 52.887; -151.4949
86.059565; 52.893; -151.4213
86.425776; 52.900; -151.3403
86.791987; 52.909; -151.2584
87.158198; 52.920; -151.1824
87.524409; 52.932; -151.1140
87.890619; 52.942; -151.0490
88.256830; 52.952; -150.9799
88.623041; 52.962; -150.9019
88.989252; 52.972; -150.8161
89.355463; 52.983; -150.7284
89.721674; 52.994; -150.6445
90.087885; 53.005; -150.5661
90.454096; 53.014; -150.4894
90.820307; 53.022; -150.4095
91.186518; 53.030; -150.3244
91.552729; 53.037; -150.2366
91.918939; 53.045; -150.1505
92.285150; 53.052; -150.0679
92.651361; 53.059; -149.9862
93.017572; 53.065; -149.9013
93.383783; 53.072; -149.8125
93.749994; 53.081; -149.7250
94.116205; 53.091; -149.6463
94.482416; 53.101; -149.5804
94.848627; 53.111; -149.5235
95.214838; 53.119; -149.4672
95.581049; 53.126; -149.4041
95.947259; 53.134; -149.3323
96.313470; 53.142; -149.2556
96.679681; 53.152; -149.1790
97.045892; 53.162; -149.1042
97.412103; 53.173; -149.0299
97.778314; 53.183; -148.9542
98.144525; 53.193; -148.8768
98.510736; 53.203; -148.7996
98.876947; 53.213; -148.7232
99.243158; 53.223; -148.6464
99.609369; 53.232; -148.5674
99.975579; 53.241; -148.4859
100.341790; 53.250; -148.4044
100.708001; 53.260; -148.3262
101.074212; 53.269; -148.2523
101.440423; 53.277; -148.1810
101.806634; 53.285; -148.1090
102.172845; 53.292; -148.0342
102.539056; 53.300; -147.9578
102.905267; 53.309; -147.8823
103.271478; 53.318; -147.8094
103.637689; 53.327; -147.7390
104.003899; 53.336; -147.6690
104.370110; 53.345; -147.5970
104.736321; 53.354; -147.5221
105.102532; 53.364; -147.4453
105.468743; 53.375; -147.3689
105.834954; 53.386; -147.2957
106.201165; 53.398; -147.2270
106.567376; 53.409; -147.1613
106.933587; 53.419; -147.0950
107.299798; 53.428; -147.0244
107.666009; 53.437; -146.9483
108.032219; 53.446; -146.8689
108.398430; 53.455; -146.7904
108.764641; 53.465; -146.7145
109.130852; 53.473; -146.6399
109.497063; 53.481; -146.5638
109.863274; 53.489; -146.4856
110.229485; 53.498; -146.4086
110.595696; 53.506; -146.3362
110.961907; 53.515; -146.2685
111.328118; 53.522; -146.2009
111.694328; 53.530; -146.1298
112.060539; 53.540; -146.0578
112.426750; 53.551; -145.9934
112.792961; 53.562; -145.9430
113.159172; 53.572; -145.9016
113.525383; 53.580; -145.8546
113.891594; 53.587; -145.7891
114.257805; 53.598; -145.7088
114.624016; 53.612; -145.6337
114.990227; 53.628; -145.5828
115.356438; 53.641; -145.5526
115.722648; 53.649; -145.5122
116.088859; 53.654; -145.4260
116.455070; 53.663; -145.2875
116.821281; 53.682; -145.1349
117.187492; 53.711; -145.0296
117.553703; 53.739; -145.0082
117.919914; 53.757; -145.0484
118.286125; 53.759; -145.0791
118.652336; 53.752; -145.0296
119.018547; 53.748; -144.8829
119.384758; 53.756; -144.6904
119.750968; 53.777; -144.5352
120.117179; 53.801; -144.4688
120.483390; 53.817; -144.4768
120.849601; 53.820; -144.4950
121.215812; 53.814; -144.4612
121.582023; 53.808; -144.3591
121.948234; 53.810; -144.2235
122.314445; 53.820; -144.1058
122.680656; 53.833; -144.0330
