* Measurement data measured by REW V5.40 beta 112
* Source: SSL 2+, MICROPHONE, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 16, 2026, 9:33:45 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L RDSL-P90V-1125-N008 (Zenith) Jan 16
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz); SPL(dB); Phase(degrees)
20.141602; 51.004; -164.5749
20.507812; 51.062; -164.4280
20.874023; 51.104; -164.2131
21.240234; 51.133; -163.9688
21.606445; 51.153; -163.7270
21.972656; 51.163; -163.5067
22.338867; 51.165; -163.3148
22.705078; 51.158; -163.1520
23.071289; 51.147; -163.0177
23.437500; 51.133; -162.9139
23.803711; 51.117; -162.8433
24.169922; 51.102; -162.8067
24.536132; 51.086; -162.8012
24.902343; 51.073; -162.8210
25.268554; 51.062; -162.8598
25.634765; 51.053; -162.9126
26.000976; 51.048; -162.9752
26.367187; 51.046; -163.0432
26.733398; 51.047; -163.1107
27.099609; 51.051; -163.1720
27.465820; 51.057; -163.2229
27.832031; 51.065; -163.2610
28.198242; 51.074; -163.2853
28.564452; 51.084; -163.2941
28.930663; 51.094; -163.2858
29.296874; 51.105; -163.2607
29.663085; 51.115; -163.2216
30.029296; 51.124; -163.1726
30.395507; 51.133; -163.1176
30.761718; 51.140; -163.0576
31.127929; 51.145; -162.9924
31.494140; 51.148; -162.9231
31.860351; 51.151; -162.8536
32.226562; 51.153; -162.7890
32.592772; 51.154; -162.7324
32.958983; 51.153; -162.6824
33.325194; 51.152; -162.6354
33.691405; 51.151; -162.5892
34.057616; 51.150; -162.5459
34.423827; 51.152; -162.5112
34.790038; 51.154; -162.4893
35.156249; 51.157; -162.4784
35.522460; 51.159; -162.4694
35.888671; 51.160; -162.4505
36.254882; 51.163; -162.4135
36.621092; 51.168; -162.3596
36.987303; 51.178; -162.2987
37.353514; 51.190; -162.2440
37.719725; 51.204; -162.2023
38.085936; 51.216; -162.1693
38.452147; 51.225; -162.1319
38.818358; 51.232; -162.0770
39.184569; 51.238; -162.0007
39.550780; 51.244; -161.9096
39.916991; 51.251; -161.8153
40.283201; 51.257; -161.7251
40.649412; 51.261; -161.6380
41.015623; 51.264; -161.5494
41.381834; 51.265; -161.4587
41.748045; 51.266; -161.3706
42.114256; 51.267; -161.2914
42.480467; 51.267; -161.2219
42.846678; 51.267; -161.1578
43.212889; 51.266; -161.0960
43.579100; 51.267; -161.0398
43.945311; 51.270; -160.9962
44.311521; 51.273; -160.9669
44.677732; 51.277; -160.9433
45.043943; 51.280; -160.9123
45.410154; 51.285; -160.8682
45.776365; 51.295; -160.8181
46.142576; 51.307; -160.7750
46.508787; 51.320; -160.7426
46.874998; 51.332; -160.7093
47.241209; 51.341; -160.6567
47.607420; 51.350; -160.5741
47.973631; 51.359; -160.4650
48.339841; 51.371; -160.3401
48.706052; 51.383; -160.2089
49.072263; 51.396; -160.0781
49.438474; 51.407; -159.9572
49.804685; 51.416; -159.8555
50.170896; 51.418; -159.7685
50.537107; 51.412; -159.6687
50.903318; 51.401; -159.5227
51.269529; 51.395; -159.3308
51.635740; 51.399; -159.1499
52.001951; 51.411; -159.0612
52.368161; 51.418; -159.0946
52.734372; 51.407; -159.1825
53.100583; 51.380; -159.2001
53.466794; 51.357; -159.0797
53.833005; 51.361; -158.8990
54.199216; 51.392; -158.8356
54.565427; 51.426; -158.9968
54.931638; 51.432; -159.2835
55.297849; 51.405; -159.4379
55.664060; 51.379; -159.2647
56.030271; 51.403; -158.8575
56.396481; 51.491; -158.5835
56.762692; 51.598; -158.7511
57.128903; 51.649; -159.2646
57.495114; 51.610; -159.6089
57.861325; 51.530; -159.1959
58.227536; 51.532; -157.9178
58.593747; 51.717; -156.4972
58.959958; 52.055; -156.0394
59.326169; 52.388; -157.0907
59.692380; 52.553; -159.2814
60.058591; 52.466; -161.6492
60.424801; 52.158; -163.0931
60.791012; 51.769; -162.8451
61.157223; 51.498; -161.0231
61.523434; 51.465; -158.7617
61.889645; 51.608; -157.3119
62.255856; 51.766; -157.0267
62.622067; 51.822; -157.3962
62.988278; 51.768; -157.6842
63.354489; 51.672; -157.4651
63.720700; 51.616; -156.8395
64.086910; 51.628; -156.2435
64.453121; 51.672; -156.0103
64.819332; 51.696; -156.1184
65.185543; 51.678; -156.3042
65.551754; 51.636; -156.3320
65.917965; 51.604; -156.1707
66.284176; 51.602; -155.9675
66.650387; 51.622; -155.8776
67.016598; 51.642; -155.9271
67.382809; 51.649; -156.0252
67.749020; 51.647; -156.0701
68.115230; 51.647; -156.0326
68.481441; 51.657; -155.9543
68.847652; 51.675; -155.8850
69.213863; 51.693; -155.8350
69.580074; 51.709; -155.7809
69.946285; 51.724; -155.7028
70.312496; 51.739; -155.6049
70.678707; 51.754; -155.5038
71.044918; 51.767; -155.4059
71.411129; 51.777; -155.3024
71.777340; 51.785; -155.1846
72.143550; 51.792; -155.0578
72.509761; 51.798; -154.9358
72.875972; 51.802; -154.8231
73.242183; 51.804; -154.7085
73.608394; 51.804; -154.5783
73.974605; 51.807; -154.4360
74.340816; 51.816; -154.3069
74.707027; 51.828; -154.2188
75.073238; 51.839; -154.1788
75.439449; 51.846; -154.1659
75.805660; 51.848; -154.1481
76.171870; 51.848; -154.1062
76.538081; 51.851; -154.0434
76.904292; 51.857; -153.9763
77.270503; 51.865; -153.9169
77.636714; 51.873; -153.8625
78.002925; 51.881; -153.8012
78.369136; 51.888; -153.7236
78.735347; 51.896; -153.6304
79.101558; 51.906; -153.5301
79.467769; 51.918; -153.4315
79.833980; 51.930; -153.3386
80.200190; 51.940; -153.2496
80.566401; 51.950; -153.1603
80.932612; 51.958; -153.0669
81.298823; 51.965; -152.9691
81.665034; 51.973; -152.8704
82.031245; 51.980; -152.7766
82.397456; 51.987; -152.6921
82.763667; 51.993; -152.6153
83.129878; 51.998; -152.5391
83.496089; 52.002; -152.4559
83.862300; 52.007; -152.3643
84.228510; 52.014; -152.2730
84.594721; 52.024; -152.1951
84.960932; 52.035; -152.1382
85.327143; 52.044; -152.0978
85.693354; 52.050; -152.0582
86.059565; 52.054; -152.0030
86.425776; 52.059; -151.9253
86.791987; 52.066; -151.8315
87.158198; 52.077; -151.7367
87.524409; 52.090; -151.6539
87.890619; 52.103; -151.5872
88.256830; 52.113; -151.5294
88.623041; 52.121; -151.4668
88.989252; 52.127; -151.3877
89.355463; 52.133; -151.2884
89.721674; 52.141; -151.1759
90.087885; 52.152; -151.0651
90.454096; 52.164; -150.9699
90.820307; 52.176; -150.8959
91.186518; 52.185; -150.8365
91.552729; 52.191; -150.7766
91.918939; 52.195; -150.7027
92.285150; 52.200; -150.6110
92.651361; 52.206; -150.5108
93.017572; 52.216; -150.4172
93.383783; 52.227; -150.3412
93.749994; 52.237; -150.2818
94.116205; 52.244; -150.2277
94.482416; 52.251; -150.1655
94.848627; 52.257; -150.0895
95.214838; 52.266; -150.0053
95.581049; 52.276; -149.9243
95.947259; 52.287; -149.8549
96.313470; 52.298; -149.7955
96.679681; 52.306; -149.7365
97.045892; 52.313; -149.6672
97.412103; 52.320; -149.5842
97.778314; 52.329; -149.4939
98.144525; 52.339; -149.4064
98.510736; 52.350; -149.3287
