* Measurement data measured by REW V5.40 beta 112
* Source: SSL 2+, MICROPHONE, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 16, 2026, 12:01:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L RDSL-P90V-1125-B015 (Aura) Jan 16
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz); SPL(dB); Phase(degrees)
20.141602; 52.132; -164.1230
20.507812; 52.175; -164.0072
20.874023; 52.205; -163.8322
21.240234; 52.225; -163.6401
21.606445; 52.237; -163.4621
21.972656; 52.241; -163.3116
22.338867; 52.237; -163.1889
22.705078; 52.228; -163.0902
23.071289; 52.216; -163.0155
23.437500; 52.204; -162.9683
23.803711; 52.192; -162.9515
24.169922; 52.181; -162.9634
24.536132; 52.171; -162.9973
24.902343; 52.163; -163.0449
25.268554; 52.158; -163.1000
25.634765; 52.155; -163.1589
26.000976; 52.155; -163.2182
26.367187; 52.158; -163.2739
26.733398; 52.163; -163.3209
27.099609; 52.169; -163.3558
27.465820; 52.177; -163.3781
27.832031; 52.187; -163.3891
28.198242; 52.197; -163.3902
28.564452; 52.206; -163.3808
28.930663; 52.215; -163.3592
29.296874; 52.223; -163.3246
29.663085; 52.230; -163.2788
30.029296; 52.236; -163.2256
30.395507; 52.242; -163.1694
30.761718; 52.247; -163.1132
31.127929; 52.251; -163.0587
31.494140; 52.254; -163.0059
31.860351; 52.256; -162.9549
32.226562; 52.258; -162.9056
32.592772; 52.259; -162.8587
32.958983; 52.260; -162.8153
33.325194; 52.262; -162.7762
33.691405; 52.264; -162.7420
34.057616; 52.266; -162.7121
34.423827; 52.268; -162.6848
34.790038; 52.270; -162.6579
35.156249; 52.273; -162.6289
35.522460; 52.276; -162.5950
35.888671; 52.280; -162.5546
36.254882; 52.286; -162.5078
36.621092; 52.293; -162.4579
36.987303; 52.303; -162.4110
37.353514; 52.312; -162.3717
37.719725; 52.322; -162.3394
38.085936; 52.329; -162.3066
38.452147; 52.334; -162.2626
38.818358; 52.338; -162.2002
39.184569; 52.342; -162.1201
39.550780; 52.348; -162.0298
39.916991; 52.355; -161.9386
40.283201; 52.363; -161.8521
40.649412; 52.370; -161.7710
41.015623; 52.376; -161.6937
41.381834; 52.380; -161.6188
41.748045; 52.383; -161.5443
42.114256; 52.384; -161.4676
42.480467; 52.386; -161.3866
42.846678; 52.387; -161.3045
43.212889; 52.389; -161.2289
43.579100; 52.392; -161.1669
43.945311; 52.393; -161.1178
44.311521; 52.392; -161.0703
44.677732; 52.391; -161.0120
45.043943; 52.392; -160.9409
45.410154; 52.397; -160.8700
45.776365; 52.406; -160.8169
46.142576; 52.416; -160.7887
46.508787; 52.424; -160.7753
46.874998; 52.430; -160.7573
47.241209; 52.436; -160.7207
47.607420; 52.443; -160.6643
47.973631; 52.452; -160.5944
48.339841; 52.463; -160.5161
48.706052; 52.475; -160.4315
49.072263; 52.488; -160.3443
49.438474; 52.500; -160.2601
49.804685; 52.510; -160.1771
50.170896; 52.515; -160.0774
50.537107; 52.518; -159.9388
50.903318; 52.523; -159.7629
51.269529; 52.536; -159.5924
51.635740; 52.552; -159.4854
52.001951; 52.560; -159.4595
52.368161; 52.552; -159.4577
52.734372; 52.529; -159.3833
53.100583; 52.509; -159.1912
53.466794; 52.508; -158.9555
53.833005; 52.527; -158.8266
54.199216; 52.545; -158.8921
54.565427; 52.538; -159.0692
54.931638; 52.503; -159.1503
55.297849; 52.471; -158.9886
55.664060; 52.479; -158.6767
56.030271; 52.540; -158.5221
56.396481; 52.615; -158.7713
56.762692; 52.645; -159.3363
57.128903; 52.604; -159.7957
57.495114; 52.534; -159.6950
57.861325; 52.531; -158.9859
58.227536; 52.667; -158.2513
58.593747; 52.907; -158.3204
58.959958; 53.124; -159.5574
59.326169; 53.183; -161.5772
59.692380; 53.027; -163.4787
60.058591; 52.702; -164.2575
60.424801; 52.363; -163.3282
60.791012; 52.200; -161.0847
61.157223; 52.290; -158.8204
61.523434; 52.526; -157.6457
61.889645; 52.735; -157.6611
62.255856; 52.821; -158.2146
62.622067; 52.791; -158.5555
62.988278; 52.724; -158.3106
63.354489; 52.701; -157.6471
63.720700; 52.742; -157.0346
64.086910; 52.807; -156.7929
64.453121; 52.842; -156.8675
64.819332; 52.827; -156.9728
65.185543; 52.785; -156.8750
65.551754; 52.756; -156.5680
65.917965; 52.757; -156.2333
66.284176; 52.779; -156.0493
66.650387; 52.797; -156.0432
67.016598; 52.796; -156.1068
67.382809; 52.783; -156.1188
67.749020; 52.771; -156.0433
68.115230; 52.772; -155.9333
68.481441; 52.783; -155.8589
68.847652; 52.798; -155.8420
69.213863; 52.808; -155.8513
69.580074; 52.815; -155.8440
69.946285; 52.821; -155.8027
70.312496; 52.831; -155.7373
70.678707; 52.843; -155.6634
71.044918; 52.857; -155.5872
71.411129; 52.870; -155.5072
71.777340; 52.883; -155.4236
72.143550; 52.895; -155.3401
72.509761; 52.905; -155.2558
72.875972; 52.912; -155.1620
73.242183; 52.917; -155.0504
73.608394; 52.924; -154.9249
73.974605; 52.932; -154.8028
74.340816; 52.941; -154.7016
74.707027; 52.948; -154.6236
75.073238; 52.951; -154.5540
75.439449; 52.952; -154.4745
75.805660; 52.953; -154.3788
76.171870; 52.957; -154.2775
76.538081; 52.965; -154.1871
76.904292; 52.973; -154.1165
77.270503; 52.982; -154.0620
77.636714; 52.989; -154.0132
78.002925; 52.996; -153.9621
78.369136; 53.003; -153.9066
78.735347; 53.011; -153.8469
79.101558; 53.018; -153.7812
79.467769; 53.026; -153.7068
79.833980; 53.035; -153.6232
80.200190; 53.045; -153.5348
80.566401; 53.056; -153.4473
80.932612; 53.067; -153.3630
81.298823; 53.077; -153.2788
81.665034; 53.085; -153.1891
82.031245; 53.094; -153.0917
82.397456; 53.103; -152.9902
82.763667; 53.112; -152.8920
83.129878; 53.122; -152.8023
83.496089; 53.130; -152.7208
83.862300; 53.137; -152.6416
84.228510; 53.143; -152.5583
84.594721; 53.149; -152.4687
84.960932; 53.156; -152.3772
85.327143; 53.164; -152.2916
85.693354; 53.173; -152.2180
86.059565; 53.181; -152.1559
86.425776; 53.188; -152.0975
86.791987; 53.194; -152.0335
87.158198; 53.200; -151.9589
87.524409; 53.207; -151.8767
87.890619; 53.216; -151.7950
88.256830; 53.225; -151.7201
88.623041; 53.234; -151.6512
88.989252; 53.243; -151.5814
89.355463; 53.250; -151.5036
89.721674; 53.258; -151.4174
90.087885; 53.268; -151.3288
90.454096; 53.278; -151.2459
90.820307; 53.288; -151.1720
91.186518; 53.297; -151.1031
91.552729; 53.304; -151.0315
91.918939; 53.310; -150.9514
92.285150; 53.317; -150.8637
92.651361; 53.326; -150.7742
93.017572; 53.335; -150.6897
93.383783; 53.344; -150.6134
93.749994; 53.353; -150.5433
94.116205; 53.361; -150.4749
94.482416; 53.368; -150.4041
94.848627; 53.376; -150.3293
95.214838; 53.384; -150.2516
95.581049; 53.392; -150.1739
95.947259; 53.401; -150.0981
96.313470; 53.411; -150.0249
96.679681; 53.420; -149.9534
97.045892; 53.429; -149.8824
97.412103; 53.438; -149.8117
97.778314; 53.447; -149.7413
98.144525; 53.455; -149.6706
98.510736; 53.463; -149.5980
98.876947; 53.471; -149.5218
99.243158; 53.480; -149.4417
99.609369; 53.489; -149.3605
99.975579; 53.498; -149.2828
100.341790; 53.508; -149.2112
100.708001; 53.517; -149.1440
101.074212; 53.525; -149.0762
101.440423; 53.532; -149.0028
101.806634; 53.540; -148.9230
102.172845; 53.549; -148.8413
102.539056; 53.558; -148.7638
102.905267; 53.568; -148.6935
103.271478; 53.578; -148.6276
103.637689; 53.586; -148.5604
104.003899; 53.594; -148.4878
104.370110; 53.603; -148.4107
104.736321; 53.613; -148.3343
105.102532; 53.623; -148.2636
105.468743; 53.633; -148.1988
105.834954; 53.641; -148.1353
106.201165; 53.649; -148.0667
106.567376; 53.656; -147.9900
106.933587; 53.664; -147.9075
107.299798; 53.674; -147.8249
107.666009; 53.684; -147.7472
108.032219; 53.694; -147.6766
108.398430; 53.704; -147.6121
108.764641; 53.713; -147.5514
109.130852; 53.722; -147.4925
109.497063; 53.730; -147.4326
109.863274; 53.737; -147.3683
110.229485; 53.744; -147.2962
110.595696; 53.753; -147.2169
110.961907; 53.763; -147.1369
111.328118; 53.774; -147.0650
111.694328; 53.786; -147.0064
112.060539; 53.796; -146.9559
112.426750; 53.804; -146.9007
112.792961; 53.811; -146.8293
113.159172; 53.819; -146.7418
113.525383; 53.830; -146.6518
113.891594; 53.843; -146.5746
114.257805; 53.854; -146.5130
114.624016; 53.863; -146.4530
114.990227; 53.869; -146.3755
115.356438; 53.877; -146.2766
115.722648; 53.888; -146.1753
116.088859; 53.902; -146.1014
116.455070; 53.913; -146.0655
116.821281; 53.915; -146.0415
117.187492; 53.908; -145.9759
117.553703; 53.900; -145.8246
117.919914; 53.900; -145.5927
118.286125; 53.918; -145.3429
118.652336; 53.951; -145.1618
119.018547; 53.990; -145.1051
119.384758; 54.021; -145.1628
119.750968; 54.035; -145.2686
120.117179; 54.034; -145.3441
120.483390; 54.027; -145.3437
120.849601; 54.023; -145.2749
121.215812; 54.027; -145.1804
121.582023; 54.036; -145.1021
121.948234; 54.047; -145.0538
122.314445; 54.055; -145.0208
122.680656; 54.061; -144.9801
123.046867; 54.067; -144.9204
123.413078; 54.075; -144.8481
123.779288; 54.085; -144.7774
124.145499; 54.097; -144.7175
124.511710; 54.108; -144.6662
124.877921; 54.118; -144.6155
125.244132; 54.127; -144.5591
125.610343; 54.136; -144.4963
125.976554; 54.145; -144.4303
126.342765; 54.154; -144.3632
126.708976; 54.164; -144.2949
127.075187; 54.173; -144.2240
