* Measurement data measured by REW V5.40 beta 112
* Source: SSL 2+, MICROPHONE, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 16, 2026, 12:28:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L RDSL-P90V-1125-N020 (Aura) Jan 16
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz); SPL(dB); Phase(degrees)
20.141602; 51.510; -164.4708
20.507812; 51.559; -164.3460
20.874023; 51.594; -164.1518
21.240234; 51.619; -163.9289
21.606445; 51.634; -163.7116
21.972656; 51.641; -163.5190
22.338867; 51.639; -163.3555
22.705078; 51.630; -163.2182
23.071289; 51.617; -163.1064
23.437500; 51.601; -163.0249
23.803711; 51.584; -162.9799
24.169922; 51.567; -162.9722
24.536132; 51.550; -162.9951
24.902343; 51.535; -163.0400
25.268554; 51.523; -163.1031
25.634765; 51.516; -163.1855
26.000976; 51.512; -163.2864
26.367187; 51.511; -163.3969
26.733398; 51.513; -163.5018
27.099609; 51.519; -163.5894
27.465820; 51.529; -163.6582
27.832031; 51.544; -163.7139
28.198242; 51.561; -163.7586
28.564452; 51.578; -163.7846
28.930663; 51.594; -163.7790
29.296874; 51.610; -163.7361
29.663085; 51.626; -163.6623
30.029296; 51.642; -163.5704
30.395507; 51.656; -163.4691
30.761718; 51.665; -163.3575
31.127929; 51.670; -163.2333
31.494140; 51.671; -163.1006
31.860351; 51.669; -162.9699
32.226562; 51.664; -162.8508
32.592772; 51.655; -162.7460
32.958983; 51.643; -162.6565
33.325194; 51.631; -162.5894
33.691405; 51.619; -162.5569
34.057616; 51.607; -162.5647
34.423827; 51.593; -162.6027
34.790038; 51.581; -162.6506
35.156249; 51.573; -162.6977
35.522460; 51.573; -162.7548
35.888671; 51.582; -162.8419
36.254882; 51.595; -162.9618
36.621092; 51.608; -163.0853
36.987303; 51.621; -163.1679
37.353514; 51.637; -163.1812
37.719725; 51.661; -163.1327
38.085936; 51.694; -163.0514
38.452147; 51.729; -162.9581
38.818358; 51.762; -162.8495
39.184569; 51.789; -162.7094
39.550780; 51.810; -162.5290
39.916991; 51.825; -162.3132
40.283201; 51.832; -162.0703
40.649412; 51.833; -161.8049
41.015623; 51.829; -161.5289
41.381834; 51.821; -161.2730
41.748045; 51.809; -161.0763
42.114256; 51.787; -160.9535
42.480467; 51.754; -160.8771
