* Measurement data measured by REW V5.40 beta 112
* Source: SSL 2+, MICROPHONE, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 16, 2026, 11:08:16 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L RDSL-P90V-1125-B012  (Thunderbolt—overwound)
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz); SPL(dB); Phase(degrees)
20.141602; 52.879; -164.0872
20.507812; 52.918; -163.9784
20.874023; 52.944; -163.8123
21.240234; 52.961; -163.6310
21.606445; 52.969; -163.4654
21.972656; 52.970; -163.3294
22.338867; 52.965; -163.2241
22.705078; 52.954; -163.1464
23.071289; 52.942; -163.0955
23.437500; 52.929; -163.0732
23.803711; 52.917; -163.0808
24.169922; 52.907; -163.1159
24.536132; 52.899; -163.1712
24.902343; 52.892; -163.2371
25.268554; 52.889; -163.3055
25.634765; 52.889; -163.3715
26.000976; 52.892; -163.4332
26.367187; 52.898; -163.4891
26.733398; 52.906; -163.5359
27.099609; 52.916; -163.5687
27.465820; 52.925; -163.5834
27.832031; 52.935; -163.5793
28.198242; 52.945; -163.5591
28.564452; 52.955; -163.5268
28.930663; 52.964; -163.4852
29.296874; 52.971; -163.4355
29.663085; 52.976; -163.3785
30.029296; 52.980; -163.3172
30.395507; 52.982; -163.2561
30.761718; 52.984; -163.1995
31.127929; 52.984; -163.1494
31.494140; 52.983; -163.1053
31.860351; 52.982; -163.0672
32.226562; 52.981; -163.0362
32.592772; 52.981; -163.0140
32.958983; 52.981; -163.0001
33.325194; 52.982; -162.9911
33.691405; 52.983; -162.9825
34.057616; 52.986; -162.9714
34.423827; 52.991; -162.9578
34.790038; 52.998; -162.9427
35.156249; 53.006; -162.9256
35.522460; 53.014; -162.9034
35.888671; 53.022; -162.8711
36.254882; 53.030; -162.8247
36.621092; 53.037; -162.7617
36.987303; 53.045; -162.6827
37.353514; 53.054; -162.5920
37.719725; 53.063; -162.4982
38.085936; 53.072; -162.4108
38.452147; 53.080; -162.3348
38.818358; 53.084; -162.2668
39.184569; 53.085; -162.1970
39.550780; 53.083; -162.1176
39.916991; 53.082; -162.0300
40.283201; 53.082; -161.9457
40.649412; 53.083; -161.8775
41.015623; 53.085; -161.8298
41.381834; 53.085; -161.7970
41.748045; 53.086; -161.7697
42.114256; 53.087; -161.7433
42.480467; 53.090; -161.7186
42.846678; 53.095; -161.6962
43.212889; 53.100; -161.6715
43.579100; 53.108; -161.6376
43.945311; 53.117; -161.5916
44.311521; 53.128; -161.5370
44.677732; 53.141; -161.4772
45.043943; 53.153; -161.4091
45.410154; 53.165; -161.3248
45.776365; 53.177; -161.2218
46.142576; 53.190; -161.1090
46.508787; 53.202; -160.9993
46.874998; 53.210; -160.8954
47.241209; 53.214; -160.7859
47.607420; 53.215; -160.6591
47.973631; 53.215; -160.5220
48.339841; 53.216; -160.3990
48.706052; 53.215; -160.3079
49.072263; 53.208; -160.2384
49.438474; 53.197; -160.1613
49.804685; 53.188; -160.0663
50.170896; 53.186; -159.9862
50.537107; 53.190; -159.9705
50.903318; 53.190; -160.0261
51.269529; 53.180; -160.0894
51.635740; 53.168; -160.0767
52.001951; 53.170; -159.9763
52.368161; 53.196; -159.8870
52.734372; 53.236; -159.9328
53.100583; 53.266; -160.1193
53.466794; 53.269; -160.2848
53.833005; 53.256; -160.2223
54.199216; 53.265; -159.8923
54.565427; 53.322; -159.5209
54.931638; 53.409; -159.4184
55.297849; 53.466; -159.6498
55.664060; 53.449; -159.8996
56.030271; 53.372; -159.6844
56.396481; 53.318; -158.8024
56.762692; 53.369; -157.6774
57.128903; 53.510; -157.1063
57.495114; 53.617; -157.4877
57.861325; 53.554; -158.3530
58.227536; 53.281; -158.5454
58.593747; 52.930; -156.8609
58.959958; 52.793; -153.1978
59.326169; 53.088; -149.4244
59.692380; 53.683; -147.8980
60.058591; 54.246; -149.2243
60.424801; 54.530; -152.3841
60.791012; 54.461; -155.8420
61.157223; 54.111; -158.1839
61.523434; 53.671; -158.5797
61.889645; 53.377; -157.3379
62.255856; 53.337; -155.8475
62.622067; 53.450; -155.3449
62.988278; 53.540; -155.9293
63.354489; 53.513; -156.8724
63.720700; 53.399; -157.3992
64.086910; 53.295; -157.2449
64.453121; 53.279; -156.7657
64.819332; 53.344; -156.5238
65.185543; 53.422; -156.7444
65.551754; 53.455; -157.2020
65.917965; 53.439; -157.5137
66.284176; 53.412; -157.4773
66.650387; 53.417; -157.1979
67.016598; 53.461; -156.9370
67.382809; 53.516; -156.8542
67.749020; 53.553; -156.8992
68.115230; 53.563; -156.9121
68.481441; 53.560; -156.7869
68.847652; 53.563; -156.5481
69.213863; 53.579; -156.2989
69.580074; 53.599; -156.1168
69.946285; 53.612; -156.0021
70.312496; 53.614; -155.9084
70.678707; 53.610; -155.7994
71.044918; 53.604; -155.6733
71.411129; 53.600; -155.5459
71.777340; 53.597; -155.4274
72.143550; 53.597; -155.3217
72.509761; 53.601; -155.2390
72.875972; 53.608; -155.1973
73.242183; 53.615; -155.2029
73.608394; 53.617; -155.2334
73.974605; 53.613; -155.2445
74.340816; 53.609; -155.2017
74.707027; 53.611; -155.1072
75.073238; 53.623; -154.9979
75.439449; 53.643; -154.9138
75.805660; 53.663; -154.8671
76.171870; 53.680; -154.8379
76.538081; 53.692; -154.7952
76.904292; 53.702; -154.7214
77.270503; 53.712; -154.6206
77.636714; 53.724; -154.5078
78.002925; 53.736; -154.3948
78.369136; 53.747; -154.2849
78.735347; 53.756; -154.1777
79.101558; 53.765; -154.0744
79.467769; 53.772; -153.9774
79.833980; 53.777; -153.8869
80.200190; 53.780; -153.7986
80.566401; 53.782; -153.7081
80.932612; 53.784; -153.6146
81.298823; 53.787; -153.5228
81.665034; 53.792; -153.4389
82.031245; 53.798; -153.3665
82.397456; 53.804; -153.3047
82.763667; 53.811; -153.2499
83.129878; 53.817; -153.1974
83.496089; 53.823; -153.1431
83.862300; 53.830; -153.0835
84.228510; 53.838; -153.0173
84.594721; 53.847; -152.9453
84.960932; 53.857; -152.8704
85.327143; 53.867; -152.7951
85.693354; 53.878; -152.7195
86.059565; 53.889; -152.6416
86.425776; 53.899; -152.5597
86.791987; 53.909; -152.4740
87.158198; 53.918; -152.3871
87.524409; 53.927; -152.3012
87.890619; 53.936; -152.2165
88.256830; 53.943; -152.1313
88.623041; 53.950; -152.0446
88.989252; 53.957; -151.9572
89.355463; 53.964; -151.8718
89.721674; 53.971; -151.7900
90.087885; 53.977; -151.7114
90.454096; 53.983; -151.6335
90.820307; 53.990; -151.5546
91.186518; 53.997; -151.4751
91.552729; 54.005; -151.3985
91.918939; 54.014; -151.3284
92.285150; 54.023; -151.2658
92.651361; 54.031; -151.2077
93.017572; 54.039; -151.1479
93.383783; 54.046; -151.0802
93.749994; 54.053; -151.0026
94.116205; 54.062; -150.9190
94.482416; 54.072; -150.8373
94.848627; 54.084; -150.7645
95.214838; 54.095; -150.7020
95.581049; 54.104; -150.6440
95.947259; 54.111; -150.5815
96.313470; 54.117; -150.5084
96.679681; 54.124; -150.4253
97.045892; 54.132; -150.3388
97.412103; 54.141; -150.2567
97.778314; 54.151; -150.1822
98.144525; 54.159; -150.1130
98.510736; 54.167; -150.0439
98.876947; 54.174; -149.9713
99.243158; 54.182; -149.8951
99.609369; 54.190; -149.8187
99.975579; 54.199; -149.7448
100.341790; 54.208; -149.6731
100.708001; 54.216; -149.6011
101.074212; 54.224; -149.5258
101.440423; 54.233; -149.4458
101.806634; 54.242; -149.3634
102.172845; 54.252; -149.2830
102.539056; 54.264; -149.2094
102.905267; 54.274; -149.1451
103.271478; 54.284; -149.0880
103.637689; 54.292; -149.0320
104.003899; 54.298; -148.9692
104.370110; 54.304; -148.8946
104.736321; 54.310; -148.8093
105.102532; 54.318; -148.7205
105.468743; 54.328; -148.6368
105.834954; 54.338; -148.5631
106.201165; 54.348; -148.4979
106.567376; 54.357; -148.4359
106.933587; 54.365; -148.3730
107.299798; 54.374; -148.3094
107.666009; 54.382; -148.2474
108.032219; 54.391; -148.1871
108.398430; 54.398; -148.1244
108.764641; 54.406; -148.0546
109.130852; 54.414; -147.9776
109.497063; 54.423; -147.8992
109.863274; 54.433; -147.8255
110.229485; 54.443; -147.7570
110.595696; 54.452; -147.6870
110.961907; 54.461; -147.6095
111.328118; 54.471; -147.5280
111.694328; 54.483; -147.4540
112.060539; 54.494; -147.3952
112.426750; 54.502; -147.3444
112.792961; 54.507; -147.2812
113.159172; 54.511; -147.1914
113.525383; 54.520; -147.0849
113.891594; 54.533; -146.9926
114.257805; 54.546; -146.9391
114.624016; 54.555; -146.9146
114.990227; 54.556; -146.8761
115.356438; 54.556; -146.7848
115.722648; 54.563; -146.6502
116.088859; 54.581; -146.5364
116.455070; 54.603; -146.5123
116.821281; 54.615; -146.5810
117.187492; 54.607; -146.6537
117.553703; 54.581; -146.6002
117.919914; 54.560; -146.3500
118.286125; 54.567; -145.9696
118.652336; 54.611; -145.6405
119.018547; 54.677; -145.5357
119.384758; 54.733; -145.6924
119.750968; 54.755; -145.9863
120.117179; 54.739; -146.2174
120.483390; 54.705; -146.2393
120.849601; 54.680; -146.0491
121.215812; 54.682; -145.7751
121.582023; 54.708; -145.5709
121.948234; 54.738; -145.5043
122.314445; 54.758; -145.5295
122.680656; 54.762; -145.5474
123.046867; 54.759; -145.4917
123.413078; 54.762; -145.3704
123.779288; 54.773; -145.2424
124.145499; 54.791; -145.1583
124.511710; 54.805; -145.1209
124.877921; 54.813; -145.0947
125.244132; 54.818; -145.0441
125.610343; 54.823; -144.9633
125.976554; 54.832; -144.8743
126.342765; 54.843; -144.8016
126.708976; 54.854; -144.7501
127.075187; 54.863; -144.7055
127.441398; 54.869; -144.6508
127.807608; 54.876; -144.5810
128.173819; 54.885; -144.5051
128.540030; 54.895; -144.4345
128.906241; 54.906; -144.3738
129.272452; 54.916; -144.3189
129.638663; 54.926; -144.2640
130.004874; 54.936; -144.2073
130.371085; 54.945; -144.1503
130.737296; 54.955; -144.0946
131.103507; 54.964; -144.0387
131.469718; 54.973; -143.9798
131.835928; 54.981; -143.9163
132.202139; 54.991; -143.8500
132.568350; 55.000; -143.7837
132.934561; 55.010; -143.7193
133.300772; 55.019; -143.6565
133.666983; 55.029; -143.5942
134.033194; 55.038; -143.5314
134.399405; 55.047; -143.4678
134.765616; 55.056; -143.4034
135.131827; 55.065; -143.3384
135.498037; 55.075; -143.2733
135.864248; 55.085; -143.2103
136.230459; 55.095; -143.1517
136.596670; 55.105; -143.0984
136.962881; 55.114; -143.0483
137.329092; 55.123; -142.9977
137.695303; 55.131; -142.9430
138.061514; 55.139; -142.8835
138.427725; 55.148; -142.8213
138.793936; 55.158; -142.7598
139.160147; 55.168; -142.7015
139.526357; 55.179; -142.6470
139.892568; 55.189; -142.5952
140.258779; 55.198; -142.5441
140.624990; 55.207; -142.4915
140.991201; 55.216; -142.4357
141.357412; 55.224; -142.3755
141.723623; 55.233; -142.3115
142.089834; 55.242; -142.2461
142.456045; 55.252; -142.1822
142.822256; 55.263; -142.1220
143.188467; 55.273; -142.0660
143.554677; 55.282; -142.0124
143.920888; 55.291; -141.9584
144.287099; 55.300; -141.9022
144.653310; 55.309; -141.8437
145.019521; 55.318; -141.7845
145.385732; 55.327; -141.7265
145.751943; 55.337; -141.6708
146.118154; 55.347; -141.6168
146.484365; 55.356; -141.5637
146.850576; 55.366; -141.5104
147.216787; 55.375; -141.4569
147.582997; 55.385; -141.4033
147.949208; 55.395; -141.3498
148.315419; 55.405; -141.2962
148.681630; 55.415; -141.2428
149.047841; 55.425; -141.1902
149.414052; 55.435; -141.1386
149.780263; 55.444; -141.0872
150.146474; 55.453; -141.0335
150.512685; 55.461; -140.9744
150.878896; 55.470; -140.9093
151.245107; 55.479; -140.8412
151.611317; 55.490; -140.7757
151.977528; 55.501; -140.7177
152.343739; 55.511; -140.6672
152.709950; 55.521; -140.6196
153.076161; 55.529; -140.5689
153.442372; 55.538; -140.5133
153.808583; 55.547; -140.4559
154.174794; 55.557; -140.4029
154.541005; 55.567; -140.3573
154.907216; 55.577; -140.3161
155.273427; 55.585; -140.2731
155.639637; 55.593; -140.2241
156.005848; 55.602; -140.1702
156.372059; 55.612; -140.1164
156.738270; 55.623; -140.0665
157.104481; 55.633; -140.0195
157.470692; 55.643; -139.9714
157.836903; 55.653; -139.9197
158.203114; 55.664; -139.8664
158.569325; 55.675; -139.8164
158.935536; 55.685; -139.7720
159.301746; 55.695; -139.7298
159.667957; 55.703; -139.6830
160.034168; 55.711; -139.6279
160.400379; 55.720; -139.5683
160.766590; 55.730; -139.5124
161.132801; 55.739; -139.4657
161.499012; 55.747; -139.4245
161.865223; 55.754; -139.3775
162.231434; 55.760; -139.3159
162.597645; 55.768; -139.2427
162.963856; 55.779; -139.1738
163.330066; 55.792; -139.1272
163.696277; 55.804; -139.1075
164.062488; 55.811; -139.0984
164.428699; 55.814; -139.0712
164.794910; 55.816; -139.0036
165.161121; 55.822; -138.8989
165.527332; 55.835; -138.7860
165.893543; 55.854; -138.7019
166.259754; 55.874; -138.6653
166.625965; 55.891; -138.6648
166.992176; 55.900; -138.6677
167.358386; 55.905; -138.6442
167.724597; 55.911; -138.5874
168.090808; 55.919; -138.5141
168.457019; 55.930; -138.4471
168.823230; 55.941; -138.3969
169.189441; 55.951; -138.3569
169.555652; 55.958; -138.3155
169.921863; 55.965; -138.2685
170.288074; 55.972; -138.2208
170.654285; 55.979; -138.1772
171.020496; 55.986; -138.1343
171.386706; 55.992; -138.0858
171.752917; 56.000; -138.0340
172.119128; 56.011; -137.9930
