* Measurement data measured by REW V5.40 beta 112
* Source: SSL 2+, MICROPHONE, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 16, 2026, 10:28:03 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L RDSL-P90V-1125-N016  (Thunderbolt—overwound)
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz); SPL(dB); Phase(degrees)
20.141602; 52.159; -164.3178
20.507812; 52.200; -164.2107
20.874023; 52.227; -164.0479
21.240234; 52.244; -163.8712
21.606445; 52.253; -163.7106
21.972656; 52.255; -163.5790
22.338867; 52.249; -163.4766
22.705078; 52.239; -163.4001
23.071289; 52.227; -163.3491
23.437500; 52.214; -163.3260
23.803711; 52.202; -163.3320
24.169922; 52.192; -163.3638
24.536132; 52.183; -163.4142
24.902343; 52.177; -163.4748
25.268554; 52.173; -163.5394
25.634765; 52.173; -163.6042
26.000976; 52.175; -163.6662
26.367187; 52.180; -163.7223
26.733398; 52.187; -163.7684
27.099609; 52.195; -163.8010
27.465820; 52.204; -163.8184
27.832031; 52.213; -163.8210
28.198242; 52.222; -163.8108
28.564452; 52.230; -163.7894
28.930663; 52.237; -163.7582
29.296874; 52.243; -163.7187
29.663085; 52.248; -163.6733
30.029296; 52.252; -163.6253
30.395507; 52.255; -163.5782
30.761718; 52.257; -163.5350
31.127929; 52.258; -163.4975
31.494140; 52.258; -163.4666
31.860351; 52.258; -163.4412
32.226562; 52.258; -163.4195
32.592772; 52.258; -163.3981
32.958983; 52.258; -163.3743
33.325194; 52.260; -163.3486
33.691405; 52.265; -163.3243
34.057616; 52.271; -163.3060
34.423827; 52.278; -163.2942
34.790038; 52.285; -163.2825
35.156249; 52.290; -163.2602
35.522460; 52.296; -163.2195
35.888671; 52.303; -163.1627
36.254882; 52.313; -163.1014
36.621092; 52.323; -163.0488
36.987303; 52.332; -163.0085
37.353514; 52.337; -162.9715
37.719725; 52.339; -162.9220
38.085936; 52.338; -162.8508
38.452147; 52.338; -162.7616
38.818358; 52.340; -162.6693
39.184569; 52.344; -162.5887
39.550780; 52.347; -162.5260
39.916991; 52.349; -162.4771
40.283201; 52.350; -162.4340
40.649412; 52.351; -162.3916
41.015623; 52.352; -162.3501
41.381834; 52.355; -162.3117
41.748045; 52.358; -162.2776
42.114256; 52.362; -162.2462
42.480467; 52.366; -162.2125
42.846678; 52.371; -162.1705
43.212889; 52.377; -162.1150
43.579100; 52.385; -162.0455
43.945311; 52.396; -161.9692
44.311521; 52.409; -161.8975
44.677732; 52.421; -161.8370
45.043943; 52.430; -161.7821
45.410154; 52.436; -161.7156
45.776365; 52.439; -161.6220
46.142576; 52.442; -161.5028
46.508787; 52.447; -161.3774
46.874998; 52.454; -161.2692
47.241209; 52.458; -161.1868
47.607420; 52.459; -161.1184
47.973631; 52.455; -161.0474
48.339841; 52.451; -160.9687
48.706052; 52.448; -160.8926
49.072263; 52.445; -160.8289
49.438474; 52.443; -160.7733
49.804685; 52.441; -160.7142
50.170896; 52.445; -160.6538
50.537107; 52.455; -160.6164
50.903318; 52.467; -160.6251
51.269529; 52.476; -160.6671
51.635740; 52.480; -160.6884
52.001951; 52.483; -160.6396
52.368161; 52.498; -160.5339
52.734372; 52.528; -160.4532
53.100583; 52.561; -160.4738
53.466794; 52.579; -160.5726
53.833005; 52.571; -160.6134
54.199216; 52.549; -160.4508
54.565427; 52.544; -160.0770
54.931638; 52.573; -159.6684
55.297849; 52.621; -159.4471
55.664060; 52.651; -159.4609
56.030271; 52.634; -159.5094
56.396481; 52.582; -159.3050
56.762692; 52.546; -158.7640
57.128903; 52.569; -158.1754
57.495114; 52.633; -158.0042
57.861325; 52.660; -158.4411
58.227536; 52.567; -159.1350
58.593747; 52.338; -159.3215
58.959958; 52.067; -158.2751
59.326169; 51.931; -155.9801
59.692380; 52.059; -153.5026
60.058591; 52.398; -152.2435
60.424801; 52.755; -152.7419
60.791012; 52.964; -154.4867
61.157223; 52.966; -156.4933
61.523434; 52.810; -157.8589
61.889645; 52.617; -158.1641
62.255856; 52.508; -157.6833
62.622067; 52.522; -157.1383
62.988278; 52.602; -157.0709
63.354489; 52.664; -157.4774
63.720700; 52.669; -157.9857
64.086910; 52.638; -158.2449
64.453121; 52.615; -158.1865
64.819332; 52.629; -158.0080
65.185543; 52.669; -157.9340
65.551754; 52.702; -158.0038
65.917965; 52.712; -158.0779
66.284176; 52.706; -158.0063
66.650387; 52.709; -157.7752
67.016598; 52.732; -157.5064
67.382809; 52.767; -157.3290
67.749020; 52.794; -157.2622
68.115230; 52.803; -157.2190
68.481441; 52.799; -157.1055
68.847652; 52.797; -156.9101
69.213863; 52.805; -156.7042
69.580074; 52.818; -156.5651
69.946285; 52.827; -156.5031
70.312496; 52.823; -156.4600
70.678707; 52.813; -156.3708
71.044918; 52.807; -156.2238
71.411129; 52.812; -156.0687
71.777340; 52.827; -155.9706
72.143550; 52.843; -155.9560
72.509761; 52.852; -155.9964
72.875972; 52.851; -156.0351
73.242183; 52.846; -156.0274
73.608394; 52.842; -155.9636
73.974605; 52.845; -155.8654
74.340816; 52.855; -155.7643
74.707027; 52.870; -155.6815
75.073238; 52.885; -155.6203
75.439449; 52.898; -155.5710
75.805660; 52.909; -155.5194
76.171870; 52.917; -155.4562
76.538081; 52.925; -155.3797
76.904292; 52.932; -155.2939
77.270503; 52.939; -155.2035
77.636714; 52.945; -155.1095
78.002925; 52.950; -155.0101
78.369136; 52.955; -154.9048
78.735347; 52.961; -154.7980
79.101558; 52.967; -154.6977
79.467769; 52.974; -154.6098
79.833980; 52.981; -154.5339
80.200190; 52.986; -154.4642
80.566401; 52.990; -154.3944
80.932612; 52.995; -154.3222
81.298823; 53.000; -154.2489
81.665034; 53.006; -154.1761
82.031245; 53.013; -154.1037
82.397456; 53.021; -154.0312
82.763667; 53.030; -153.9608
83.129878; 53.040; -153.8965
83.496089; 53.050; -153.8403
83.862300; 53.058; -153.7875
84.228510; 53.064; -153.7280
84.594721; 53.070; -153.6524
84.960932; 53.076; -153.5600
85.327143; 53.084; -153.4587
85.693354; 53.094; -153.3598
86.059565; 53.104; -153.2701
86.425776; 53.113; -153.1885
86.791987; 53.122; -153.1092
87.158198; 53.129; -153.0283
87.524409; 53.137; -152.9469
87.890619; 53.144; -152.8695
88.256830; 53.151; -152.7981
88.623041; 53.157; -152.7296
88.989252; 53.162; -152.6577
89.355463; 53.167; -152.5780
89.721674; 53.173; -152.4919
90.087885; 53.180; -152.4067
90.454096; 53.189; -152.3298
90.820307; 53.198; -152.2645
91.186518; 53.206; -152.2064
91.552729; 53.213; -152.1466
91.918939; 53.220; -152.0777
92.285150; 53.227; -151.9984
92.651361; 53.235; -151.9148
93.017572; 53.245; -151.8357
93.383783; 53.256; -151.7663
93.749994; 53.265; -151.7048
94.116205; 53.274; -151.6436
94.482416; 53.280; -151.5756
94.848627; 53.287; -151.4987
95.214838; 53.295; -151.4171
95.581049; 53.304; -151.3378
95.947259; 53.312; -151.2649
96.313470; 53.320; -151.1972
96.679681; 53.327; -151.1293
97.045892; 53.333; -151.0559
97.412103; 53.339; -150.9751
97.778314; 53.346; -150.8893
98.144525; 53.354; -150.8032
98.510736; 53.363; -150.7215
98.876947; 53.372; -150.6466
99.243158; 53.381; -150.5779
99.609369; 53.390; -150.5122
99.975579; 53.398; -150.4459
100.341790; 53.406; -150.3763
100.708001; 53.414; -150.3036
101.074212; 53.422; -150.2301
101.440423; 53.431; -150.1580
101.806634; 53.439; -150.0870
102.172845; 53.447; -150.0141
102.539056; 53.455; -149.9370
102.905267; 53.463; -149.8564
103.271478; 53.472; -149.7774
103.637689; 53.482; -149.7063
104.003899; 53.492; -149.6451
104.370110; 53.499; -149.5891
104.736321; 53.506; -149.5299
105.102532; 53.511; -149.4608
105.468743; 53.517; -149.3824
105.834954; 53.525; -149.3017
106.201165; 53.534; -149.2267
106.567376; 53.543; -149.1611
106.933587; 53.551; -149.1018
107.299798; 53.559; -149.0422
107.666009; 53.566; -148.9764
108.032219; 53.573; -148.9033
108.398430; 53.581; -148.8263
108.764641; 53.591; -148.7510
109.130852; 53.602; -148.6824
109.497063; 53.613; -148.6225
109.863274; 53.622; -148.5685
110.229485; 53.630; -148.5130
110.595696; 53.636; -148.4475
110.961907; 53.642; -148.3669
111.328118; 53.650; -148.2745
111.694328; 53.660; -148.1813
112.060539; 53.671; -148.0990
112.426750; 53.683; -148.0314
112.792961; 53.692; -147.9716
113.159172; 53.699; -147.9080
113.525383; 53.705; -147.8353
113.891594; 53.713; -147.7586
114.257805; 53.720; -147.6879
114.624016; 53.727; -147.6255
114.990227; 53.732; -147.5616
115.356438; 53.737; -147.4832
115.722648; 53.744; -147.3913
116.088859; 53.755; -147.3081
116.455070; 53.768; -147.2632
116.821281; 53.778; -147.2651
117.187492; 53.779; -147.2827
117.553703; 53.770; -147.2579
117.919914; 53.759; -147.1444
118.286125; 53.757; -146.9476
118.652336; 53.773; -146.7321
119.018547; 53.803; -146.5833
119.384758; 53.837; -146.5495
119.750968; 53.861; -146.6098
120.117179; 53.869; -146.6898
120.483390; 53.866; -146.7127
120.849601; 53.861; -146.6467
121.215812; 53.863; -146.5194
121.582023; 53.875; -146.3889
121.948234; 53.893; -146.2989
122.314445; 53.910; -146.2527
122.680656; 53.921; -146.2211
123.046867; 53.928; -146.1726
123.413078; 53.935; -146.0978
123.779288; 53.944; -146.0102
124.145499; 53.955; -145.9301
124.511710; 53.966; -145.8656
124.877921; 53.976; -145.8090
125.244132; 53.983; -145.7470
125.610343; 53.990; -145.6730
125.976554; 53.997; -145.5921
126.342765; 54.007; -145.5146
126.708976; 54.017; -145.4475
127.075187; 54.027; -145.3904
127.441398; 54.035; -145.3377
127.807608; 54.042; -145.2842
128.173819; 54.049; -145.2276
128.540030; 54.056; -145.1673
128.906241; 54.064; -145.1031
129.272452; 54.071; -145.0350
129.638663; 54.080; -144.9648
130.004874; 54.090; -144.8964
130.371085; 54.101; -144.8347
130.737296; 54.113; -144.7818
131.103507; 54.123; -144.7353
131.469718; 54.132; -144.6893
131.835928; 54.140; -144.6378
132.202139; 54.147; -144.5778
132.568350; 54.155; -144.5098
132.934561; 54.164; -144.4372
133.300772; 54.173; -144.3641
133.666983; 54.184; -144.2942
134.033194; 54.194; -144.2300
134.399405; 54.205; -144.1720
134.765616; 54.214; -144.1188
135.131827; 54.223; -144.0661
135.498037; 54.230; -144.0095
135.864248; 54.237; -143.9462
136.230459; 54.245; -143.8771
136.596670; 54.253; -143.8068
136.962881; 54.263; -143.7409
137.329092; 54.273; -143.6826
137.695303; 54.282; -143.6312
138.061514; 54.291; -143.5824
138.427725; 54.298; -143.5310
138.793936; 54.305; -143.4731
139.160147; 54.312; -143.4081
139.526357; 54.320; -143.3383
139.892568; 54.329; -143.2683
140.258779; 54.340; -143.2026
140.624990; 54.350; -143.1446
140.991201; 54.361; -143.0938
141.357412; 54.370; -143.0466
141.723623; 54.379; -142.9977
142.089834; 54.387; -142.9430
142.456045; 54.395; -142.8826
142.822256; 54.405; -142.8210
143.188467; 54.415; -142.7642
143.554677; 54.425; -142.7144
143.920888; 54.433; -142.6683
144.287099; 54.441; -142.6177
144.653310; 54.447; -142.5554
145.019521; 54.455; -142.4812
145.385732; 54.465; -142.4030
145.751943; 54.477; -142.3324
146.118154; 54.490; -142.2766
146.484365; 54.502; -142.2338
146.850576; 54.511; -142.1940
147.216787; 54.519; -142.1468
147.582997; 54.527; -142.0888
147.949208; 54.535; -142.0260
148.315419; 54.545; -141.9682
148.681630; 54.555; -141.9207
149.047841; 54.563; -141.8792
149.414052; 54.569; -141.8333
149.780263; 54.575; -141.7744
150.146474; 54.581; -141.7032
150.512685; 54.590; -141.6295
150.878896; 54.601; -141.5652
151.245107; 54.612; -141.5154
151.611317; 54.622; -141.4757
151.977528; 54.630; -141.4363
152.343739; 54.638; -141.3895
152.709950; 54.646; -141.3350
153.076161; 54.656; -141.2782
153.442372; 54.667; -141.2254
153.808583; 54.678; -141.1786
154.174794; 54.688; -141.1349
154.541005; 54.698; -141.0895
154.907216; 54.708; -141.0398
155.273427; 54.718; -140.9870
155.639637; 54.728; -140.9342
156.005848; 54.738; -140.8829
156.372059; 54.747; -140.8313
156.738270; 54.755; -140.7746
157.104481; 54.762; -140.7089
157.470692; 54.771; -140.6354
157.836903; 54.780; -140.5616
158.203114; 54.791; -140.4979
158.569325; 54.801; -140.4499
158.935536; 54.809; -140.4137
159.301746; 54.815; -140.3772
159.667957; 54.818; -140.3278
160.034168; 54.822; -140.2620
160.400379; 54.829; -140.1886
160.766590; 54.839; -140.1222
