* Measurement data measured by REW V5.40 beta 112
* Source: SSL 2+, MICROPHONE, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 16, 2026, 11:27:47 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L RDSL-P90V-1125-B013 (Zenith) Jan 16
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz); SPL(dB); Phase(degrees)
20.141602; 52.056; -164.5761
20.507812; 52.101; -164.4516
20.874023; 52.133; -164.2659
21.240234; 52.154; -164.0631
21.606445; 52.167; -163.8755
21.972656; 52.171; -163.7164
22.338867; 52.167; -163.5860
22.705078; 52.157; -163.4812
23.071289; 52.144; -163.4018
23.437500; 52.131; -163.3519
23.803711; 52.118; -163.3351
24.169922; 52.107; -163.3509
24.536132; 52.096; -163.3928
24.902343; 52.088; -163.4508
25.268554; 52.082; -163.5157
25.634765; 52.079; -163.5815
26.000976; 52.080; -163.6453
26.367187; 52.084; -163.7059
26.733398; 52.090; -163.7600
27.099609; 52.097; -163.8024
27.465820; 52.105; -163.8280
27.832031; 52.115; -163.8346
28.198242; 52.125; -163.8250
28.564452; 52.135; -163.8052
28.930663; 52.145; -163.7803
29.296874; 52.153; -163.7523
29.663085; 52.159; -163.7194
30.029296; 52.162; -163.6789
30.395507; 52.163; -163.6305
30.761718; 52.163; -163.5769
31.127929; 52.163; -163.5233
31.494140; 52.163; -163.4750
31.860351; 52.163; -163.4358
32.226562; 52.163; -163.4064
32.592772; 52.163; -163.3850
32.958983; 52.163; -163.3682
33.325194; 52.164; -163.3531
33.691405; 52.167; -163.3388
34.057616; 52.171; -163.3265
34.423827; 52.176; -163.3161
34.790038; 52.182; -163.3038
35.156249; 52.188; -163.2834
35.522460; 52.195; -163.2502
35.888671; 52.203; -163.2062
36.254882; 52.213; -163.1592
36.621092; 52.223; -163.1159
36.987303; 52.230; -163.0750
37.353514; 52.235; -163.0264
37.719725; 52.236; -162.9581
38.085936; 52.237; -162.8669
38.452147; 52.239; -162.7617
38.818358; 52.242; -162.6582
39.184569; 52.246; -162.5686
39.550780; 52.249; -162.4965
39.916991; 52.251; -162.4384
40.283201; 52.251; -162.3893
40.649412; 52.251; -162.3457
41.015623; 52.250; -162.3060
41.381834; 52.251; -162.2688
41.748045; 52.253; -162.2341
42.114256; 52.257; -162.2048
42.480467; 52.263; -162.1831
42.846678; 52.269; -162.1660
43.212889; 52.276; -162.1430
43.579100; 52.283; -162.1029
43.945311; 52.293; -162.0441
44.311521; 52.306; -161.9771
44.677732; 52.320; -161.9149
45.043943; 52.333; -161.8579
45.410154; 52.342; -161.7911
45.776365; 52.348; -161.6974
46.142576; 52.353; -161.5749
46.508787; 52.360; -161.4403
46.874998; 52.367; -161.3141
47.241209; 52.371; -161.2017
47.607420; 52.371; -161.0933
47.973631; 52.369; -160.9815
48.339841; 52.366; -160.8750
48.706052; 52.364; -160.7919
49.072263; 52.359; -160.7365
49.438474; 52.352; -160.6910
49.804685; 52.344; -160.6369
50.170896; 52.343; -160.5846
50.537107; 52.348; -160.5721
50.903318; 52.355; -160.6221
51.269529; 52.355; -160.7003
51.635740; 52.351; -160.7299
52.001951; 52.352; -160.6660
52.368161; 52.372; -160.5589
52.734372; 52.411; -160.5224
53.100583; 52.448; -160.6133
53.466794; 52.462; -160.7383
