* Measurement data measured by REW V5.40 beta 112
* Source: SSL 2+, MICROPHONE, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 16, 2026, 11:46:24 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L RDSL-P90V-1125-N019 (Zenith) Jan 16
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz); SPL(dB); Phase(degrees)
20.141602; 51.603; -164.6392
20.507812; 51.644; -164.5340
20.874023; 51.671; -164.3713
21.240234; 51.690; -164.1939
21.606445; 51.700; -164.0326
21.972656; 51.702; -163.8997
22.338867; 51.696; -163.7947
22.705078; 51.686; -163.7133
23.071289; 51.673; -163.6554
23.437500; 51.660; -163.6253
23.803711; 51.648; -163.6266
24.169922; 51.637; -163.6573
24.536132; 51.627; -163.7096
24.902343; 51.619; -163.7736
25.268554; 51.613; -163.8420
25.634765; 51.611; -163.9118
26.000976; 51.612; -163.9813
26.367187; 51.616; -164.0487
26.733398; 51.621; -164.1098
27.099609; 51.629; -164.1600
27.465820; 51.637; -164.1967
27.832031; 51.646; -164.2185
28.198242; 51.655; -164.2259
28.564452; 51.664; -164.2191
28.930663; 51.673; -164.1986
29.296874; 51.681; -164.1665
29.663085; 51.688; -164.1262
30.029296; 51.694; -164.0815
30.395507; 51.699; -164.0346
30.761718; 51.702; -163.9859
31.127929; 51.704; -163.9353
31.494140; 51.705; -163.8837
31.860351; 51.706; -163.8339
32.226562; 51.706; -163.7898
32.592772; 51.707; -163.7538
32.958983; 51.706; -163.7256
33.325194; 51.705; -163.7024
33.691405; 51.704; -163.6805
34.057616; 51.704; -163.6577
34.423827; 51.705; -163.6352
34.790038; 51.708; -163.6169
35.156249; 51.711; -163.6061
35.522460; 51.715; -163.6017
35.888671; 51.718; -163.5960
36.254882; 51.720; -163.5773
36.621092; 51.723; -163.5380
36.987303; 51.729; -163.4814
37.353514; 51.738; -163.4203
37.719725; 51.750; -163.3690
38.085936; 51.761; -163.3319
38.452147; 51.770; -163.3003
38.818358; 51.777; -163.2592
39.184569; 51.781; -163.1992
39.550780; 51.786; -163.1230
39.916991; 51.792; -163.0417
40.283201; 51.797; -162.9641
40.649412; 51.802; -162.8907
41.015623; 51.804; -162.8167
41.381834; 51.806; -162.7394
41.748045; 51.807; -162.6617
42.114256; 51.808; -162.5895
42.480467; 51.808; -162.5247
42.846678; 51.807; -162.4648
43.212889; 51.807; -162.4070
43.579100; 51.807; -162.3529
43.945311; 51.809; -162.3079
44.311521; 51.811; -162.2748
44.677732; 51.813; -162.2504
45.043943; 51.816; -162.2287
45.410154; 51.820; -162.2063
45.776365; 51.826; -162.1841
46.142576; 51.833; -162.1625
46.508787; 51.840; -162.1367
46.874998; 51.848; -162.0994
47.241209; 51.857; -162.0477
47.607420; 51.867; -161.9861
47.973631; 51.878; -161.9190
48.339841; 51.889; -161.8423
48.706052; 51.898; -161.7459
49.072263; 51.907; -161.6278
49.438474; 51.919; -161.5028
49.804685; 51.930; -161.3918
50.170896; 51.936; -161.2968
50.537107; 51.935; -161.1917
50.903318; 51.931; -161.0476
51.269529; 51.931; -160.8745
51.635740; 51.938; -160.7316
52.001951; 51.946; -160.6787
52.368161; 51.942; -160.7073
52.734372; 51.919; -160.7255
53.100583; 51.890; -160.6328
53.466794; 51.875; -160.4328
53.833005; 51.890; -160.2685
54.199216; 51.922; -160.3094
54.565427; 51.939; -160.5771
54.931638; 51.918; -160.8827
55.297849; 51.874; -160.9622
55.664060; 51.850; -160.7245
