* Measurement data measured by REW V5.40 beta 112
* Source: SSL 2+, MICROPHONE, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 7, 2026, 11:49:25 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L RDSL-RDHS-1025-B004 Jan 7
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz); SPL(dB); Phase(degrees)
20.141602; 47.947; 0.8116
20.507812; 47.998; 1.1056
20.874023; 48.034; 1.4714
21.240234; 48.059; 1.8495
21.606445; 48.075; 2.2112
21.972656; 48.080; 2.5473
22.338867; 48.076; 2.8381
22.705078; 48.064; 3.1012
23.071289; 48.048; 3.3340
23.437500; 48.030; 3.5221
23.803711; 48.011; 3.6732
24.169922; 47.992; 3.7802
24.536132; 47.974; 3.8478
24.902343; 47.956; 3.8927
25.268554; 47.941; 3.9143
25.634765; 47.929; 3.9240
26.000976; 47.921; 3.9279
26.367187; 47.917; 3.9175
26.733398; 47.916; 3.9073
27.099609; 47.917; 3.9003
27.465820; 47.921; 3.8979
27.832031; 47.925; 3.9121
28.198242; 47.932; 3.9394
28.564452; 47.939; 3.9795
28.930663; 47.946; 4.0345
29.296874; 47.953; 4.0964
29.663085; 47.959; 4.1697
30.029296; 47.964; 4.2539
30.395507; 47.968; 4.3402
30.761718; 47.970; 4.4311
31.127929; 47.972; 4.5210
31.494140; 47.972; 4.6058
31.860351; 47.970; 4.6890
32.226562; 47.968; 4.7664
32.592772; 47.964; 4.8382
32.958983; 47.961; 4.9048
33.325194; 47.958; 4.9607
33.691405; 47.955; 5.0111
34.057616; 47.952; 5.0588
34.423827; 47.949; 5.1031
34.790038; 47.948; 5.1480
35.156249; 47.949; 5.1887
35.522460; 47.951; 5.2214
35.888671; 47.953; 5.2498
36.254882; 47.955; 5.2779
36.621092; 47.956; 5.3164
36.987303; 47.958; 5.3735
37.353514; 47.961; 5.4436
37.719725; 47.966; 5.5211
38.085936; 47.973; 5.5936
38.452147; 47.979; 5.6539
38.818358; 47.983; 5.7088
39.184569; 47.984; 5.7666
39.550780; 47.984; 5.8344
39.916991; 47.984; 5.9128
40.283201; 47.983; 5.9919
40.649412; 47.983; 6.0657
41.015623; 47.983; 6.1326
41.381834; 47.981; 6.1932
41.748045; 47.979; 6.2532
42.114256; 47.977; 6.3113
42.480467; 47.976; 6.3628
42.846678; 47.975; 6.4077
43.212889; 47.974; 6.4472
43.579100; 47.973; 6.4873
43.945311; 47.973; 6.5322
44.311521; 47.975; 6.5780
44.677732; 47.978; 6.6224
45.043943; 47.982; 6.6635
45.410154; 47.987; 6.7021
45.776365; 47.991; 6.7440
46.142576; 47.996; 6.7919
46.508787; 47.999; 6.8459
46.874998; 48.003; 6.9070
47.241209; 48.006; 6.9739
47.607420; 48.008; 7.0465
47.973631; 48.010; 7.1238
48.339841; 48.012; 7.2015
48.706052; 48.012; 7.2811
49.072263; 48.012; 7.3638
49.438474; 48.011; 7.4481
49.804685; 48.011; 7.5278
50.170896; 48.011; 7.5915
50.537107; 48.009; 7.6351
50.903318; 48.005; 7.6703
51.269529; 47.998; 7.7153
51.635740; 47.993; 7.7794
52.001951; 47.993; 7.8470
52.368161; 47.998; 7.8859
52.734372; 48.002; 7.8828
53.100583; 48.002; 7.8610
53.466794; 47.997; 7.8699
53.833005; 47.994; 7.9400
54.199216; 48.003; 8.0420
54.565427; 48.022; 8.1047
54.931638; 48.042; 8.0839
55.297849; 48.050; 8.0191
55.664060; 48.041; 8.0219
56.030271; 48.031; 8.1774
56.396481; 48.040; 8.4446
56.762692; 48.075; 8.6620
57.128903; 48.116; 8.6815
57.495114; 48.129; 8.5307
57.861325; 48.093; 8.4462
58.227536; 48.027; 8.7242
58.593747; 47.987; 9.4704
58.959958; 48.031; 10.4227
59.326169; 48.163; 11.0622
59.692380; 48.327; 11.0060
60.058591; 48.439; 10.2786
60.424801; 48.447; 9.2798
60.791012; 48.352; 8.5208
61.157223; 48.209; 8.3559
61.523434; 48.094; 8.7731
61.889645; 48.054; 9.4139
62.255856; 48.078; 9.8524
62.622067; 48.117; 9.9131
62.988278; 48.127; 9.7265
63.354489; 48.101; 9.5507
63.720700; 48.060; 9.5542
64.086910; 48.034; 9.7139
64.453121; 48.034; 9.8801
64.819332; 48.049; 9.9321
65.185543; 48.059; 9.8719
65.551754; 48.055; 9.7949
65.917965; 48.045; 9.7884
66.284176; 48.040; 9.8601
66.650387; 48.046; 9.9503
67.016598; 48.060; 9.9993
67.382809; 48.071; 10.0000
67.749020; 48.075; 9.9968
68.115230; 48.074; 10.0339
68.481441; 48.075; 10.1185
68.847652; 48.080; 10.2210
69.213863; 48.090; 10.3065
69.580074; 48.098; 10.3649
69.946285; 48.102; 10.4123
70.312496; 48.101; 10.4697
70.678707; 48.100; 10.5451
71.044918; 48.100; 10.6295
71.411129; 48.101; 10.7082
71.777340; 48.101; 10.7742
72.143550; 48.101; 10.8296
72.509761; 48.100; 10.8805
72.875972; 48.099; 10.9317
73.242183; 48.098; 10.9834
73.608394; 48.097; 11.0334
73.974605; 48.098; 11.0790
74.340816; 48.099; 11.1178
74.707027; 48.100; 11.1518
75.073238; 48.101; 11.1856
75.439449; 48.101; 11.2255
75.805660; 48.102; 11.2756
76.171870; 48.105; 11.3334
76.538081; 48.109; 11.3917
76.904292; 48.115; 11.4431
77.270503; 48.121; 11.4860
77.636714; 48.124; 11.5275
78.002925; 48.127; 11.5768
78.369136; 48.128; 11.6386
78.735347; 48.131; 11.7103
79.101558; 48.134; 11.7831
79.467769; 48.138; 11.8492
79.833980; 48.142; 11.9065
80.200190; 48.144; 11.9586
80.566401; 48.144; 12.0115
80.932612; 48.144; 12.0694
81.298823; 48.143; 12.1322
81.665034; 48.144; 12.1965
82.031245; 48.145; 12.2583
82.397456; 48.146; 12.3143
82.763667; 48.148; 12.3649
83.129878; 48.149; 12.4124
83.496089; 48.150; 12.4592
83.862300; 48.152; 12.5071
84.228510; 48.153; 12.5552
84.594721; 48.155; 12.6014
84.960932; 48.158; 12.6449
85.327143; 48.160; 12.6865
85.693354; 48.161; 12.7316
86.059565; 48.162; 12.7851
86.425776; 48.163; 12.8476
86.791987; 48.166; 12.9138
87.158198; 48.171; 12.9762
87.524409; 48.175; 13.0289
87.890619; 48.179; 13.0722
88.256830; 48.182; 13.1119
88.623041; 48.183; 13.1553
88.989252; 48.184; 13.2075
89.355463; 48.184; 13.2674
89.721674; 48.186; 13.3307
90.087885; 48.188; 13.3917
90.454096; 48.191; 13.4470
90.820307; 48.194; 13.4976
91.186518; 48.196; 13.5471
