* Measurement data measured by REW V5.40 beta 112
* Source: SSL 2+, MICROPHONE, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 7, 2026, 11:53:08 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L RDSL-RDHS-1025-M006 Jan 7
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz); SPL(dB); Phase(degrees)
20.141602; 47.313; 0.7684
20.507812; 47.366; 1.0619
20.874023; 47.403; 1.4240
21.240234; 47.428; 1.7967
21.606445; 47.444; 2.1539
21.972656; 47.448; 2.4868
22.338867; 47.444; 2.7768
22.705078; 47.432; 3.0410
23.071289; 47.416; 3.2764
23.437500; 47.397; 3.4673
23.803711; 47.379; 3.6205
24.169922; 47.360; 3.7284
24.536132; 47.341; 3.7957
24.902343; 47.324; 3.8402
25.268554; 47.309; 3.8619
25.634765; 47.297; 3.8720
26.000976; 47.289; 3.8756
26.367187; 47.284; 3.8637
26.733398; 47.283; 3.8510
27.099609; 47.284; 3.8420
27.465820; 47.286; 3.8387
27.832031; 47.291; 3.8528
28.198242; 47.297; 3.8799
28.564452; 47.304; 3.9183
28.930663; 47.312; 3.9704
29.296874; 47.318; 4.0291
29.663085; 47.324; 4.1002
30.029296; 47.329; 4.1831
30.395507; 47.333; 4.2680
30.761718; 47.336; 4.3563
31.127929; 47.338; 4.4429
31.494140; 47.338; 4.5258
31.860351; 47.337; 4.6102
32.226562; 47.334; 4.6915
32.592772; 47.332; 4.7670
32.958983; 47.329; 4.8340
33.325194; 47.327; 4.8866
33.691405; 47.323; 4.9336
34.057616; 47.320; 4.9820
34.423827; 47.316; 5.0322
34.790038; 47.315; 5.0846
35.156249; 47.316; 5.1283
35.522460; 47.319; 5.1563
35.888671; 47.320; 5.1753
36.254882; 47.320; 5.1965
36.621092; 47.318; 5.2364
36.987303; 47.318; 5.3026
37.353514; 47.320; 5.3835
37.719725; 47.327; 5.4658
38.085936; 47.334; 5.5347
38.452147; 47.341; 5.5857
38.818358; 47.345; 5.6308
39.184569; 47.347; 5.6813
39.550780; 47.347; 5.7446
39.916991; 47.347; 5.8191
40.283201; 47.348; 5.8943
40.649412; 47.349; 5.9646
41.015623; 47.349; 6.0293
41.381834; 47.348; 6.0891
41.748045; 47.347; 6.1500
42.114256; 47.346; 6.2104
42.480467; 47.345; 6.2662
42.846678; 47.345; 6.3162
43.212889; 47.345; 6.3599
43.579100; 47.344; 6.4018
43.945311; 47.343; 6.4469
