* Measurement data measured by REW V5.40 beta 112
* Source: SSL 2+, MICROPHONE, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 7, 2026, 12:03:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L RDSL-RDHS-1025-N010 Jan 7
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz); SPL(dB); Phase(degrees)
20.141602; 47.497; 0.5278
20.507812; 47.551; 0.8270
20.874023; 47.590; 1.1961
21.240234; 47.617; 1.5767
21.606445; 47.633; 1.9423
21.972656; 47.639; 2.2837
22.338867; 47.635; 2.5814
22.705078; 47.624; 2.8511
23.071289; 47.608; 3.0893
23.437500; 47.589; 3.2816
23.803711; 47.570; 3.4370
24.169922; 47.550; 3.5498
24.536132; 47.530; 3.6240
24.902343; 47.512; 3.6747
25.268554; 47.497; 3.6996
25.634765; 47.484; 3.7097
26.000976; 47.476; 3.7115
26.367187; 47.470; 3.6981
26.733398; 47.468; 3.6851
27.099609; 47.468; 3.6761
27.465820; 47.470; 3.6720
27.832031; 47.474; 3.6843
28.198242; 47.480; 3.7089
28.564452; 47.487; 3.7440
28.930663; 47.495; 3.7911
29.296874; 47.501; 3.8423
29.663085; 47.506; 3.9035
30.029296; 47.510; 3.9767
30.395507; 47.514; 4.0549
30.761718; 47.516; 4.1404
31.127929; 47.518; 4.2256
31.494140; 47.518; 4.3048
31.860351; 47.518; 4.3812
32.226562; 47.517; 4.4517
32.592772; 47.514; 4.5180
32.958983; 47.512; 4.5810
33.325194; 47.510; 4.6337
33.691405; 47.509; 4.6804
34.057616; 47.507; 4.7238
34.423827; 47.505; 4.7649
34.790038; 47.503; 4.8106
35.156249; 47.503; 4.8574
35.522460; 47.505; 4.9002
35.888671; 47.507; 4.9376
36.254882; 47.510; 4.9670
36.621092; 47.511; 4.9960
36.987303; 47.510; 5.0355
37.353514; 47.509; 5.0896
37.719725; 47.508; 5.1624
38.085936; 47.510; 5.2445
38.452147; 47.513; 5.3213
38.818358; 47.518; 5.3860
39.184569; 47.521; 5.4366
39.550780; 47.523; 5.4807
39.916991; 47.523; 5.5295
40.283201; 47.522; 5.5842
40.649412; 47.522; 5.6436
41.015623; 47.523; 5.7017
41.381834; 47.524; 5.7525
41.748045; 47.525; 5.8005
42.114256; 47.526; 5.8482
42.480467; 47.527; 5.8965
42.846678; 47.529; 5.9466
43.212889; 47.531; 5.9967
43.579100; 47.533; 6.0491
43.945311; 47.534; 6.1073
44.311521; 47.536; 6.1689
44.677732; 47.539; 6.2316
45.043943; 47.541; 6.2915
45.410154; 47.543; 6.3478
45.776365; 47.543; 6.4079
46.142576; 47.542; 6.4754
46.508787; 47.541; 6.5479
46.874998; 47.541; 6.6185
47.241209; 47.541; 6.6796
47.607420; 47.540; 6.7321
47.973631; 47.538; 6.7810
48.339841; 47.536; 6.8267
48.706052; 47.535; 6.8670
49.072263; 47.534; 6.8982
49.438474; 47.532; 6.9241
49.804685; 47.530; 6.9571
50.170896; 47.531; 7.0014
50.537107; 47.535; 7.0445
50.903318; 47.543; 7.0677
51.269529; 47.549; 7.0670
51.635740; 47.551; 7.0705
52.001951; 47.550; 7.1192
52.368161; 47.553; 7.2227
52.734372; 47.565; 7.3420
53.100583; 47.584; 7.4141
53.466794; 47.598; 7.4188
53.833005; 47.597; 7.4165
54.199216; 47.583; 7.5029
54.565427; 47.572; 7.7145
54.931638; 47.580; 7.9671
55.297849; 47.603; 8.1079
55.664060; 47.617; 8.0666
56.030271; 47.597; 7.9503
56.396481; 47.543; 7.9814
56.762692; 47.490; 8.2995
57.128903; 47.481; 8.7697
57.495114; 47.526; 9.0200
57.861325; 47.576; 8.7481
58.227536; 47.556; 8.0285
58.593747; 47.421; 7.3514
58.959958; 47.195; 7.3736
59.326169; 46.988; 8.4748
59.692380; 46.933; 10.3303
60.058591; 47.081; 11.9611
60.424801; 47.346; 12.5046
60.791012; 47.583; 11.8424
61.157223; 47.692; 10.5184
61.523434; 47.662; 9.2786
61.889645; 47.555; 8.6615
62.255856; 47.463; 8.7342
62.622067; 47.447; 9.1179
62.988278; 47.498; 9.3379
63.354489; 47.560; 9.2044
63.720700; 47.587; 8.8753
64.086910; 47.576; 8.6358
64.453121; 47.552; 8.6461
64.819332; 47.548; 8.8446
65.185543; 47.572; 9.0442
65.551754; 47.606; 9.1164
65.917965; 47.628; 9.0838
66.284176; 47.630; 9.0602
66.650387; 47.622; 9.1327
67.016598; 47.618; 9.2916
67.382809; 47.624; 9.4586
67.749020; 47.635; 9.5703
68.115230; 47.641; 9.6254
68.481441; 47.638; 9.6682
68.847652; 47.630; 9.7367
69.213863; 47.624; 9.8304
69.580074; 47.622; 9.9202
69.946285; 47.622; 9.9822
70.312496; 47.621; 10.0165
70.678707; 47.618; 10.0416
71.044918; 47.615; 10.0721
71.411129; 47.612; 10.1085
71.777340; 47.612; 10.1428
72.143550; 47.613; 10.1697
72.509761; 47.615; 10.1924
72.875972; 47.617; 10.2191
73.242183; 47.620; 10.2549
73.608394; 47.623; 10.3011
73.974605; 47.627; 10.3561
74.340816; 47.633; 10.4148
74.707027; 47.640; 10.4723
75.073238; 47.648; 10.5222
75.439449; 47.654; 10.5624
75.805660; 47.657; 10.5991
76.171870; 47.657; 10.6443
76.538081; 47.656; 10.7072
76.904292; 47.655; 10.7872
77.270503; 47.656; 10.8714
77.636714; 47.658; 10.9464
78.002925; 47.660; 11.0065
78.369136; 47.660; 11.0562
78.735347; 47.659; 11.1059
79.101558; 47.658; 11.1603
79.467769; 47.657; 11.2163
79.833980; 47.658; 11.2679
80.200190; 47.659; 11.3113
80.566401; 47.660; 11.3490
80.932612; 47.660; 11.3865
81.298823; 47.661; 11.4266
81.665034; 47.663; 11.4681
82.031245; 47.666; 11.5088
82.397456; 47.668; 11.5477
82.763667; 47.671; 11.5881
83.129878; 47.673; 11.6328
83.496089; 47.675; 11.6824
83.862300; 47.678; 11.7353
84.228510; 47.682; 11.7892
84.594721; 47.685; 11.8425
84.960932; 47.688; 11.8949
85.327143; 47.690; 11.9464
85.693354; 47.692; 11.9979
86.059565; 47.694; 12.0507
86.425776; 47.695; 12.1062
86.791987; 47.695; 12.1651
87.158198; 47.696; 12.2261
87.524409; 47.697; 12.2863
87.890619; 47.699; 12.3425
88.256830; 47.701; 12.3926
88.623041; 47.703; 12.4375
88.989252; 47.705; 12.4801
89.355463; 47.705; 12.5238
89.721674; 47.706; 12.5708
90.087885; 47.707; 12.6213
90.454096; 47.709; 12.6729
90.820307; 47.711; 12.7237
91.186518; 47.714; 12.7721
91.552729; 47.717; 12.8183
91.918939; 47.719; 12.8642
92.285150; 47.721; 12.9117
92.651361; 47.723; 12.9621
93.017572; 47.726; 13.0143
93.383783; 47.728; 13.0663
93.749994; 47.731; 13.1169
94.116205; 47.733; 13.1661
94.482416; 47.735; 13.2152
94.848627; 47.736; 13.2660
95.214838; 47.738; 13.3178
95.581049; 47.740; 13.3694
95.947259; 47.742; 13.4198
96.313470; 47.744; 13.4689
96.679681; 47.746; 13.5173
97.045892; 47.748; 13.5660
97.412103; 47.750; 13.6149
97.778314; 47.752; 13.6644
98.144525; 47.753; 13.7139
98.510736; 47.756; 13.7635
98.876947; 47.758; 13.8131
99.243158; 47.760; 13.8630
99.609369; 47.762; 13.9125
99.975579; 47.765; 13.9617
100.341790; 47.767; 14.0103
100.708001; 47.769; 14.0596
101.074212; 47.771; 14.1101
101.440423; 47.773; 14.1606
101.806634; 47.776; 14.2098
102.172845; 47.778; 14.2571
102.539056; 47.779; 14.3037
102.905267; 47.781; 14.3520
103.271478; 47.782; 14.4029
103.637689; 47.784; 14.4557
104.003899; 47.786; 14.5077
104.370110; 47.789; 14.5567
104.736321; 47.791; 14.6020
105.102532; 47.794; 14.6444
105.468743; 47.796; 14.6861
105.834954; 47.798; 14.7292
106.201165; 47.799; 14.7748
106.567376; 47.801; 14.8232
106.933587; 47.803; 14.8742
107.299798; 47.806; 14.9264
107.666009; 47.809; 14.9789
108.032219; 47.812; 15.0299
108.398430; 47.815; 15.0787
108.764641; 47.818; 15.1270
109.130852; 47.820; 15.1766
109.497063; 47.822; 15.2276
109.863274; 47.824; 15.2786
110.229485; 47.826; 15.3280
110.595696; 47.828; 15.3762
110.961907; 47.829; 15.4267
111.328118; 47.830; 15.4813
111.694328; 47.832; 15.5377
112.060539; 47.835; 15.5904
112.426750; 47.838; 15.6341
112.792961; 47.840; 15.6713
113.159172; 47.841; 15.7103
113.525383; 47.841; 15.7583
113.891594; 47.844; 15.8130
114.257805; 47.848; 15.8621
114.624016; 47.854; 15.8943
114.990227; 47.857; 15.9128
115.356438; 47.857; 15.9363
115.722648; 47.855; 15.9860
116.088859; 47.856; 16.0639
116.455070; 47.863; 16.1456
116.821281; 47.875; 16.1975
117.187492; 47.884; 16.2067
117.553703; 47.886; 16.1995
117.919914; 47.881; 16.2264
118.286125; 47.875; 16.3225
118.652336; 47.878; 16.4733
119.018547; 47.893; 16.6154
119.384758; 47.917; 16.6789
119.750968; 47.938; 16.6404
120.117179; 47.945; 16.5425
120.483390; 47.935; 16.4666
120.849601; 47.916; 16.4783
121.215812; 47.900; 16.5856
121.582023; 47.895; 16.7391
121.948234; 47.901; 16.8721
122.314445; 47.911; 16.9469
122.680656; 47.917; 16.9743
123.046867; 47.917; 16.9924
123.413078; 47.914; 17.0320
123.779288; 47.912; 17.0964
124.145499; 47.913; 17.1662
124.511710; 47.917; 17.2221
124.877921; 47.920; 17.2609
125.244132; 47.921; 17.2945
125.610343; 47.922; 17.3360
125.976554; 47.923; 17.3872
126.342765; 47.926; 17.4391
126.708976; 47.930; 17.4822
127.075187; 47.934; 17.5158
127.441398; 47.937; 17.5473
127.807608; 47.938; 17.5860
128.173819; 47.940; 17.6344
128.540030; 47.943; 17.6878
128.906241; 47.947; 17.7393
129.272452; 47.951; 17.7852
129.638663; 47.954; 17.8277
130.004874; 47.957; 17.8711
130.371085; 47.959; 17.9182
130.737296; 47.961; 17.9684
131.103507; 47.963; 18.0198
131.469718; 47.966; 18.0704
131.835928; 47.968; 18.1198
132.202139; 47.970; 18.1685
132.568350; 47.973; 18.2171
132.934561; 47.975; 18.2661
133.300772; 47.977; 18.3143
133.666983; 47.980; 18.3615
134.033194; 47.983; 18.4068
134.399405; 47.985; 18.4498
134.765616; 47.987; 18.4922
135.131827; 47.989; 18.5360
135.498037; 47.991; 18.5827
135.864248; 47.994; 18.6319
136.230459; 47.997; 18.6814
136.596670; 48.000; 18.7294
136.962881; 48.003; 18.7748
137.329092; 48.007; 18.8187
137.695303; 48.010; 18.8627
138.061514; 48.012; 18.9079
138.427725; 48.015; 18.9544
138.793936; 48.018; 19.0021
139.160147; 48.021; 19.0500
139.526357; 48.024; 19.0977
139.892568; 48.027; 19.1445
140.258779; 48.030; 19.1900
140.624990; 48.033; 19.2341
140.991201; 48.036; 19.2778
141.357412; 48.038; 19.3229
141.723623; 48.040; 19.3695
142.089834; 48.043; 19.4170
142.456045; 48.045; 19.4637
142.822256; 48.048; 19.5094
143.188467; 48.051; 19.5537
143.554677; 48.054; 19.5976
143.920888; 48.056; 19.6414
144.287099; 48.059; 19.6845
144.653310; 48.062; 19.7259
145.019521; 48.065; 19.7655
145.385732; 48.067; 19.8051
145.751943; 48.069; 19.8483
146.118154; 48.071; 19.8970
146.484365; 48.073; 19.9500
146.850576; 48.076; 20.0028
147.216787; 48.080; 20.0513
147.582997; 48.084; 20.0945
147.949208; 48.087; 20.1357
148.315419; 48.089; 20.1788
148.681630; 48.092; 20.2256
149.047841; 48.094; 20.2746
149.414052; 48.098; 20.3221
149.780263; 48.101; 20.3663
150.146474; 48.104; 20.4084
150.512685; 48.106; 20.4514
150.878896; 48.109; 20.4967
151.245107; 48.112; 20.5432
151.611317; 48.115; 20.5881
151.977528; 48.119; 20.6299
152.343739; 48.121; 20.6702
152.709950; 48.123; 20.7127
153.076161; 48.125; 20.7602
153.442372; 48.127; 20.8123
153.808583; 48.130; 20.8656
154.174794; 48.134; 20.9157
154.541005; 48.138; 20.9608
154.907216; 48.141; 21.0022
155.273427; 48.144; 21.0433
155.639637; 48.146; 21.0875
156.005848; 48.149; 21.1346
156.372059; 48.152; 21.1823
156.738270; 48.155; 21.2276
157.104481; 48.158; 21.2695
157.470692; 48.161; 21.3092
157.836903; 48.164; 21.3487
158.203114; 48.167; 21.3889
158.569325; 48.170; 21.4289
158.935536; 48.173; 21.4676
159.301746; 48.176; 21.5050
159.667957; 48.178; 21.5437
160.034168; 48.181; 21.5859
160.400379; 48.184; 21.6326
160.766590; 48.187; 21.6809
161.132801; 48.191; 21.7274
161.499012; 48.195; 21.7708
161.865223; 48.199; 21.8131
162.231434; 48.202; 21.8576
162.597645; 48.205; 21.9064
162.963856; 48.208; 21.9584
163.330066; 48.212; 22.0097
163.696277; 48.216; 22.0572
164.062488; 48.220; 22.1007
164.428699; 48.223; 22.1422
164.794910; 48.225; 22.1845
165.161121; 48.227; 22.2292
165.527332; 48.229; 22.2759
165.893543; 48.230; 22.3236
166.259754; 48.232; 22.3717
166.625965; 48.235; 22.4190
166.992176; 48.238; 22.4635
167.358386; 48.241; 22.5032
167.724597; 48.244; 22.5386
168.090808; 48.247; 22.5721
168.457019; 48.250; 22.6065
168.823230; 48.252; 22.6436
169.189441; 48.255; 22.6830
169.555652; 48.259; 22.7244
169.921863; 48.263; 22.7680
170.288074; 48.267; 22.8142
170.654285; 48.273; 22.8606
171.020496; 48.279; 22.9031
171.386706; 48.284; 22.9391
171.752917; 48.288; 22.9744
172.119128; 48.290; 23.0197
172.485339; 48.292; 23.0819
172.851550; 48.295; 23.1541
173.217761; 48.301; 23.2189
173.583972; 48.307; 23.2626
173.950183; 48.310; 23.2904
174.316394; 48.308; 23.3251
174.682605; 48.305; 23.3880
175.048816; 48.305; 23.4738
175.415026; 48.310; 23.5483
175.781237; 48.317; 23.5767
176.147448; 48.320; 23.5604
176.513659; 48.313; 23.5457
176.879870; 48.302; 23.5865
177.246081; 48.298; 23.6888
177.612292; 48.308; 23.7852
177.978503; 48.330; 23.7769
178.344714; 48.346; 23.6177
178.710925; 48.336; 23.3746
179.077136; 48.296; 23.2043
179.443346; 48.240; 23.2573
179.809557; 48.198; 23.5666
180.175768; 48.195; 24.0074
180.541979; 48.234; 24.3704
180.908190; 48.293; 24.5049
181.274401; 48.342; 24.4118
181.640612; 48.364; 24.2217
182.006823; 48.361; 24.0884
182.373034; 48.350; 24.0896
182.739245; 48.348; 24.1924
183.105455; 48.360; 24.3051
183.471666; 48.378; 24.3593
183.837877; 48.392; 24.3562
184.204088; 48.396; 24.3466
184.570299; 48.395; 24.3773
184.936510; 48.395; 24.4531
185.302721; 48.400; 24.5421
185.668932; 48.408; 24.6109
186.035143; 48.415; 24.6528
186.401354; 48.418; 24.6839
186.767565; 48.418; 24.7274
187.133775; 48.418; 24.7877
187.499986; 48.422; 24.8517
