* Measurement data measured by REW V5.40 beta 112
* Source: SSL 2+, MICROPHONE, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 7, 2026, 11:39:42 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L RDSL-TWDV-1025-B001 Jan 7
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz); SPL(dB); Phase(degrees)
20.141602; 46.763; 0.9097
20.507812; 46.819; 1.2182
20.874023; 46.860; 1.5989
21.240234; 46.888; 1.9933
21.606445; 46.905; 2.3749
21.972656; 46.912; 2.7345
22.338867; 46.909; 3.0517
22.705078; 46.898; 3.3411
23.071289; 46.882; 3.5983
23.437500; 46.864; 3.8082
23.803711; 46.844; 3.9797
24.169922; 46.824; 4.1066
24.536132; 46.804; 4.1930
24.902343; 46.786; 4.2530
25.268554; 46.771; 4.2839
25.634765; 46.758; 4.2967
26.000976; 46.749; 4.2996
26.367187; 46.742; 4.2880
26.733398; 46.739; 4.2799
27.099609; 46.739; 4.2785
27.465820; 46.741; 4.2826
27.832031; 46.746; 4.3011
28.198242; 46.753; 4.3288
28.564452; 46.760; 4.3661
28.930663; 46.767; 4.4185
29.296874; 46.774; 4.4804
29.663085; 46.779; 4.5564
30.029296; 46.784; 4.6441
30.395507; 46.789; 4.7322
30.761718; 46.792; 4.8228
31.127929; 46.794; 4.9119
31.494140; 46.794; 4.9975
31.860351; 46.793; 5.0839
32.226562; 46.791; 5.1652
32.592772; 46.788; 5.2400
32.958983; 46.785; 5.3086
33.325194; 46.783; 5.3677
33.691405; 46.780; 5.4246
34.057616; 46.778; 5.4814
34.423827; 46.778; 5.5339
34.790038; 46.778; 5.5829
35.156249; 46.780; 5.6240
35.522460; 46.782; 5.6584
35.888671; 46.783; 5.6956
36.254882; 46.784; 5.7412
36.621092; 46.785; 5.8018
36.987303; 46.787; 5.8781
37.353514; 46.791; 5.9597
37.719725; 46.797; 6.0412
38.085936; 46.803; 6.1143
38.452147; 46.808; 6.1758
