* Measurement data measured by REW V5.40 beta 112
* Source: SSL 2+, MICROPHONE, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 7, 2026, 11:43:16 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L RDSL-TWDV-1025-M002 Jan 7
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz); SPL(dB); Phase(degrees)
20.141602; 46.057; 0.5135
20.507812; 46.122; 0.8439
20.874023; 46.169; 1.2546
21.240234; 46.204; 1.6850
21.606445; 46.226; 2.1048
21.972656; 46.237; 2.5020
22.338867; 46.237; 2.8550
22.705078; 46.227; 3.1800
23.071289; 46.211; 3.4741
23.437500; 46.191; 3.7224
23.803711; 46.169; 3.9313
24.169922; 46.146; 4.0915
24.536132; 46.123; 4.2030
24.902343; 46.102; 4.2788
25.268554; 46.082; 4.3173
25.634765; 46.065; 4.3316
26.000976; 46.052; 4.3320
26.367187; 46.041; 4.3150
26.733398; 46.035; 4.2974
27.099609; 46.033; 4.2810
27.465820; 46.034; 4.2644
27.832031; 46.038; 4.2583
28.198242; 46.044; 4.2612
28.564452; 46.051; 4.2779
28.930663; 46.059; 4.3151
29.296874; 46.067; 4.3660
29.663085; 46.076; 4.4325
30.029296; 46.083; 4.5112
30.395507; 46.090; 4.5926
30.761718; 46.095; 4.6826
31.127929; 46.099; 4.7789
31.494140; 46.100; 4.8779
31.860351; 46.101; 4.9792
32.226562; 46.101; 5.0736
32.592772; 46.099; 5.1589
32.958983; 46.096; 5.2383
33.325194; 46.093; 5.3099
33.691405; 46.089; 5.3793
34.057616; 46.087; 5.4440
34.423827; 46.085; 5.4967
34.790038; 46.083; 5.5402
35.156249; 46.081; 5.5780
35.522460; 46.079; 5.6185
35.888671; 46.079; 5.6703
36.254882; 46.081; 5.7278
36.621092; 46.087; 5.7810
36.987303; 46.095; 5.8206
37.353514; 46.102; 5.8415
37.719725; 46.106; 5.8590
38.085936; 46.107; 5.8905
38.452147; 46.106; 5.9468
38.818358; 46.105; 6.0303
39.184569; 46.107; 6.1265
39.550780; 46.111; 6.2195
39.916991; 46.115; 6.3022
40.283201; 46.117; 6.3745
40.649412; 46.118; 6.4461
41.015623; 46.117; 6.5241
41.381834; 46.115; 6.6046
41.748045; 46.115; 6.6839
42.114256; 46.115; 6.7546
42.480467; 46.114; 6.8142
42.846678; 46.113; 6.8685
43.212889; 46.111; 6.9209
43.579100; 46.109; 6.9731
43.945311; 46.109; 7.0246
44.311521; 46.109; 7.0708
44.677732; 46.109; 7.1143
45.043943; 46.110; 7.1588
45.410154; 46.111; 7.2063
45.776365; 46.114; 7.2591
46.142576; 46.117; 7.3137
46.508787; 46.121; 7.3678
46.874998; 46.125; 7.4224
47.241209; 46.128; 7.4786
47.607420; 46.132; 7.5388
47.973631; 46.135; 7.6029
48.339841; 46.138; 7.6673
48.706052; 46.141; 7.7336
49.072263; 46.142; 7.8028
49.438474; 46.143; 7.8747
49.804685; 46.144; 7.9485
50.170896; 46.144; 8.0196
