* Measurement data measured by REW V5.40 beta 112
* Source: SSL 2+, MICROPHONE, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 7, 2026, 11:45:36 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L RDSL-TWDV-1025-N003 Jan 7
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz); SPL(dB); Phase(degrees)
20.141602; 45.665; 0.2875
20.507812; 45.734; 0.6323
20.874023; 45.784; 1.0581
21.240234; 45.821; 1.5046
21.606445; 45.845; 1.9423
21.972656; 45.857; 2.3607
22.338867; 45.858; 2.7380
22.705078; 45.849; 3.0871
23.071289; 45.833; 3.4008
23.437500; 45.814; 3.6611
23.803711; 45.791; 3.8744
24.169922; 45.767; 4.0338
24.536132; 45.742; 4.1450
24.902343; 45.718; 4.2241
25.268554; 45.695; 4.2699
25.634765; 45.676; 4.2921
26.000976; 45.662; 4.2965
26.367187; 45.652; 4.2764
26.733398; 45.645; 4.2498
27.099609; 45.642; 4.2222
27.465820; 45.642; 4.1976
27.832031; 45.646; 4.1886
28.198242; 45.652; 4.1923
28.564452; 45.660; 4.2088
28.930663; 45.669; 4.2417
29.296874; 45.678; 4.2844
29.663085; 45.686; 4.3429
30.029296; 45.694; 4.4175
30.395507; 45.700; 4.5005
30.761718; 45.705; 4.5946
31.127929; 45.708; 4.6932
31.494140; 45.710; 4.7897
31.860351; 45.711; 4.8855
32.226562; 45.709; 4.9754
32.592772; 45.706; 5.0609
32.958983; 45.703; 5.1446
33.325194; 45.700; 5.2200
33.691405; 45.697; 5.2873
34.057616; 45.696; 5.3430
34.423827; 45.694; 5.3839
34.790038; 45.691; 5.4203
35.156249; 45.689; 5.4590
35.522460; 45.688; 5.5046
35.888671; 45.690; 5.5566
36.254882; 45.695; 5.6026
36.621092; 45.701; 5.6357
36.987303; 45.707; 5.6590
37.353514; 45.709; 5.6818
37.719725; 45.709; 5.7244
38.085936; 45.709; 5.7938
38.452147; 45.710; 5.8828
38.818358; 45.713; 5.9792
39.184569; 45.718; 6.0670
39.550780; 45.722; 6.1408
39.916991; 45.724; 6.2065
40.283201; 45.724; 6.2703
40.649412; 45.722; 6.3395
41.015623; 45.720; 6.4147
41.381834; 45.718; 6.4886
41.748045; 45.718; 6.5579
42.114256; 45.718; 6.6177
42.480467; 45.718; 6.6668
42.846678; 45.717; 6.7112
43.212889; 45.717; 6.7555
43.579100; 45.717; 6.8043
43.945311; 45.718; 6.8576
44.311521; 45.722; 6.9078
44.677732; 45.726; 6.9535
45.043943; 45.730; 6.9972
45.410154; 45.733; 7.0449
45.776365; 45.736; 7.1046
46.142576; 45.739; 7.1747
46.508787; 45.742; 7.2486
46.874998; 45.746; 7.3220
47.241209; 45.748; 7.3941
47.607420; 45.749; 7.4685
47.973631; 45.749; 7.5456
48.339841; 45.748; 7.6184
48.706052; 45.747; 7.6850
49.072263; 45.743; 7.7495
49.438474; 45.738; 7.8198
49.804685; 45.735; 7.8972
50.170896; 45.734; 7.9644
50.537107; 45.736; 8.0001
50.903318; 45.736; 8.0032
51.269529; 45.731; 8.0026
51.635740; 45.724; 8.0387
52.001951; 45.723; 8.1212
52.368161; 45.733; 8.2061
52.734372; 45.751; 8.2335
53.100583; 45.766; 8.1871
53.466794; 45.768; 8.1289
53.833005; 45.760; 8.1582
54.199216; 45.758; 8.3137
54.565427; 45.775; 8.5181
54.931638; 45.809; 8.6320
55.297849; 45.837; 8.5899
55.664060; 45.835; 8.4934
56.030271; 45.803; 8.5473
56.396481; 45.770; 8.8755
56.762692; 45.774; 9.3621
57.128903; 45.821; 9.6945
57.495114; 45.867; 9.6400
57.861325; 45.853; 9.3047
58.227536; 45.749; 9.1324
58.593747; 45.597; 9.6333
58.959958; 45.500; 10.9570
59.326169; 45.554; 12.5901
59.692380; 45.759; 13.6392
60.058591; 46.010; 13.5352
60.424801; 46.179; 12.4203
