* Measurement data measured by REW V5.40 beta 112
* Source: SSL 2+, MICROPHONE, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 7, 2026, 11:06:46 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L RDSL-VDOO-1025-B005 Jan 7
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz); SPL(dB); Phase(degrees)
20.141602; 49.661; 1.8521
20.507812; 49.705; 2.1351
20.874023; 49.735; 2.4806
21.240234; 49.755; 2.8311
21.606445; 49.766; 3.1624
21.972656; 49.768; 3.4681
22.338867; 49.762; 3.7293
22.705078; 49.751; 3.9620
23.071289; 49.735; 4.1638
23.437500; 49.718; 4.3238
23.803711; 49.700; 4.4554
24.169922; 49.684; 4.5540
24.536132; 49.669; 4.6218
24.902343; 49.657; 4.6682
25.268554; 49.648; 4.6879
25.634765; 49.641; 4.6936
26.000976; 49.636; 4.6989
26.367187; 49.633; 4.7027
26.733398; 49.634; 4.7204
27.099609; 49.638; 4.7472
27.465820; 49.644; 4.7745
27.832031; 49.651; 4.8099
28.198242; 49.658; 4.8545
28.564452; 49.665; 4.9161
28.930663; 49.671; 5.0004
29.296874; 49.677; 5.0938
29.663085; 49.684; 5.1899
30.029296; 49.689; 5.2828
30.395507; 49.691; 5.3694
30.761718; 49.691; 5.4656
31.127929; 49.688; 5.5745
31.494140; 49.687; 5.6884
31.860351; 49.686; 5.7964
32.226562; 49.686; 5.8811
32.592772; 49.685; 5.9428
32.958983; 49.680; 5.9960
33.325194; 49.675; 6.0517
33.691405; 49.670; 6.1200
34.057616; 49.669; 6.1920
34.423827; 49.671; 6.2489
34.790038; 49.674; 6.2860
35.156249; 49.676; 6.3080
35.522460; 49.676; 6.3332
35.888671; 49.675; 6.3821
36.254882; 49.677; 6.4563
36.621092; 49.683; 6.5448
36.987303; 49.693; 6.6290
37.353514; 49.704; 6.6917
37.719725; 49.714; 6.7383
38.085936; 49.719; 6.7841
38.452147; 49.719; 6.8463
38.818358; 49.719; 6.9376
39.184569; 49.719; 7.0505
39.550780; 49.721; 7.1669
39.916991; 49.725; 7.2707
40.283201; 49.727; 7.3535
40.649412; 49.726; 7.4251
41.015623; 49.722; 7.5003
41.381834; 49.716; 7.5837
41.748045; 49.712; 7.6726
42.114256; 49.710; 7.7533
42.480467; 49.709; 7.8150
42.846678; 49.708; 7.8602
43.212889; 49.707; 7.8961
43.579100; 49.706; 7.9304
43.945311; 49.705; 7.9663
44.311521; 49.706; 8.0005
44.677732; 49.708; 8.0370
45.043943; 49.712; 8.0810
45.410154; 49.717; 8.1329
45.776365; 49.725; 8.1894
46.142576; 49.735; 8.2425
46.508787; 49.743; 8.2918
46.874998; 49.750; 8.3502
47.241209; 49.754; 8.4306
47.607420; 49.758; 8.5363
