* Measurement data measured by REW V5.40 beta 112
* Source: SSL 2+, MICROPHONE, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 7, 2026, 11:23:48 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L RDSL-VDOO-1025-M010 Jan 7
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz); SPL(dB); Phase(degrees)
20.141602; 48.974; 1.3657
20.507812; 49.020; 1.6463
20.874023; 49.051; 1.9892
21.240234; 49.071; 2.3386
21.606445; 49.081; 2.6707
21.972656; 49.083; 2.9773
22.338867; 49.077; 3.2379
22.705078; 49.064; 3.4677
23.071289; 49.048; 3.6653
23.437500; 49.030; 3.8198
23.803711; 49.012; 3.9438
24.169922; 48.994; 4.0322
24.536132; 48.979; 4.0875
24.902343; 48.965; 4.1229
25.268554; 48.955; 4.1365
25.634765; 48.947; 4.1411
26.000976; 48.942; 4.1462
26.367187; 48.941; 4.1445
26.733398; 48.943; 4.1484
27.099609; 48.946; 4.1580
27.465820; 48.952; 4.1730
27.832031; 48.957; 4.2069
28.198242; 48.964; 4.2575
28.564452; 48.972; 4.3225
28.930663; 48.980; 4.3987
29.296874; 48.987; 4.4733
29.663085; 48.992; 4.5512
30.029296; 48.994; 4.6378
30.395507; 48.994; 4.7316
30.761718; 48.994; 4.8367
31.127929; 48.994; 4.9409
31.494140; 48.995; 5.0307
31.860351; 48.994; 5.1062
32.226562; 48.990; 5.1694
32.592772; 48.985; 5.2319
32.958983; 48.979; 5.3015
33.325194; 48.977; 5.3680
33.691405; 48.977; 5.4235
34.057616; 48.978; 5.4603
34.423827; 48.978; 5.4803
34.790038; 48.976; 5.5040
35.156249; 48.975; 5.5443
35.522460; 48.975; 5.6018
35.888671; 48.980; 5.6657
36.254882; 48.988; 5.7156
36.621092; 48.995; 5.7475
36.987303; 49.000; 5.7747
37.353514; 49.000; 5.8153
37.719725; 49.000; 5.8876
38.085936; 49.001; 5.9863
38.452147; 49.005; 6.0889
38.818358; 49.010; 6.1778
39.184569; 49.015; 6.2457
39.550780; 49.016; 6.3043
39.916991; 49.013; 6.3727
40.283201; 49.010; 6.4569
40.649412; 49.008; 6.5514
41.015623; 49.008; 6.6395
41.381834; 49.010; 6.7050
41.748045; 49.011; 6.7500
42.114256; 49.009; 6.7851
42.480467; 49.006; 6.8248
42.846678; 49.003; 6.8791
43.212889; 49.002; 6.9433
43.579100; 49.004; 7.0059
43.945311; 49.009; 7.0553
44.311521; 49.014; 7.0863
44.677732; 49.018; 7.1106
45.043943; 49.019; 7.1453
45.410154; 49.020; 7.2018
45.776365; 49.022; 7.2805
46.142576; 49.028; 7.3657
46.508787; 49.035; 7.4397
46.874998; 49.041; 7.4980
47.241209; 49.044; 7.5501
47.607420; 49.043; 7.6141
47.973631; 49.040; 7.7005
48.339841; 49.040; 7.8007
48.706052; 49.041; 7.8997
49.072263; 49.043; 7.9831
49.438474; 49.044; 8.0471
49.804685; 49.044; 8.0984
50.170896; 49.041; 8.1417
50.537107; 49.037; 8.1805
50.903318; 49.032; 8.2212
51.269529; 49.027; 8.2730
51.635740; 49.024; 8.3409
52.001951; 49.027; 8.4116
52.368161; 49.035; 8.4539
52.734372; 49.044; 8.4481
53.100583; 49.048; 8.4111
53.466794; 49.043; 8.3983
53.833005; 49.037; 8.4639
54.199216; 49.039; 8.6022
54.565427; 49.057; 8.7379
54.931638; 49.083; 8.7855
55.297849; 49.100; 8.7358
55.664060; 49.095; 8.6902
56.030271; 49.074; 8.7860
56.396481; 49.061; 9.0677
56.762692; 49.077; 9.4161
57.128903; 49.117; 9.6223
57.495114; 49.150; 9.5815
57.861325; 49.138; 9.4256
58.227536; 49.076; 9.4644
58.593747; 49.003; 9.9631
58.959958; 48.984; 10.8802
59.326169; 49.062; 11.7925
59.692380; 49.213; 12.1827
60.058591; 49.361; 11.8279
60.424801; 49.431; 10.9463
60.791012; 49.394; 10.0141
61.157223; 49.277; 9.4923
61.523434; 49.151; 9.5661
