* Measurement data measured by REW V5.40 beta 112
* Source: SSL 2+, MICROPHONE, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 7, 2026, 11:31:17 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L RDSL-VDOO-1025-N012 Jan 7
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz); SPL(dB); Phase(degrees)
20.141602; 48.683; 1.0725
20.507812; 48.731; 1.3520
20.874023; 48.764; 1.6993
21.240234; 48.786; 2.0563
21.606445; 48.799; 2.3959
21.972656; 48.803; 2.7097
22.338867; 48.798; 2.9789
22.705078; 48.786; 3.2216
23.071289; 48.770; 3.4355
23.437500; 48.753; 3.6068
23.803711; 48.735; 3.7446
24.169922; 48.717; 3.8427
24.536132; 48.700; 3.9060
24.902343; 48.684; 3.9498
25.268554; 48.672; 3.9719
25.634765; 48.662; 3.9820
26.000976; 48.655; 3.9865
26.367187; 48.652; 3.9789
26.733398; 48.651; 3.9749
27.099609; 48.652; 3.9772
27.465820; 48.656; 3.9844
27.832031; 48.661; 4.0056
28.198242; 48.667; 4.0365
28.564452; 48.674; 4.0780
28.930663; 48.681; 4.1341
29.296874; 48.688; 4.1974
29.663085; 48.693; 4.2711
30.029296; 48.698; 4.3536
30.395507; 48.702; 4.4366
30.761718; 48.704; 4.5250
31.127929; 48.705; 4.6158
31.494140; 48.706; 4.7051
31.860351; 48.705; 4.7944
32.226562; 48.704; 4.8766
32.592772; 48.701; 4.9508
32.958983; 48.698; 5.0198
33.325194; 48.695; 5.0811
33.691405; 48.692; 5.1407
34.057616; 48.690; 5.1983
34.423827; 48.688; 5.2475
34.790038; 48.688; 5.2887
35.156249; 48.687; 5.3207
35.522460; 48.686; 5.3491
35.888671; 48.684; 5.3870
36.254882; 48.683; 5.4392
36.621092; 48.685; 5.5055
36.987303; 48.691; 5.5755
37.353514; 48.699; 5.6317
37.719725; 48.708; 5.6708
38.085936; 48.714; 5.6980
38.452147; 48.718; 5.7265
38.818358; 48.718; 5.7729
39.184569; 48.719; 5.8396
39.550780; 48.720; 5.9197
39.916991; 48.723; 6.0036
40.283201; 48.725; 6.0826
40.649412; 48.727; 6.1585
41.015623; 48.727; 6.2351
41.381834; 48.726; 6.3111
41.748045; 48.725; 6.3872
42.114256; 48.724; 6.4600
42.480467; 48.721; 6.5282
42.846678; 48.719; 6.5944
43.212889; 48.717; 6.6561
43.579100; 48.715; 6.7100
43.945311; 48.714; 6.7550
44.311521; 48.712; 6.7910
44.677732; 48.710; 6.8265
45.043943; 48.709; 6.8659
45.410154; 48.709; 6.9057
45.776365; 48.712; 6.9418
46.142576; 48.716; 6.9708
46.508787; 48.719; 6.9967
46.874998; 48.723; 7.0290
47.241209; 48.727; 7.0704
47.607420; 48.732; 7.1187
47.973631; 48.738; 7.1714
48.339841; 48.744; 7.2291
48.706052; 48.749; 7.3000
49.072263; 48.755; 7.3847
49.438474; 48.761; 7.4723
49.804685; 48.767; 7.5521
50.170896; 48.769; 7.6255
50.537107; 48.766; 7.7117
50.903318; 48.762; 7.8283
51.269529; 48.762; 7.9632
51.635740; 48.765; 8.0760
52.001951; 48.768; 8.1328
52.368161; 48.763; 8.1447
52.734372; 48.746; 8.1724
53.100583; 48.728; 8.2667
53.466794; 48.720; 8.4071
53.833005; 48.728; 8.5001
54.199216; 48.741; 8.4591
54.565427; 48.739; 8.3049
54.931638; 48.716; 8.1745
55.297849; 48.686; 8.2093
55.664060; 48.678; 8.4090
56.030271; 48.711; 8.5863
56.396481; 48.767; 8.5187
56.762692; 48.804; 8.1809
57.128903; 48.792; 7.8224
57.495114; 48.746; 7.8053
57.861325; 48.730; 8.2825
58.227536; 48.810; 8.9474
58.593747; 48.989; 9.1740
58.959958; 49.184; 8.5186
59.326169; 49.285; 7.0835
59.692380; 49.223; 5.4755
60.058591; 49.008; 4.4884
60.424801; 48.736; 4.7080
60.791012; 48.548; 6.0821
