* Measurement data measured by REW V5.40 beta 112
* Source: SSL 2+, MICROPHONE, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 7, 2026, 10:24:48 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L RDSL-T60BF-1025-B001 Jan 7
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz); W(W); Phase(degrees)
20.141602; 1.74682E-5; 0.4231
20.507812; 1.77273E-5; 0.7526
20.874023; 1.79193E-5; 1.1627
21.240234; 1.80606E-5; 1.5927
21.606445; 1.81544E-5; 2.0121
21.972656; 1.81991E-5; 2.4085
22.338867; 1.81979E-5; 2.7603
22.705078; 1.81577E-5; 3.0832
23.071289; 1.80900E-5; 3.3736
23.437500; 1.80059E-5; 3.6159
23.803711; 1.79134E-5; 3.8166
24.169922; 1.78174E-5; 3.9672
24.536132; 1.77215E-5; 4.0702
24.902343; 1.76293E-5; 4.1408
25.268554; 1.75461E-5; 4.1777
25.634765; 1.74766E-5; 4.1924
26.000976; 1.74236E-5; 4.1921
26.367187; 1.73870E-5; 4.1708
26.733398; 1.73655E-5; 4.1455
27.099609; 1.73576E-5; 4.1209
27.465820; 1.73629E-5; 4.0991
27.832031; 1.73792E-5; 4.0927
28.198242; 1.74058E-5; 4.0994
28.564452; 1.74401E-5; 4.1203
28.930663; 1.74784E-5; 4.1587
29.296874; 1.75163E-5; 4.2068
29.663085; 1.75513E-5; 4.2689
30.029296; 1.75813E-5; 4.3448
30.395507; 1.76059E-5; 4.4280
30.761718; 1.76236E-5; 4.5232
31.127929; 1.76350E-5; 4.6247
31.494140; 1.76407E-5; 4.7256
31.860351; 1.76408E-5; 4.8250
32.226562; 1.76334E-5; 4.9163
32.592772; 1.76193E-5; 5.0004
32.958983; 1.76008E-5; 5.0808
33.325194; 1.75842E-5; 5.1516
33.691405; 1.75696E-5; 5.2144
34.057616; 1.75573E-5; 5.2657
34.423827; 1.75449E-5; 5.3030
34.790038; 1.75332E-5; 5.3350
35.156249; 1.75244E-5; 5.3659
35.522460; 1.75220E-5; 5.3976
35.888671; 1.75287E-5; 5.4306
36.254882; 1.75438E-5; 5.4580
36.621092; 1.75621E-5; 5.4811
36.987303; 1.75785E-5; 5.5073
37.353514; 1.75916E-5; 5.5422
37.719725; 1.76042E-5; 5.5961
38.085936; 1.76196E-5; 5.6668
38.452147; 1.76383E-5; 5.7459
38.818358; 1.76587E-5; 5.8293
39.184569; 1.76778E-5; 5.9122
39.550780; 1.76923E-5; 5.9951
39.916991; 1.77009E-5; 6.0811
40.283201; 1.77041E-5; 6.1671
40.649412; 1.77029E-5; 6.2532
41.015623; 1.76982E-5; 6.3374
41.381834; 1.76907E-5; 6.4146
41.748045; 1.76814E-5; 6.4852
42.114256; 1.76705E-5; 6.5465
42.480467; 1.76578E-5; 6.5978
42.846678; 1.76440E-5; 6.6437
43.212889; 1.76315E-5; 6.6866
43.579100; 1.76242E-5; 6.7274
43.945311; 1.76244E-5; 6.7640
44.311521; 1.76307E-5; 6.7911
44.677732; 1.76400E-5; 6.8126
45.043943; 1.76507E-5; 6.8361
45.410154; 1.76652E-5; 6.8671
45.776365; 1.76853E-5; 6.9092
46.142576; 1.77109E-5; 6.9575
46.508787; 1.77382E-5; 7.0087
46.874998; 1.77635E-5; 7.0665
47.241209; 1.77853E-5; 7.1354
47.607420; 1.78054E-5; 7.2176
47.973631; 1.78248E-5; 7.3078
48.339841; 1.78416E-5; 7.3974
48.706052; 1.78490E-5; 7.4884
49.072263; 1.78463E-5; 7.5878
49.438474; 1.78391E-5; 7.6963
49.804685; 1.78354E-5; 7.8016
50.170896; 1.78318E-5; 7.8825
50.537107; 1.78145E-5; 7.9334
50.903318; 1.77743E-5; 7.9772
51.269529; 1.77234E-5; 8.0446
51.635740; 1.76900E-5; 8.1395
52.001951; 1.76946E-5; 8.2193
52.368161; 1.77229E-5; 8.2264
52.734372; 1.77340E-5; 8.1530
53.100583; 1.76969E-5; 8.0654
53.466794; 1.76326E-5; 8.0569
53.833005; 1.76075E-5; 8.1576
54.199216; 1.76762E-5; 8.2801
54.565427; 1.78172E-5; 8.2883
54.931638; 1.79336E-5; 8.1383
55.297849; 1.79354E-5; 7.9560
55.664060; 1.78382E-5; 7.9598
56.030271; 1.77807E-5; 8.2600
56.396481; 1.79110E-5; 8.7052
56.762692; 1.82320E-5; 8.9683
57.128903; 1.85464E-5; 8.8481
57.495114; 1.85941E-5; 8.5140
57.861325; 1.82974E-5; 8.4537
58.227536; 1.79067E-5; 9.1339
58.593747; 1.78795E-5; 10.5382
58.959958; 1.85421E-5; 11.9632
59.326169; 1.97794E-5; 12.4816
59.692380; 2.10384E-5; 11.7083
60.058591; 2.16525E-5; 10.0120
60.424801; 2.12932E-5; 8.2134
60.791012; 2.01810E-5; 7.1499
61.157223; 1.89368E-5; 7.2860
61.523434; 1.81517E-5; 8.3909
61.889645; 1.80245E-5; 9.6555
62.255856; 1.83106E-5; 10.3424
62.622067; 1.85841E-5; 10.3216
62.988278; 1.85701E-5; 9.9747
63.354489; 1.82973E-5; 9.7706
63.720700; 1.79931E-5; 9.9164
64.086910; 1.78558E-5; 10.2658
64.453121; 1.79050E-5; 10.5178
64.819332; 1.80130E-5; 10.5099
65.185543; 1.80439E-5; 10.3227
65.551754; 1.79685E-5; 10.1565
65.917965; 1.78640E-5; 10.1421
66.284176; 1.78245E-5; 10.2488
66.650387; 1.78763E-5; 10.3495
67.016598; 1.79689E-5; 10.3537
67.382809; 1.80324E-5; 10.2788
67.749020; 1.80427E-5; 10.2147
68.115230; 1.80277E-5; 10.2304
68.481441; 1.80315E-5; 10.3235
68.847652; 1.80712E-5; 10.4396
69.213863; 1.81301E-5; 10.5307
69.580074; 1.81796E-5; 10.5922
69.946285; 1.82061E-5; 10.6513
70.312496; 1.82169E-5; 10.7301
70.678707; 1.82256E-5; 10.8270
71.044918; 1.82371E-5; 10.9241
71.411129; 1.82446E-5; 11.0078
71.777340; 1.82424E-5; 11.0805
72.143550; 1.82311E-5; 11.1518
72.509761; 1.82176E-5; 11.2263
72.875972; 1.82077E-5; 11.2995
73.242183; 1.82030E-5; 11.3623
73.608394; 1.82008E-5; 11.4099
73.974605; 1.81976E-5; 11.4437
74.340816; 1.81917E-5; 11.4685
74.707027; 1.81837E-5; 11.4925
75.073238; 1.81754E-5; 11.5222
75.439449; 1.81701E-5; 11.5620
75.805660; 1.81739E-5; 11.6110
76.171870; 1.81901E-5; 11.6619
76.538081; 1.82161E-5; 11.7061
76.904292; 1.82436E-5; 11.7409
77.270503; 1.82656E-5; 11.7732
77.636714; 1.82807E-5; 11.8156
78.002925; 1.82942E-5; 11.8766
78.369136; 1.83132E-5; 11.9520
78.735347; 1.83405E-5; 12.0301
79.101558; 1.83710E-5; 12.0992
79.467769; 1.83965E-5; 12.1568
79.833980; 1.84114E-5; 12.2104
80.200190; 1.84153E-5; 12.2692
80.566401; 1.84136E-5; 12.3378
80.932612; 1.84122E-5; 12.4135
81.298823; 1.84147E-5; 12.4897
81.665034; 1.84192E-5; 12.5608
82.031245; 1.84238E-5; 12.6244
82.397456; 1.84271E-5; 12.6801
82.763667; 1.84285E-5; 12.7310
83.129878; 1.84285E-5; 12.7794
83.496089; 1.84285E-5; 12.8278
83.862300; 1.84306E-5; 12.8771
84.228510; 1.84369E-5; 12.9248
84.594721; 1.84468E-5; 12.9680
84.960932; 1.84575E-5; 13.0051
85.327143; 1.84658E-5; 13.0392
85.693354; 1.84708E-5; 13.0778
86.059565; 1.84756E-5; 13.1268
86.425776; 1.84850E-5; 13.1860
86.791987; 1.85015E-5; 13.2486
87.158198; 1.85225E-5; 13.3070
87.524409; 1.85425E-5; 13.3584
87.890619; 1.85580E-5; 13.4073
88.256830; 1.85698E-5; 13.4606
88.623041; 1.85808E-5; 13.5219
88.989252; 1.85944E-5; 13.5877
89.355463; 1.86110E-5; 13.6510
89.721674; 1.86275E-5; 13.7070
90.087885; 1.86396E-5; 13.7563
90.454096; 1.86451E-5; 13.8045
90.820307; 1.86461E-5; 13.8580
91.186518; 1.86467E-5; 13.9186
91.552729; 1.86507E-5; 13.9829
91.918939; 1.86590E-5; 14.0448
92.285150; 1.86692E-5; 14.1003
92.651361; 1.86784E-5; 14.1495
93.017572; 1.86846E-5; 14.1963
93.383783; 1.86884E-5; 14.2454
93.749994; 1.86924E-5; 14.2993
94.116205; 1.86987E-5; 14.3570
94.482416; 1.87080E-5; 14.4152
94.848627; 1.87208E-5; 14.4710
95.214838; 1.87365E-5; 14.5226
95.581049; 1.87527E-5; 14.5704
95.947259; 1.87674E-5; 14.6159
96.313470; 1.87802E-5; 14.6616
96.679681; 1.87911E-5; 14.7091
97.045892; 1.88005E-5; 14.7597
97.412103; 1.88099E-5; 14.8135
97.778314; 1.88200E-5; 14.8704
98.144525; 1.88320E-5; 14.9285
98.510736; 1.88455E-5; 14.9854
98.876947; 1.88591E-5; 15.0398
99.243158; 1.88714E-5; 15.0924
99.609369; 1.88817E-5; 15.1451
99.975579; 1.88909E-5; 15.2000
100.341790; 1.89005E-5; 15.2565
100.708001; 1.89120E-5; 15.3132
101.074212; 1.89251E-5; 15.3673
101.440423; 1.89380E-5; 15.4173
101.806634; 1.89483E-5; 15.4640
102.172845; 1.89551E-5; 15.5111
102.539056; 1.89597E-5; 15.5625
102.905267; 1.89649E-5; 15.6201
103.271478; 1.89738E-5; 15.6814
103.637689; 1.89875E-5; 15.7418
104.003899; 1.90044E-5; 15.7968
104.370110; 1.90195E-5; 15.8449
104.736321; 1.90315E-5; 15.8889
105.102532; 1.90401E-5; 15.9338
105.468743; 1.90482E-5; 15.9834
105.834954; 1.90577E-5; 16.0380
106.201165; 1.90705E-5; 16.0941
106.567376; 1.90858E-5; 16.1476
106.933587; 1.91013E-5; 16.1968
107.299798; 1.91144E-5; 16.2431
107.666009; 1.91246E-5; 16.2905
108.032219; 1.91331E-5; 16.3417
108.398430; 1.91419E-5; 16.3972
108.764641; 1.91527E-5; 16.4559
109.130852; 1.91660E-5; 16.5154
109.497063; 1.91817E-5; 16.5731
109.863274; 1.91986E-5; 16.6266
110.229485; 1.92142E-5; 16.6746
110.595696; 1.92262E-5; 16.7191
110.961907; 1.92335E-5; 16.7651
111.328118; 1.92385E-5; 16.8172
111.694328; 1.92455E-5; 16.8761
112.060539; 1.92578E-5; 16.9359
112.426750; 1.92742E-5; 16.9887
112.792961; 1.92894E-5; 17.0319
113.159172; 1.92985E-5; 17.0716
113.525383; 1.93026E-5; 17.1179
113.891594; 1.93090E-5; 17.1753
114.257805; 1.93249E-5; 17.2359
114.624016; 1.93490E-5; 17.2850
114.990227; 1.93710E-5; 17.3158
115.356438; 1.93783E-5; 17.3388
115.722648; 1.93724E-5; 17.3779
116.088859; 1.93696E-5; 17.4477
116.455070; 1.93902E-5; 17.5358
116.821281; 1.94386E-5; 17.6057
117.187492; 1.94952E-5; 17.6243
117.553703; 1.95255E-5; 17.5940
117.919914; 1.95057E-5; 17.5608
118.286125; 1.94448E-5; 17.5873
118.652336; 1.93848E-5; 17.7082
119.018547; 1.93739E-5; 17.8991
119.384758; 1.94331E-5; 18.0869
119.750968; 1.95402E-5; 18.1987
120.117179; 1.96445E-5; 18.2099
120.483390; 1.97005E-5; 18.1571
120.849601; 1.96964E-5; 18.1083
121.215812; 1.96567E-5; 18.1162
121.582023; 1.96205E-5; 18.1882
121.948234; 1.96132E-5; 18.2908
122.314445; 1.96331E-5; 18.3815
122.680656; 1.96610E-5; 18.4409
123.046867; 1.96785E-5; 18.4787
123.413078; 1.96822E-5; 18.5172
123.779288; 1.96819E-5; 18.5701
124.145499; 1.96887E-5; 18.6327
124.511710; 1.97047E-5; 18.6911
124.877921; 1.97235E-5; 18.7367
125.244132; 1.97372E-5; 18.7730
125.610343; 1.97444E-5; 18.8109
125.976554; 1.97500E-5; 18.8579
126.342765; 1.97603E-5; 18.9117
126.708976; 1.97768E-5; 18.9646
127.075187; 1.97962E-5; 19.0107
127.441398; 1.98134E-5; 19.0509
127.807608; 1.98264E-5; 19.0915
128.173819; 1.98371E-5; 19.1378
128.540030; 1.98489E-5; 19.1905
128.906241; 1.98638E-5; 19.2458
129.272452; 1.98811E-5; 19.2994
129.638663; 1.98985E-5; 19.3503
130.004874; 1.99146E-5; 19.4003
130.371085; 1.99277E-5; 19.4517
130.737296; 1.99406E-5; 19.5044
131.103507; 1.99546E-5; 19.5575
131.469718; 1.99701E-5; 19.6094
131.835928; 1.99851E-5; 19.6597
132.202139; 1.99989E-5; 19.7091
132.568350; 2.00116E-5; 19.7589
132.934561; 2.00242E-5; 19.8095
133.300772; 2.00376E-5; 19.8606
133.666983; 2.00520E-5; 19.9110
134.033194; 2.00674E-5; 19.9595
134.399405; 2.00826E-5; 20.0057
134.765616; 2.00970E-5; 20.0507
135.131827; 2.01104E-5; 20.0962
135.498037; 2.01235E-5; 20.1433
135.864248; 2.01370E-5; 20.1918
136.230459; 2.01513E-5; 20.2407
136.596670; 2.01661E-5; 20.2895
136.962881; 2.01809E-5; 20.3384
137.329092; 2.01957E-5; 20.3882
137.695303; 2.02107E-5; 20.4388
138.061514; 2.02261E-5; 20.4894
138.427725; 2.02417E-5; 20.5391
138.793936; 2.02566E-5; 20.5880
139.160147; 2.02702E-5; 20.6371
139.526357; 2.02829E-5; 20.6879
139.892568; 2.02962E-5; 20.7411
140.258779; 2.03114E-5; 20.7952
140.624990; 2.03290E-5; 20.8477
140.991201; 2.03481E-5; 20.8966
141.357412; 2.03669E-5; 20.9417
141.723623; 2.03837E-5; 20.9837
142.089834; 2.03982E-5; 21.0244
142.456045; 2.04104E-5; 21.0656
142.822256; 2.04210E-5; 21.1098
143.188467; 2.04320E-5; 21.1582
143.554677; 2.04451E-5; 21.2106
143.920888; 2.04625E-5; 21.2645
144.287099; 2.04842E-5; 21.3156
144.653310; 2.05078E-5; 21.3598
145.019521; 2.05287E-5; 21.3969
145.385732; 2.05435E-5; 21.4309
145.751943; 2.05518E-5; 21.4699
146.118154; 2.05576E-5; 21.5196
146.484365; 2.05669E-5; 21.5797
146.850576; 2.05837E-5; 21.6433
147.216787; 2.06070E-5; 21.7016
147.582997; 2.06319E-5; 21.7499
147.949208; 2.06525E-5; 21.7904
148.315419; 2.06666E-5; 21.8303
148.681630; 2.06766E-5; 21.8763
149.047841; 2.06876E-5; 21.9301
149.414052; 2.07039E-5; 21.9874
149.780263; 2.07257E-5; 22.0414
150.146474; 2.07491E-5; 22.0873
150.512685; 2.07690E-5; 22.1255
150.878896; 2.07833E-5; 22.1609
151.245107; 2.07948E-5; 22.1999
151.611317; 2.08056E-5; 22.2472
151.977528; 2.08196E-5; 22.3027
152.343739; 2.08364E-5; 22.3622
152.709950; 2.08596E-5; 22.4192
153.076161; 2.08866E-5; 22.4685
153.442372; 2.09136E-5; 22.5090
153.808583; 2.09355E-5; 22.5445
154.174794; 2.09511E-5; 22.5807
154.541005; 2.09621E-5; 22.6225
154.907216; 2.09720E-5; 22.6710
155.273427; 2.09835E-5; 22.7240
155.639637; 2.09977E-5; 22.7779
156.005848; 2.10133E-5; 22.8296
156.372059; 2.10285E-5; 22.8782
156.738270; 2.10421E-5; 22.9250
157.104481; 2.10544E-5; 22.9721
157.470692; 2.10669E-5; 23.0200
157.836903; 2.10811E-5; 23.0676
158.203114; 2.10973E-5; 23.1123
158.569325; 2.11137E-5; 23.1525
158.935536; 2.11282E-5; 23.1895
159.301746; 2.11399E-5; 23.2269
159.667957; 2.11507E-5; 23.2696
160.034168; 2.11646E-5; 23.3188
160.400379; 2.11853E-5; 23.3714
160.766590; 2.12129E-5; 23.4205
161.132801; 2.12431E-5; 23.4618
161.499012; 2.12704E-5; 23.4966
161.865223; 2.12918E-5; 23.5317
162.231434; 2.13087E-5; 23.5735
162.597645; 2.13257E-5; 23.6242
162.963856; 2.13460E-5; 23.6802
163.330066; 2.13691E-5; 23.7357
163.696277; 2.13912E-5; 23.7882
164.062488; 2.14092E-5; 23.8403
164.428699; 2.14234E-5; 23.8958
164.794910; 2.14372E-5; 23.9562
165.161121; 2.14537E-5; 24.0181
165.527332; 2.14729E-5; 24.0754
165.893543; 2.14920E-5; 24.1240
166.259754; 2.15069E-5; 24.1645
166.625965; 2.15161E-5; 24.2008
166.992176; 2.15205E-5; 24.2375
167.358386; 2.15233E-5; 24.2775
167.724597; 2.15290E-5; 24.3217
168.090808; 2.15413E-5; 24.3669
168.457019; 2.15620E-5; 24.4071
168.823230; 2.15877E-5; 24.4366
169.189441; 2.16119E-5; 24.4560
169.555652; 2.16295E-5; 24.4744
169.921863; 2.16431E-5; 24.5050
170.288074; 2.16631E-5; 24.5538
170.654285; 2.17000E-5; 24.6111
171.020496; 2.17529E-5; 24.6571
171.386706; 2.18060E-5; 24.6793
171.752917; 2.18401E-5; 24.6893
172.119128; 2.18496E-5; 24.7167
172.485339; 2.18513E-5; 24.7843
172.851550; 2.18702E-5; 24.8837
173.217761; 2.19147E-5; 24.9784
173.583972; 2.19638E-5; 25.0375
173.950183; 2.19843E-5; 25.0683
174.316394; 2.19636E-5; 25.1145
174.682605; 2.19292E-5; 25.2149
175.048816; 2.19265E-5; 25.3559
175.415026; 2.19730E-5; 25.4700
175.781237; 2.20300E-5; 25.4941
176.147448; 2.20291E-5; 25.4398
176.513659; 2.19385E-5; 25.4000
176.879870; 2.18104E-5; 25.4735
177.246081; 2.17525E-5; 25.6580
177.612292; 2.18341E-5; 25.8135
177.978503; 2.20010E-5; 25.7577
178.344714; 2.20820E-5; 25.4307
178.710925; 2.19119E-5; 24.9878
179.077136; 2.14714E-5; 24.7335
179.443346; 2.09417E-5; 24.9342
179.809557; 2.06081E-5; 25.6061
180.175768; 2.06748E-5; 26.4496
180.541979; 2.11204E-5; 27.0341
180.908190; 2.17103E-5; 27.1086
181.274401; 2.21564E-5; 26.7473
181.640612; 2.23037E-5; 26.2493
182.006823; 2.22064E-5; 25.9171
182.373034; 2.20530E-5; 25.8791
182.739245; 2.20126E-5; 26.0427
183.105455; 2.21230E-5; 26.2091
183.471666; 2.22969E-5; 26.2456
183.837877; 2.24193E-5; 26.1694
184.204088; 2.24443E-5; 26.0942
184.570299; 2.24157E-5; 26.1146
184.936510; 2.24105E-5; 26.2321
185.302721; 2.24688E-5; 26.3715
185.668932; 2.25643E-5; 26.4581
186.035143; 2.26408E-5; 26.4794
186.401354; 2.26620E-5; 26.4793
186.767565; 2.26433E-5; 26.5135
187.133775; 2.26239E-5; 26.5985
187.499986; 2.26323E-5; 26.7069
187.866197; 2.26655E-5; 26.7955
188.232408; 2.27009E-5; 26.8463
188.598619; 2.27197E-5; 26.8727
188.964830; 2.27206E-5; 26.8987
189.331041; 2.27156E-5; 26.9364
189.697252; 2.27164E-5; 26.9818
190.063463; 2.27256E-5; 27.0253
190.429674; 2.27389E-5; 27.0621
190.795885; 2.27527E-5; 27.0955
191.162095; 2.27677E-5; 27.1300
191.528306; 2.27866E-5; 27.1660
191.894517; 2.28100E-5; 27.2024
192.260728; 2.28365E-5; 27.2377
192.626939; 2.28639E-5; 27.2732
192.993150; 2.28921E-5; 27.3100
193.359361; 2.29214E-5; 27.3483
193.725572; 2.29506E-5; 27.3867
194.091783; 2.29773E-5; 27.4252
194.457994; 2.30003E-5; 27.4666
194.824205; 2.30212E-5; 27.5141
195.190415; 2.30434E-5; 27.5673
195.556626; 2.30689E-5; 27.6221
195.922837; 2.30968E-5; 27.6738
196.289048; 2.31239E-5; 27.7206
196.655259; 2.31482E-5; 27.7642
197.021470; 2.31699E-5; 27.8068
197.387681; 2.31907E-5; 27.8486
197.753892; 2.32110E-5; 27.8882
198.120103; 2.32295E-5; 27.9248
198.486314; 2.32452E-5; 27.9602
198.852525; 2.32586E-5; 27.9972
199.218735; 2.32720E-5; 28.0370
199.584946; 2.32864E-5; 28.0784
199.951157; 2.33015E-5; 28.1204
200.317368; 2.33164E-5; 28.1644
200.683579; 2.33326E-5; 28.2124
201.049790; 2.33534E-5; 28.2635
201.416001; 2.33802E-5; 28.3119
201.782212; 2.34090E-5; 28.3516
202.148423; 2.34317E-5; 28.3833
202.514634; 2.34441E-5; 28.4167
202.880845; 2.34514E-5; 28.4638
203.247055; 2.34671E-5; 28.5249
203.613266; 2.35012E-5; 28.5839
203.979477; 2.35475E-5; 28.6165
204.345688; 2.35826E-5; 28.6121
204.711899; 2.35804E-5; 28.5885
205.078110; 2.35341E-5; 28.5872
205.444321; 2.34669E-5; 28.6471
205.810532; 2.34231E-5; 28.7761
206.176743; 2.34394E-5; 28.9383
206.542954; 2.35206E-5; 29.0745
206.909164; 2.36349E-5; 29.1393
207.275375; 2.37347E-5; 29.1301
207.641586; 2.37879E-5; 29.0854
208.007797; 2.37950E-5; 29.0550
208.374008; 2.37841E-5; 29.0679
208.740219; 2.37864E-5; 29.1175
209.106430; 2.38144E-5; 29.1750
209.472641; 2.38581E-5; 29.2153
209.838852; 2.38972E-5; 29.2360
210.205063; 2.39204E-5; 29.2535
210.571274; 2.39326E-5; 29.2860
210.937484; 2.39480E-5; 29.3376
211.303695; 2.39762E-5; 29.3967
211.669906; 2.40148E-5; 29.4483
212.036117; 2.40528E-5; 29.4868
212.402328; 2.40811E-5; 29.5194
212.768539; 2.41004E-5; 29.5577
213.134750; 2.41187E-5; 29.6065
213.500961; 2.41437E-5; 29.6602
213.867172; 2.41756E-5; 29.7085
214.233383; 2.42074E-5; 29.7454
214.599594; 2.42315E-5; 29.7744
214.965804; 2.42460E-5; 29.8049
215.332015; 2.42559E-5; 29.8438
215.698226; 2.42691E-5; 29.8909
216.064437; 2.42897E-5; 29.9399
216.430648; 2.43160E-5; 29.9839
216.796859; 2.43428E-5; 30.0206
217.163070; 2.43662E-5; 30.0534
217.529281; 2.43864E-5; 30.0874
217.895492; 2.44067E-5; 30.1248
218.261703; 2.44298E-5; 30.1637
218.627914; 2.44557E-5; 30.2005
218.994124; 2.44812E-5; 30.2339
219.360335; 2.45036E-5; 30.2664
219.726546; 2.45227E-5; 30.3020
220.092757; 2.45412E-5; 30.3432
220.458968; 2.45629E-5; 30.3892
220.825179; 2.45895E-5; 30.4357
221.191390; 2.46192E-5; 30.4785
221.557601; 2.46487E-5; 30.5166
221.923812; 2.46751E-5; 30.5518
222.290023; 2.46966E-5; 30.5877
222.656234; 2.47161E-5; 30.6260
223.022444; 2.47362E-5; 30.6664
223.388655; 2.47593E-5; 30.7074
223.754866; 2.47828E-5; 30.7476
224.121077; 2.48060E-5; 30.7871
224.487288; 2.48290E-5; 30.8266
224.853499; 2.48526E-5; 30.8662
225.219710; 2.48769E-5; 30.9056
225.585921; 2.49014E-5; 30.9439
225.952132; 2.49252E-5; 30.9817
226.318343; 2.49482E-5; 31.0195
226.684554; 2.49720E-5; 31.0587
227.050764; 2.49979E-5; 31.0986
227.416975; 2.50261E-5; 31.1374
227.783186; 2.50540E-5; 31.1726
228.149397; 2.50791E-5; 31.2052
228.515608; 2.51000E-5; 31.2391
228.881819; 2.51187E-5; 31.2776
229.248030; 2.51391E-5; 31.3211
229.614241; 2.51636E-5; 31.3665
229.980452; 2.51919E-5; 31.4100
230.346663; 2.52212E-5; 31.4494
230.712873; 2.52487E-5; 31.4869
231.079084; 2.52749E-5; 31.5258
231.445295; 2.53027E-5; 31.5671
231.811506; 2.53341E-5; 31.6077
232.177717; 2.53676E-5; 31.6428
232.543928; 2.53987E-5; 31.6713
232.910139; 2.54232E-5; 31.6978
233.276350; 2.54414E-5; 31.7300
233.642561; 2.54595E-5; 31.7713
234.008772; 2.54837E-5; 31.8185
234.374983; 2.55153E-5; 31.8623
234.741193; 2.55482E-5; 31.8975
235.107404; 2.55741E-5; 31.9265
235.473615; 2.55896E-5; 31.9599
235.839826; 2.56018E-5; 32.0064
