* Measurement data measured by REW V5.40 beta 112
* Source: SSL 2+, MICROPHONE, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 8, 2026, 10:37:40 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L RDSL-BFLD-1225-N001 Jan 8
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz); W(W); Phase(degrees)
20.141602; 1.05680E-5; -3.1071
20.507812; 1.06907E-5; -2.7871
20.874023; 1.07754E-5; -2.4008
21.240234; 1.08323E-5; -2.0048
21.606445; 1.08638E-5; -1.6245
21.972656; 1.08706E-5; -1.2688
22.338867; 1.08561E-5; -0.9586
22.705078; 1.08246E-5; -0.6796
23.071289; 1.07820E-5; -0.4356
23.437500; 1.07333E-5; -0.2403
23.803711; 1.06820E-5; -0.0825
24.169922; 1.06308E-5; 0.0333
24.536132; 1.05821E-5; 0.1118
24.902343; 1.05380E-5; 0.1669
25.268554; 1.05005E-5; 0.1948
25.634765; 1.04708E-5; 0.2062
26.000976; 1.04489E-5; 0.2092
26.367187; 1.04346E-5; 0.1998
26.733398; 1.04273E-5; 0.1950
27.099609; 1.04271E-5; 0.1961
27.465820; 1.04336E-5; 0.2008
27.832031; 1.04448E-5; 0.2176
28.198242; 1.04591E-5; 0.2431
28.564452; 1.04749E-5; 0.2795
28.930663; 1.04907E-5; 0.3320
29.296874; 1.05052E-5; 0.3927
29.663085; 1.05184E-5; 0.4640
30.029296; 1.05294E-5; 0.5433
30.395507; 1.05378E-5; 0.6225
30.761718; 1.05423E-5; 0.7074
31.127929; 1.05431E-5; 0.7953
31.494140; 1.05414E-5; 0.8823
31.860351; 1.05380E-5; 0.9686
32.226562; 1.05328E-5; 1.0466
32.592772; 1.05256E-5; 1.1151
32.958983; 1.05164E-5; 1.1768
33.325194; 1.05072E-5; 1.2298
33.691405; 1.04981E-5; 1.2803
34.057616; 1.04903E-5; 1.3283
34.423827; 1.04843E-5; 1.3684
34.790038; 1.04803E-5; 1.4024
35.156249; 1.04772E-5; 1.4294
35.522460; 1.04741E-5; 1.4531
35.888671; 1.04711E-5; 1.4826
36.254882; 1.04705E-5; 1.5202
36.621092; 1.04742E-5; 1.5662
36.987303; 1.04828E-5; 1.6164
37.353514; 1.04951E-5; 1.6596
37.719725; 1.05078E-5; 1.6966
38.085936; 1.05174E-5; 1.7299
38.452147; 1.05219E-5; 1.7654
38.818358; 1.05231E-5; 1.8128
39.184569; 1.05236E-5; 1.8724
39.550780; 1.05257E-5; 1.9392
39.916991; 1.05290E-5; 2.0077
40.283201; 1.05320E-5; 2.0705
40.649412; 1.05329E-5; 2.1290
41.015623; 1.05311E-5; 2.1860
41.381834; 1.05270E-5; 2.2413
41.748045; 1.05220E-5; 2.2978
42.114256; 1.05168E-5; 2.3528
42.480467; 1.05119E-5; 2.4040
42.846678; 1.05074E-5; 2.4518
43.212889; 1.05037E-5; 2.4938
43.579100; 1.05005E-5; 2.5298
43.945311; 1.04974E-5; 2.5611
44.311521; 1.04939E-5; 2.5875
44.677732; 1.04904E-5; 2.6149
45.043943; 1.04883E-5; 2.6459
45.410154; 1.04895E-5; 2.6784
45.776365; 1.04936E-5; 2.7107
46.142576; 1.04991E-5; 2.7400
46.508787; 1.05041E-5; 2.7671
46.874998; 1.05087E-5; 2.7976
47.241209; 1.05133E-5; 2.8338
47.607420; 1.05187E-5; 2.8758
47.973631; 1.05247E-5; 2.9227
48.339841; 1.05317E-5; 2.9712
48.706052; 1.05383E-5; 3.0240
49.072263; 1.05446E-5; 3.0806
49.438474; 1.05500E-5; 3.1370
49.804685; 1.05541E-5; 3.1910
50.170896; 1.05544E-5; 3.2427
50.537107; 1.05505E-5; 3.2987
50.903318; 1.05453E-5; 3.3651
51.269529; 1.05438E-5; 3.4355
51.635740; 1.05464E-5; 3.4942
52.001951; 1.05477E-5; 3.5284
52.368161; 1.05394E-5; 3.5435
52.734372; 1.05203E-5; 3.5666
53.100583; 1.04994E-5; 3.6193
53.466794; 1.04909E-5; 3.6928
53.833005; 1.04996E-5; 3.7484
54.199216; 1.05149E-5; 3.7475
54.565427; 1.05170E-5; 3.6968
54.931638; 1.04969E-5; 3.6539
55.297849; 1.04697E-5; 3.6792
55.664060; 1.04654E-5; 3.7749
56.030271; 1.05023E-5; 3.8626
56.396481; 1.05634E-5; 3.8444
56.762692; 1.06039E-5; 3.7062
57.128903; 1.05887E-5; 3.5573
57.495114; 1.05330E-5; 3.5636
57.861325; 1.05050E-5; 3.8029
58.227536; 1.05804E-5; 4.1510
58.593747; 1.07735E-5; 4.3299
58.959958; 1.10064E-5; 4.1106
59.326169; 1.11441E-5; 3.4999
59.692380; 1.10899E-5; 2.7716
60.058591; 1.08542E-5; 2.3073
60.424801; 1.05578E-5; 2.3807
60.791012; 1.03495E-5; 2.9609
61.157223; 1.03162E-5; 3.7275
61.523434; 1.04318E-5; 4.2956
61.889645; 1.05897E-5; 4.4898
62.255856; 1.06852E-5; 4.4075
62.622067; 1.06832E-5; 4.2867
62.988278; 1.06248E-5; 4.3104
63.354489; 1.05779E-5; 4.4947
63.720700; 1.05795E-5; 4.7197
64.086910; 1.06151E-5; 4.8567
64.453121; 1.06436E-5; 4.8737
64.819332; 1.06380E-5; 4.8393
65.185543; 1.06047E-5; 4.8409
65.551754; 1.05707E-5; 4.9100
65.917965; 1.05571E-5; 5.0093
66.284176; 1.05632E-5; 5.0796
66.650387; 1.05730E-5; 5.0964
67.016598; 1.05720E-5; 5.0834
67.382809; 1.05594E-5; 5.0795
67.749020; 1.05466E-5; 5.1054
68.115230; 1.05436E-5; 5.1488
68.481441; 1.05513E-5; 5.1850
68.847652; 1.05621E-5; 5.2024
69.213863; 1.05693E-5; 5.2093
69.580074; 1.05720E-5; 5.2224
69.946285; 1.05738E-5; 5.2508
70.312496; 1.05782E-5; 5.2899
70.678707; 1.05853E-5; 5.3311
71.044918; 1.05927E-5; 5.3708
71.411129; 1.05977E-5; 5.4107
71.777340; 1.06014E-5; 5.4545
72.143550; 1.06050E-5; 5.5012
72.509761; 1.06091E-5; 5.5474
72.875972; 1.06120E-5; 5.5910
73.242183; 1.06130E-5; 5.6332
73.608394; 1.06122E-5; 5.6763
73.974605; 1.06108E-5; 5.7207
74.340816; 1.06095E-5; 5.7634
74.707027; 1.06083E-5; 5.8033
75.073238; 1.06065E-5; 5.8403
75.439449; 1.06037E-5; 5.8762
75.805660; 1.06011E-5; 5.9125
76.171870; 1.06004E-5; 5.9479
76.538081; 1.06015E-5; 5.9804
76.904292; 1.06035E-5; 6.0092
77.270503; 1.06055E-5; 6.0352
77.636714; 1.06072E-5; 6.0609
78.002925; 1.06088E-5; 6.0883
78.369136; 1.06107E-5; 6.1175
78.735347; 1.06131E-5; 6.1491
79.101558; 1.06161E-5; 6.1833
79.467769; 1.06198E-5; 6.2196
79.833980; 1.06241E-5; 6.2571
80.200190; 1.06283E-5; 6.2945
80.566401; 1.06320E-5; 6.3307
80.932612; 1.06348E-5; 6.3667
81.298823; 1.06375E-5; 6.4041
81.665034; 1.06398E-5; 6.4433
82.031245; 1.06421E-5; 6.4834
82.397456; 1.06444E-5; 6.5216
82.763667; 1.06462E-5; 6.5575
83.129878; 1.06468E-5; 6.5921
83.496089; 1.06462E-5; 6.6276
83.862300; 1.06451E-5; 6.6665
84.228510; 1.06451E-5; 6.7081
84.594721; 1.06470E-5; 6.7496
84.960932; 1.06508E-5; 6.7873
85.327143; 1.06553E-5; 6.8180
85.693354; 1.06591E-5; 6.8426
86.059565; 1.06609E-5; 6.8643
86.425776; 1.06607E-5; 6.8875
86.791987; 1.06594E-5; 6.9156
87.158198; 1.06581E-5; 6.9493
87.524409; 1.06575E-5; 6.9869
87.890619; 1.06585E-5; 7.0257
88.256830; 1.06612E-5; 7.0636
88.623041; 1.06644E-5; 7.1004
88.989252; 1.06673E-5; 7.1369
89.355463; 1.06702E-5; 7.1741
89.721674; 1.06733E-5; 7.2120
90.087885; 1.06768E-5; 7.2490
90.454096; 1.06802E-5; 7.2837
90.820307; 1.06828E-5; 7.3171
91.186518; 1.06846E-5; 7.3510
91.552729; 1.06859E-5; 7.3867
91.918939; 1.06877E-5; 7.4237
92.285150; 1.06904E-5; 7.4597
92.651361; 1.06932E-5; 7.4924
93.017572; 1.06953E-5; 7.5221
93.383783; 1.06959E-5; 7.5512
93.749994; 1.06956E-5; 7.5829
94.116205; 1.06950E-5; 7.6184
94.482416; 1.06950E-5; 7.6557
94.848627; 1.06964E-5; 7.6928
95.214838; 1.06993E-5; 7.7272
95.581049; 1.07025E-5; 7.7588
95.947259; 1.07053E-5; 7.7892
96.313470; 1.07075E-5; 7.8198
96.679681; 1.07094E-5; 7.8514
97.045892; 1.07111E-5; 7.8838
97.412103; 1.07126E-5; 7.9167
97.778314; 1.07141E-5; 7.9512
98.144525; 1.07161E-5; 7.9873
98.510736; 1.07186E-5; 8.0239
98.876947; 1.07219E-5; 8.0591
99.243158; 1.07251E-5; 8.0925
99.609369; 1.07276E-5; 8.1244
99.975579; 1.07290E-5; 8.1571
100.341790; 1.07300E-5; 8.1919
100.708001; 1.07315E-5; 8.2292
101.074212; 1.07341E-5; 8.2670
101.440423; 1.07376E-5; 8.3028
101.806634; 1.07409E-5; 8.3353
102.172845; 1.07431E-5; 8.3659
102.539056; 1.07442E-5; 8.3975
102.905267; 1.07451E-5; 8.4318
103.271478; 1.07465E-5; 8.4680
103.637689; 1.07489E-5; 8.5041
104.003899; 1.07517E-5; 8.5382
104.370110; 1.07535E-5; 8.5703
104.736321; 1.07546E-5; 8.6018
105.102532; 1.07554E-5; 8.6341
105.468743; 1.07570E-5; 8.6676
105.834954; 1.07590E-5; 8.7017
106.201165; 1.07615E-5; 8.7352
106.567376; 1.07641E-5; 8.7674
106.933587; 1.07666E-5; 8.7988
107.299798; 1.07686E-5; 8.8296
107.666009; 1.07705E-5; 8.8610
108.032219; 1.07723E-5; 8.8932
108.398430; 1.07743E-5; 8.9261
108.764641; 1.07767E-5; 8.9597
109.130852; 1.07796E-5; 8.9931
109.497063; 1.07828E-5; 9.0259
109.863274; 1.07858E-5; 9.0576
110.229485; 1.07883E-5; 9.0889
110.595696; 1.07904E-5; 9.1210
110.961907; 1.07925E-5; 9.1551
111.328118; 1.07951E-5; 9.1901
111.694328; 1.07982E-5; 9.2241
112.060539; 1.08011E-5; 9.2562
112.426750; 1.08031E-5; 9.2872
112.792961; 1.08043E-5; 9.3195
113.159172; 1.08052E-5; 9.3546
113.525383; 1.08069E-5; 9.3912
113.891594; 1.08094E-5; 9.4269
114.257805; 1.08120E-5; 9.4603
114.624016; 1.08139E-5; 9.4927
114.990227; 1.08156E-5; 9.5264
115.356438; 1.08173E-5; 9.5613
115.722648; 1.08206E-5; 9.5940
116.088859; 1.08246E-5; 9.6204
116.455070; 1.08275E-5; 9.6410
116.821281; 1.08269E-5; 9.6628
117.187492; 1.08247E-5; 9.6954
117.553703; 1.08256E-5; 9.7408
117.919914; 1.08339E-5; 9.7887
118.286125; 1.08492E-5; 9.8203
118.652336; 1.08648E-5; 9.8229
119.018547; 1.08715E-5; 9.8019
119.384758; 1.08639E-5; 9.7806
119.750968; 1.08452E-5; 9.7880
120.117179; 1.08258E-5; 9.8387
120.483390; 1.08168E-5; 9.9224
120.849601; 1.08232E-5; 10.0103
121.215812; 1.08403E-5; 10.0753
121.582023; 1.08584E-5; 10.1084
121.948234; 1.08692E-5; 10.1214
122.314445; 1.08711E-5; 10.1355
122.680656; 1.08687E-5; 10.1653
123.046867; 1.08680E-5; 10.2100
123.413078; 1.08718E-5; 10.2580
123.779288; 1.08787E-5; 10.2984
124.145499; 1.08847E-5; 10.3294
124.511710; 1.08877E-5; 10.3569
124.877921; 1.08881E-5; 10.3880
125.244132; 1.08885E-5; 10.4244
125.610343; 1.08904E-5; 10.4627
125.976554; 1.08936E-5; 10.4982
126.342765; 1.08963E-5; 10.5294
