* Measurement data measured by REW V5.40 beta 112
* Source: SSL 2+, MICROPHONE, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 7, 2026, 10:50:14 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L RDSL-HILN-1225-B002 Jan 7
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz); W(W); Phase(degrees)
20.141602; 1.97837E-5; 1.0579
20.507812; 2.00686E-5; 1.3859
20.874023; 2.02806E-5; 1.7894
21.240234; 2.04367E-5; 2.2071
21.606445; 2.05384E-5; 2.6111
21.972656; 2.05837E-5; 2.9930
22.338867; 2.05782E-5; 3.3341
22.705078; 2.05315E-5; 3.6506
23.071289; 2.04582E-5; 3.9368
23.437500; 2.03699E-5; 4.1741
23.803711; 2.02729E-5; 4.3686
24.169922; 2.01706E-5; 4.5134
24.536132; 2.00662E-5; 4.6151
24.902343; 1.99651E-5; 4.6913
25.268554; 1.98755E-5; 4.7401
25.634765; 1.98037E-5; 4.7700
26.000976; 1.97516E-5; 4.7850
26.367187; 1.97170E-5; 4.7776
26.733398; 1.96966E-5; 4.7656
27.099609; 1.96888E-5; 4.7562
27.465820; 1.96944E-5; 4.7523
27.832031; 1.97129E-5; 4.7650
28.198242; 1.97438E-5; 4.7888
28.564452; 1.97830E-5; 4.8224
28.930663; 1.98244E-5; 4.8697
29.296874; 1.98620E-5; 4.9259
29.663085; 1.98953E-5; 4.9986
30.029296; 1.99247E-5; 5.0885
30.395507; 1.99521E-5; 5.1853
30.761718; 1.99754E-5; 5.2896
31.127929; 1.99922E-5; 5.3940
31.494140; 2.00002E-5; 5.4940
31.860351; 1.99987E-5; 5.5951
32.226562; 1.99887E-5; 5.6944
32.592772; 1.99746E-5; 5.7924
32.958983; 1.99609E-5; 5.8868
33.325194; 1.99520E-5; 5.9672
33.691405; 1.99437E-5; 6.0340
34.057616; 1.99330E-5; 6.0889
34.423827; 1.99181E-5; 6.1347
34.790038; 1.99034E-5; 6.1825
35.156249; 1.98945E-5; 6.2330
35.522460; 1.98957E-5; 6.2820
35.888671; 1.99064E-5; 6.3261
36.254882; 1.99223E-5; 6.3602
36.621092; 1.99362E-5; 6.3909
36.987303; 1.99449E-5; 6.4307
37.353514; 1.99518E-5; 6.4861
37.719725; 1.99643E-5; 6.5631
38.085936; 1.99873E-5; 6.6528
38.452147; 2.00192E-5; 6.7406
38.818358; 2.00544E-5; 6.8201
39.184569; 2.00844E-5; 6.8890
39.550780; 2.01035E-5; 6.9538
39.916991; 2.01102E-5; 7.0249
40.283201; 2.01086E-5; 7.1050
40.649412; 2.01040E-5; 7.1948
41.015623; 2.01007E-5; 7.2897
41.381834; 2.00999E-5; 7.3801
41.748045; 2.01009E-5; 7.4631
42.114256; 2.01012E-5; 7.5355
42.480467; 2.00990E-5; 7.5977
42.846678; 2.00940E-5; 7.6552
43.212889; 2.00885E-5; 7.7109
43.579100; 2.00860E-5; 7.7662
43.945311; 2.00892E-5; 7.8203
44.311521; 2.00978E-5; 7.8680
44.677732; 2.01099E-5; 7.9113
45.043943; 2.01237E-5; 7.9534
45.410154; 2.01403E-5; 7.9973
45.776365; 2.01590E-5; 8.0466
46.142576; 2.01792E-5; 8.1005
46.508787; 2.01990E-5; 8.1588
46.874998; 2.02179E-5; 8.2247
47.241209; 2.02360E-5; 8.2995
47.607420; 2.02547E-5; 8.3831
47.973631; 2.02742E-5; 8.4718
48.339841; 2.02932E-5; 8.5597
48.706052; 2.03069E-5; 8.6489
49.072263; 2.03144E-5; 8.7431
49.438474; 2.03191E-5; 8.8419
49.804685; 2.03267E-5; 8.9382
50.170896; 2.03346E-5; 9.0189
50.537107; 2.03337E-5; 9.0796
50.903318; 2.03165E-5; 9.1326
51.269529; 2.02891E-5; 9.1949
51.635740; 2.02670E-5; 9.2722
52.001951; 2.02632E-5; 9.3472
52.368161; 2.02718E-5; 9.3920
52.734372; 2.02739E-5; 9.4021
53.100583; 2.02545E-5; 9.4059
53.466794; 2.02255E-5; 9.4433
53.833005; 2.02206E-5; 9.5255
54.199216; 2.02652E-5; 9.6100
54.565427; 2.03439E-5; 9.6361
54.931638; 2.04034E-5; 9.5904
55.297849; 2.03993E-5; 9.5400
55.664060; 2.03476E-5; 9.5907
56.030271; 2.03291E-5; 9.7863
56.396481; 2.04225E-5; 10.0412
56.762692; 2.06210E-5; 10.1927
57.128903; 2.08063E-5; 10.1487
57.495114; 2.08339E-5; 10.0054
57.861325; 2.06688E-5; 10.0164
58.227536; 2.04612E-5; 10.4052
58.593747; 2.04695E-5; 11.1446
58.959958; 2.08675E-5; 11.8843
59.326169; 2.15749E-5; 12.1659
59.692380; 2.22757E-5; 11.7811
60.058591; 2.26001E-5; 10.9122
60.424801; 2.23787E-5; 10.0136
60.791012; 2.17448E-5; 9.5392
61.157223; 2.10523E-5; 9.7015
61.523434; 2.06296E-5; 10.3346
61.889645; 2.05801E-5; 11.0202
62.255856; 2.07587E-5; 11.4060
62.622067; 2.09232E-5; 11.4377
62.988278; 2.09226E-5; 11.3118
63.354489; 2.07787E-5; 11.2643
63.720700; 2.06234E-5; 11.3908
64.086910; 2.05674E-5; 11.6081
64.453121; 2.06159E-5; 11.7634
64.819332; 2.06917E-5; 11.7806
65.185543; 2.07156E-5; 11.7063
65.551754; 2.06725E-5; 11.6462
65.917965; 2.06094E-5; 11.6682
66.284176; 2.05836E-5; 11.7563
66.650387; 2.06118E-5; 11.8458
67.016598; 2.06659E-5; 11.8896
67.382809; 2.07055E-5; 11.8941
67.749020; 2.07170E-5; 11.9029
68.115230; 2.07162E-5; 11.9496
68.481441; 2.07276E-5; 12.0330
68.847652; 2.07598E-5; 12.1267
69.213863; 2.08035E-5; 12.2072
69.580074; 2.08424E-5; 12.2721
69.946285; 2.08681E-5; 12.3343
70.312496; 2.08838E-5; 12.4052
70.678707; 2.08964E-5; 12.4863
71.044918; 2.09097E-5; 12.5709
71.411129; 2.09213E-5; 12.6523
71.777340; 2.09306E-5; 12.7288
72.143550; 2.09372E-5; 12.8005
72.509761; 2.09414E-5; 12.8677
72.875972; 2.09417E-5; 12.9316
73.242183; 2.09383E-5; 12.9954
73.608394; 2.09339E-5; 13.0631
73.974605; 2.09336E-5; 13.1353
74.340816; 2.09417E-5; 13.2061
74.707027; 2.09577E-5; 13.2686
75.073238; 2.09760E-5; 13.3195
75.439449; 2.09902E-5; 13.3625
75.805660; 2.10002E-5; 13.4059
76.171870; 2.10101E-5; 13.4550
76.538081; 2.10242E-5; 13.5093
76.904292; 2.10417E-5; 13.5651
77.270503; 2.10599E-5; 13.6201
77.636714; 2.10761E-5; 13.6778
78.002925; 2.10913E-5; 13.7430
78.369136; 2.11097E-5; 13.8154
78.735347; 2.11339E-5; 13.8900
79.101558; 2.11624E-5; 13.9589
79.467769; 2.11893E-5; 14.0185
79.833980; 2.12087E-5; 14.0723
80.200190; 2.12187E-5; 14.1274
80.566401; 2.12226E-5; 14.1888
80.932612; 2.12258E-5; 14.2566
81.298823; 2.12320E-5; 14.3269
81.665034; 2.12393E-5; 14.3961
82.031245; 2.12459E-5; 14.4644
82.397456; 2.12524E-5; 14.5331
82.763667; 2.12613E-5; 14.6037
83.129878; 2.12749E-5; 14.6729
83.496089; 2.12924E-5; 14.7363
83.862300; 2.13105E-5; 14.7916
84.228510; 2.13251E-5; 14.8414
84.594721; 2.13352E-5; 14.8925
84.960932; 2.13438E-5; 14.9504
85.327143; 2.13558E-5; 15.0149
85.693354; 2.13745E-5; 15.0818
86.059565; 2.13990E-5; 15.1449
86.425776; 2.14254E-5; 15.2005
86.791987; 2.14485E-5; 15.2500
87.158198; 2.14651E-5; 15.2986
87.524409; 2.14755E-5; 15.3520
87.890619; 2.14842E-5; 15.4131
88.256830; 2.14958E-5; 15.4809
88.623041; 2.15116E-5; 15.5522
88.989252; 2.15309E-5; 15.6229
89.355463; 2.15524E-5; 15.6900
89.721674; 2.15742E-5; 15.7525
90.087885; 2.15945E-5; 15.8103
90.454096; 2.16117E-5; 15.8641
90.820307; 2.16249E-5; 15.9170
91.186518; 2.16346E-5; 15.9718
91.552729; 2.16426E-5; 16.0306
91.918939; 2.16514E-5; 16.0937
92.285150; 2.16632E-5; 16.1594
92.651361; 2.16788E-5; 16.2248
93.017572; 2.16971E-5; 16.2871
93.383783; 2.17166E-5; 16.3452
93.749994; 2.17353E-5; 16.4001
94.116205; 2.17517E-5; 16.4534
94.482416; 2.17654E-5; 16.5067
94.848627; 2.17783E-5; 16.5620
95.214838; 2.17926E-5; 16.6191
95.581049; 2.18085E-5; 16.6775
95.947259; 2.18255E-5; 16.7365
96.313470; 2.18432E-5; 16.7957
96.679681; 2.18608E-5; 16.8548
97.045892; 2.18778E-5; 16.9143
97.412103; 2.18945E-5; 16.9743
97.778314; 2.19113E-5; 17.0359
98.144525; 2.19289E-5; 17.0984
98.510736; 2.19475E-5; 17.1608
98.876947; 2.19665E-5; 17.2227
99.243158; 2.19857E-5; 17.2841
99.609369; 2.20048E-5; 17.3452
99.975579; 2.20238E-5; 17.4059
100.341790; 2.20433E-5; 17.4651
100.708001; 2.20629E-5; 17.5224
101.074212; 2.20818E-5; 17.5773
101.440423; 2.20985E-5; 17.6305
101.806634; 2.21121E-5; 17.6835
102.172845; 2.21229E-5; 17.7390
102.539056; 2.21332E-5; 17.7990
102.905267; 2.21457E-5; 17.8629
103.271478; 2.21623E-5; 17.9274
103.637689; 2.21824E-5; 17.9885
104.003899; 2.22033E-5; 18.0442
104.370110; 2.22200E-5; 18.0958
104.736321; 2.22330E-5; 18.1474
105.102532; 2.22445E-5; 18.2032
105.468743; 2.22589E-5; 18.2638
105.834954; 2.22774E-5; 18.3269
106.201165; 2.23001E-5; 18.3884
106.567376; 2.23249E-5; 18.4457
106.933587; 2.23489E-5; 18.4994
107.299798; 2.23706E-5; 18.5518
107.666009; 2.23903E-5; 18.6055
108.032219; 2.24088E-5; 18.6623
108.398430; 2.24274E-5; 18.7221
108.764641; 2.24474E-5; 18.7852
109.130852; 2.24696E-5; 18.8498
109.497063; 2.24941E-5; 18.9134
109.863274; 2.25190E-5; 18.9730
110.229485; 2.25404E-5; 19.0285
110.595696; 2.25561E-5; 19.0846
110.961907; 2.25681E-5; 19.1471
111.328118; 2.25821E-5; 19.2171
111.694328; 2.26030E-5; 19.2879
112.060539; 2.26288E-5; 19.3497
112.426750; 2.26513E-5; 19.3983
112.792961; 2.26630E-5; 19.4420
113.159172; 2.26654E-5; 19.4945
113.525383; 2.26703E-5; 19.5617
113.891594; 2.26889E-5; 19.6337
114.257805; 2.27205E-5; 19.6910
114.624016; 2.27497E-5; 19.7238
114.990227; 2.27600E-5; 19.7460
115.356438; 2.27505E-5; 19.7860
115.722648; 2.27460E-5; 19.8610
116.088859; 2.27749E-5; 19.9532
116.455070; 2.28417E-5; 20.0176
116.821281; 2.29130E-5; 20.0195
117.187492; 2.29402E-5; 19.9738
117.553703; 2.28995E-5; 19.9465
117.919914; 2.28216E-5; 20.0105
118.286125; 2.27786E-5; 20.1845
118.652336; 2.28337E-5; 20.4047
119.018547; 2.29894E-5; 20.5600
119.384758; 2.31766E-5; 20.5720
119.750968; 2.32985E-5; 20.4557
120.117179; 2.32976E-5; 20.3101
120.483390; 2.31949E-5; 20.2514
120.849601; 2.30727E-5; 20.3359
121.215812; 2.30149E-5; 20.5269
121.582023; 2.30510E-5; 20.7285
121.948234; 2.31454E-5; 20.8590
122.314445; 2.32331E-5; 20.9031
122.680656; 2.32713E-5; 20.9077
123.046867; 2.32636E-5; 20.9328
123.413078; 2.32461E-5; 21.0045
123.779288; 2.32513E-5; 21.1049
124.145499; 2.32841E-5; 21.1965
124.511710; 2.33253E-5; 21.2580
124.877921; 2.33531E-5; 21.2973
125.244132; 2.33627E-5; 21.3373
125.610343; 2.33664E-5; 21.3934
125.976554; 2.33790E-5; 21.4613
126.342765; 2.34041E-5; 21.5251
126.708976; 2.34336E-5; 21.5745
127.075187; 2.34565E-5; 21.6126
127.441398; 2.34693E-5; 21.6515
