* Measurement data measured by REW V5.40 beta 112
* Source: SSL 2+, MICROPHONE, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 7, 2026, 10:40:23 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L RDSL-HILN-1225-B001 (HOT) Jan 7
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz); W(W); Phase(degrees)
20.141602; 2.33075E-5; 1.3878
20.507812; 2.36178E-5; 1.7052
20.874023; 2.38437E-5; 2.0962
21.240234; 2.40065E-5; 2.5015
21.606445; 2.41109E-5; 2.8930
21.972656; 2.41555E-5; 3.2612
22.338867; 2.41465E-5; 3.5856
22.705078; 2.40931E-5; 3.8825
23.071289; 2.40098E-5; 4.1485
23.437500; 2.39101E-5; 4.3694
23.803711; 2.38030E-5; 4.5541
24.169922; 2.36951E-5; 4.6960
24.536132; 2.35911E-5; 4.7978
24.902343; 2.34948E-5; 4.8734
25.268554; 2.34108E-5; 4.9199
25.634765; 2.33428E-5; 4.9488
26.000976; 2.32924E-5; 4.9686
26.367187; 2.32597E-5; 4.9735
26.733398; 2.32433E-5; 4.9790
27.099609; 2.32416E-5; 4.9870
27.465820; 2.32530E-5; 4.9968
27.832031; 2.32735E-5; 5.0198
28.198242; 2.33022E-5; 5.0536
28.564452; 2.33369E-5; 5.0993
28.930663; 2.33742E-5; 5.1595
29.296874; 2.34098E-5; 5.2257
29.663085; 2.34423E-5; 5.3020
30.029296; 2.34708E-5; 5.3878
30.395507; 2.34964E-5; 5.4754
30.761718; 2.35170E-5; 5.5682
31.127929; 2.35322E-5; 5.6610
31.494140; 2.35412E-5; 5.7499
31.860351; 2.35441E-5; 5.8390
32.226562; 2.35413E-5; 5.9252
32.592772; 2.35358E-5; 6.0095
32.958983; 2.35310E-5; 6.0923
33.325194; 2.35311E-5; 6.1665
33.691405; 2.35327E-5; 6.2356
34.057616; 2.35338E-5; 6.3003
34.423827; 2.35325E-5; 6.3602
34.790038; 2.35310E-5; 6.4229
35.156249; 2.35314E-5; 6.4885
35.522460; 2.35363E-5; 6.5567
35.888671; 2.35473E-5; 6.6275
36.254882; 2.35644E-5; 6.6938
36.621092; 2.35822E-5; 6.7542
36.987303; 2.35940E-5; 6.8113
37.353514; 2.35965E-5; 6.8681
37.719725; 2.35921E-5; 6.9360
38.085936; 2.35873E-5; 7.0165
38.452147; 2.35878E-5; 7.1021
38.818358; 2.35965E-5; 7.1853
39.184569; 2.36091E-5; 7.2577
39.550780; 2.36193E-5; 7.3205
39.916991; 2.36245E-5; 7.3824
40.283201; 2.36292E-5; 7.4462
40.649412; 2.36387E-5; 7.5125
41.015623; 2.36547E-5; 7.5763
41.381834; 2.36732E-5; 7.6320
41.748045; 2.36900E-5; 7.6863
42.114256; 2.37051E-5; 7.7455
42.480467; 2.37228E-5; 7.8120
42.846678; 2.37459E-5; 7.8847
43.212889; 2.37722E-5; 7.9576
43.579100; 2.37961E-5; 8.0313
43.945311; 2.38145E-5; 8.1118
44.311521; 2.38296E-5; 8.2008
44.677732; 2.38453E-5; 8.2979
45.043943; 2.38620E-5; 8.3954
45.410154; 2.38755E-5; 8.4865
45.776365; 2.38787E-5; 8.5746
46.142576; 2.38711E-5; 8.6641
46.508787; 2.38579E-5; 8.7547
46.874998; 2.38448E-5; 8.8412
47.241209; 2.38302E-5; 8.9158
47.607420; 2.38113E-5; 8.9793
47.973631; 2.37902E-5; 9.0371
48.339841; 2.37769E-5; 9.0876
48.706052; 2.37737E-5; 9.1238
49.072263; 2.37734E-5; 9.1392
49.438474; 2.37640E-5; 9.1437
49.804685; 2.37496E-5; 9.1642
50.170896; 2.37539E-5; 9.2151
50.537107; 2.38023E-5; 9.2783
50.903318; 2.38914E-5; 9.3128
51.269529; 2.39808E-5; 9.2986
51.635740; 2.40239E-5; 9.2758
52.001951; 2.40223E-5; 9.3221
52.368161; 2.40369E-5; 9.4770
52.734372; 2.41388E-5; 9.6863
53.100583; 2.43199E-5; 9.8303
53.466794; 2.44741E-5; 9.8436
53.833005; 2.44788E-5; 9.8074
54.199216; 2.43264E-5; 9.9011
54.565427; 2.41661E-5; 10.2366
54.931638; 2.41834E-5; 10.7041
55.297849; 2.44031E-5; 11.0151
55.664060; 2.46082E-5; 10.9672
56.030271; 2.45021E-5; 10.6751
56.396481; 2.40002E-5; 10.5321
56.762692; 2.33887E-5; 10.8948
57.128903; 2.31340E-5; 11.6758
57.495114; 2.34582E-5; 12.2458
57.861325; 2.40300E-5; 11.9277
58.227536; 2.41070E-5; 10.6435
58.593747; 2.30909E-5; 9.0868
58.959958; 2.10920E-5; 8.4363
59.326169; 1.90139E-5; 9.7615
59.692380; 1.80358E-5; 13.0386
60.058591; 1.88052E-5; 16.5208
60.424801; 2.09730E-5; 18.1479
60.791012; 2.33960E-5; 17.4104
61.157223; 2.48986E-5; 15.2146
61.523434; 2.50034E-5; 12.8664
61.889645; 2.41357E-5; 11.4120
62.255856; 2.31969E-5; 11.2198
62.622067; 2.28854E-5; 11.8185
62.988278; 2.32779E-5; 12.3256
63.354489; 2.39307E-5; 12.2287
63.720700; 2.43347E-5; 11.6826
64.086910; 2.43168E-5; 11.1804
64.453121; 2.40915E-5; 11.0894
64.819332; 2.39958E-5; 11.3963
65.185543; 2.41807E-5; 11.7884
65.551754; 2.45241E-5; 11.9790
65.917965; 2.47901E-5; 11.9422
66.284176; 2.48510E-5; 11.8623
66.650387; 2.47678E-5; 11.9261
67.016598; 2.46936E-5; 12.1631
67.382809; 2.47189E-5; 12.4512
67.749020; 2.48140E-5; 12.6556
68.115230; 2.48834E-5; 12.7426
68.481441; 2.48678E-5; 12.7800
68.847652; 2.47866E-5; 12.8487
69.213863; 2.47035E-5; 12.9686
69.580074; 2.46607E-5; 13.0978
69.946285; 2.46513E-5; 13.1875
70.312496; 2.46434E-5; 13.2267
70.678707; 2.46187E-5; 13.2420
71.044918; 2.45858E-5; 13.2625
71.411129; 2.45630E-5; 13.2947
71.777340; 2.45611E-5; 13.3291
72.143550; 2.45763E-5; 13.3581
72.509761; 2.46026E-5; 13.3860
72.875972; 2.46397E-5; 13.4204
73.242183; 2.46910E-5; 13.4593
73.608394; 2.47530E-5; 13.4933
73.974605; 2.48115E-5; 13.5189
74.340816; 2.48528E-5; 13.5460
74.707027; 2.48752E-5; 13.5943
75.073238; 2.48901E-5; 13.6747
75.439449; 2.49112E-5; 13.7813
75.805660; 2.49456E-5; 13.8963
76.171870; 2.49879E-5; 14.0033
76.538081; 2.50271E-5; 14.0968
76.904292; 2.50545E-5; 14.1811
77.270503; 2.50697E-5; 14.2614
77.636714; 2.50762E-5; 14.3402
78.002925; 2.50768E-5; 14.4168
78.369136; 2.50734E-5; 14.4894
78.735347; 2.50679E-5; 14.5594
79.101558; 2.50631E-5; 14.6269
79.467769; 2.50614E-5; 14.6911
79.833980; 2.50643E-5; 14.7510
80.200190; 2.50705E-5; 14.8063
80.566401; 2.50809E-5; 14.8582
80.932612; 2.50967E-5; 14.9075
81.298823; 2.51195E-5; 14.9542
81.665034; 2.51455E-5; 14.9987
82.031245; 2.51719E-5; 15.0433
82.397456; 2.51977E-5; 15.0914
82.763667; 2.52246E-5; 15.1468
83.129878; 2.52544E-5; 15.2092
83.496089; 2.52873E-5; 15.2760
83.862300; 2.53212E-5; 15.3455
84.228510; 2.53542E-5; 15.4178
84.594721; 2.53868E-5; 15.4934
84.960932; 2.54206E-5; 15.5701
85.327143; 2.54549E-5; 15.6419
85.693354; 2.54848E-5; 15.7055
86.059565; 2.55038E-5; 15.7626
86.425776; 2.55094E-5; 15.8212
86.791987; 2.55060E-5; 15.8893
87.158198; 2.55023E-5; 15.9686
