* Measurement data measured by REW V5.40 beta 112
* Source: SSL 2+, MICROPHONE, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 8, 2026, 11:08:52 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L RDSL-HILN-1225-N003 Jan 8
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz); W(W); Phase(degrees)
20.141602; 1.29916E-5; -2.8473
20.507812; 1.31308E-5; -2.5330
20.874023; 1.32259E-5; -2.1543
21.240234; 1.32891E-5; -1.7702
21.606445; 1.33228E-5; -1.4070
21.972656; 1.33264E-5; -1.0720
22.338867; 1.33035E-5; -0.7825
22.705078; 1.32604E-5; -0.5202
23.071289; 1.32059E-5; -0.2884
23.437500; 1.31474E-5; -0.1023
23.803711; 1.30886E-5; 0.0457
24.169922; 1.30317E-5; 0.1499
24.536132; 1.29778E-5; 0.2161
24.902343; 1.29286E-5; 0.2612
25.268554; 1.28873E-5; 0.2837
25.634765; 1.28561E-5; 0.2940
26.000976; 1.28352E-5; 0.2984
26.367187; 1.28233E-5; 0.2908
26.733398; 1.28187E-5; 0.2881
27.099609; 1.28206E-5; 0.2944
27.465820; 1.28295E-5; 0.3089
27.832031; 1.28440E-5; 0.3401
28.198242; 1.28632E-5; 0.3814
28.564452; 1.28848E-5; 0.4319
28.930663; 1.29056E-5; 0.4946
29.296874; 1.29229E-5; 0.5627
29.663085; 1.29365E-5; 0.6411
30.029296; 1.29463E-5; 0.7294
30.395507; 1.29535E-5; 0.8190
30.761718; 1.29572E-5; 0.9127
31.127929; 1.29576E-5; 1.0042
31.494140; 1.29543E-5; 1.0883
31.860351; 1.29472E-5; 1.1675
32.226562; 1.29357E-5; 1.2384
32.592772; 1.29211E-5; 1.3043
32.958983; 1.29061E-5; 1.3681
33.325194; 1.28949E-5; 1.4232
33.691405; 1.28869E-5; 1.4704
34.057616; 1.28809E-5; 1.5074
34.423827; 1.28746E-5; 1.5332
34.790038; 1.28685E-5; 1.5583
35.156249; 1.28643E-5; 1.5871
35.522460; 1.28651E-5; 1.6203
35.888671; 1.28726E-5; 1.6563
36.254882; 1.28864E-5; 1.6862
36.621092; 1.29015E-5; 1.7089
36.987303; 1.29133E-5; 1.7310
37.353514; 1.29202E-5; 1.7590
37.719725; 1.29238E-5; 1.8051
38.085936; 1.29277E-5; 1.8697
38.452147; 1.29340E-5; 1.9446
38.818358; 1.29433E-5; 2.0230
39.184569; 1.29533E-5; 2.0961
39.550780; 1.29602E-5; 2.1629
39.916991; 1.29616E-5; 2.2285
40.283201; 1.29576E-5; 2.2950
40.649412; 1.29507E-5; 2.3655
41.015623; 1.29430E-5; 2.4381
41.381834; 1.29362E-5; 2.5044
