* Measurement data measured by REW V5.40 beta 112
* Source: SSL 2+, MICROPHONE, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 8, 2026, 11:04:53 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L RDSL-HILN-1225-N001 (HOT) Jan 8
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz); W(W); Phase(degrees)
20.141602; 1.39617E-5; -2.7514
20.507812; 1.41073E-5; -2.4429
20.874023; 1.42061E-5; -2.0723
21.240234; 1.42711E-5; -1.6977
21.606445; 1.43046E-5; -1.3445
21.972656; 1.43063E-5; -1.0188
22.338867; 1.42804E-5; -0.7370
22.705078; 1.42338E-5; -0.4811
23.071289; 1.41763E-5; -0.2545
23.437500; 1.41154E-5; -0.0732
23.803711; 1.40546E-5; 0.0706
24.169922; 1.39955E-5; 0.1714
24.536132; 1.39390E-5; 0.2359
24.902343; 1.38869E-5; 0.2819
25.268554; 1.38426E-5; 0.3088
25.634765; 1.38093E-5; 0.3270
26.000976; 1.37879E-5; 0.3419
26.367187; 1.37774E-5; 0.3445
26.733398; 1.37758E-5; 0.3490
27.099609; 1.37809E-5; 0.3565
27.465820; 1.37913E-5; 0.3670
27.832031; 1.38046E-5; 0.3919
28.198242; 1.38204E-5; 0.4292
28.564452; 1.38382E-5; 0.4799
28.930663; 1.38569E-5; 0.5466
29.296874; 1.38749E-5; 0.6187
29.663085; 1.38918E-5; 0.6970
30.029296; 1.39059E-5; 0.7791
30.395507; 1.39164E-5; 0.8573
30.761718; 1.39213E-5; 0.9381
31.127929; 1.39205E-5; 1.0199
31.494140; 1.39151E-5; 1.1010
31.860351; 1.39069E-5; 1.1850
32.226562; 1.38970E-5; 1.2660
32.592772; 1.38869E-5; 1.3422
32.958983; 1.38776E-5; 1.4127
33.325194; 1.38709E-5; 1.4703
33.691405; 1.38642E-5; 1.5197
34.057616; 1.38566E-5; 1.5632
34.423827; 1.38479E-5; 1.6004
34.790038; 1.38399E-5; 1.6376
35.156249; 1.38336E-5; 1.6736
35.522460; 1.38291E-5; 1.7080
35.888671; 1.38264E-5; 1.7452
36.254882; 1.38267E-5; 1.7848
36.621092; 1.38307E-5; 1.8290
36.987303; 1.38389E-5; 1.8765
37.353514; 1.38508E-5; 1.9195
37.719725; 1.38637E-5; 1.9591
38.085936; 1.38746E-5; 1.9958
38.452147; 1.38808E-5; 2.0333
38.818358; 1.38839E-5; 2.0796
39.184569; 1.38864E-5; 2.1354
39.550780; 1.38905E-5; 2.1988
39.916991; 1.38963E-5; 2.2672
40.283201; 1.39033E-5; 2.3340
40.649412; 1.39101E-5; 2.3983
41.015623; 1.39152E-5; 2.4594
41.381834; 1.39173E-5; 2.5149
41.748045; 1.39154E-5; 2.5695
42.114256; 1.39095E-5; 2.6255
42.480467; 1.39015E-5; 2.6842
42.846678; 1.38935E-5; 2.7459
43.212889; 1.38868E-5; 2.8050
43.579100; 1.38804E-5; 2.8578
