* Measurement data measured by REW V5.40 beta 112
* Source: SSL 2+, MICROPHONE, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 7, 2026, 10:08:50 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: RDSL-T50SL-1025-B002
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz); W(W); Phase(degrees)
20.141602; 1.33674E-5; 0.4106
20.507812; 1.35777E-5; 0.7598
20.874023; 1.37372E-5; 1.1939
21.240234; 1.38581E-5; 1.6492
21.606445; 1.39414E-5; 2.0939
21.972656; 1.39850E-5; 2.5165
22.338867; 1.39915E-5; 2.8960
22.705078; 1.39665E-5; 3.2478
23.071289; 1.39193E-5; 3.5664
23.437500; 1.38580E-5; 3.8336
23.803711; 1.37877E-5; 4.0554
24.169922; 1.37118E-5; 4.2240
24.536132; 1.36332E-5; 4.3436
24.902343; 1.35559E-5; 4.4295
25.268554; 1.34847E-5; 4.4789
25.634765; 1.34235E-5; 4.5018
26.000976; 1.33739E-5; 4.5052
26.367187; 1.33360E-5; 4.4843
26.733398; 1.33093E-5; 4.4581
27.099609; 1.32941E-5; 4.4319
27.465820; 1.32911E-5; 4.4074
27.832031; 1.32991E-5; 4.3956
28.198242; 1.33170E-5; 4.3935
28.564452; 1.33424E-5; 4.4028
28.930663; 1.33720E-5; 4.4288
29.296874; 1.34023E-5; 4.4663
29.663085; 1.34324E-5; 4.5214
30.029296; 1.34615E-5; 4.5941
30.395507; 1.34894E-5; 4.6757
30.761718; 1.35140E-5; 4.7686
31.127929; 1.35338E-5; 4.8669
31.494140; 1.35471E-5; 4.9665
31.860351; 1.35539E-5; 5.0710
32.226562; 1.35544E-5; 5.1760
32.592772; 1.35506E-5; 5.2796
32.958983; 1.35442E-5; 5.3785
33.325194; 1.35369E-5; 5.4635
33.691405; 1.35257E-5; 5.5379
34.057616; 1.35104E-5; 5.6053
34.423827; 1.34924E-5; 5.6669
34.790038; 1.34762E-5; 5.7269
35.156249; 1.34644E-5; 5.7791
35.522460; 1.34564E-5; 5.8178
35.888671; 1.34495E-5; 5.8467
36.254882; 1.34425E-5; 5.8708
36.621092; 1.34364E-5; 5.9017
36.987303; 1.34351E-5; 5.9457
37.353514; 1.34424E-5; 5.9949
37.719725; 1.34586E-5; 6.0445
38.085936; 1.34796E-5; 6.0874
38.452147; 1.34997E-5; 6.1237
38.818358; 1.35164E-5; 6.1638
39.184569; 1.35303E-5; 6.2144
39.550780; 1.35434E-5; 6.2793
39.916991; 1.35570E-5; 6.3588
40.283201; 1.35720E-5; 6.4463
40.649412; 1.35880E-5; 6.5384
41.015623; 1.36036E-5; 6.6306
41.381834; 1.36165E-5; 6.7167
41.748045; 1.36240E-5; 6.7991
42.114256; 1.36245E-5; 6.8808
42.480467; 1.36192E-5; 6.9654
42.846678; 1.36114E-5; 7.0556
43.212889; 1.36042E-5; 7.1444
43.579100; 1.35980E-5; 7.2244
43.945311; 1.35907E-5; 7.2927
44.311521; 1.35807E-5; 7.3496
44.677732; 1.35694E-5; 7.4028
45.043943; 1.35605E-5; 7.4532
45.410154; 1.35572E-5; 7.4946
45.776365; 1.35570E-5; 7.5239
46.142576; 1.35566E-5; 7.5433
46.508787; 1.35554E-5; 7.5622
46.874998; 1.35576E-5; 7.5890
47.241209; 1.35673E-5; 7.6206
47.607420; 1.35842E-5; 7.6502
47.973631; 1.36036E-5; 7.6769
48.339841; 1.36230E-5; 7.7080
48.706052; 1.36430E-5; 7.7563
49.072263; 1.36680E-5; 7.8205
49.438474; 1.36970E-5; 7.8872
49.804685; 1.37225E-5; 7.9501
50.170896; 1.37357E-5; 8.0224
50.537107; 1.37388E-5; 8.1292
50.903318; 1.37472E-5; 8.2775
51.269529; 1.37745E-5; 8.4317
51.635740; 1.38109E-5; 8.5401
52.001951; 1.38263E-5; 8.5878
52.368161; 1.37954E-5; 8.6248
52.734372; 1.37316E-5; 8.7309
53.100583; 1.36822E-5; 8.9271
53.466794; 1.36872E-5; 9.1279
53.833005; 1.37316E-5; 9.2024
54.199216; 1.37470E-5; 9.1036
54.565427; 1.36733E-5; 8.9437
54.931638; 1.35298E-5; 8.9165
55.297849; 1.34202E-5; 9.1083
55.664060; 1.34455E-5; 9.3663
56.030271; 1.35982E-5; 9.3895
56.396481; 1.37375E-5; 9.0190
56.762692; 1.37028E-5; 8.4485
