* Measurement data measured by REW V5.40 beta 118
* Source: SSL 2+, MICROPHONE, L, volume: no control MINUS R
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 28, 2026, 10:31:09 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L RDSL-SKLK-0326-B006-HW-UB Mar 28
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz); W(W); Phase(degrees)
20.141602; 3.22291E-6; 0.4727
20.507813; 3.23930E-6; 0.5702
20.874023; 3.25487E-6; 0.7381
21.240234; 3.27139E-6; 0.9527
21.606445; 3.28663E-6; 1.2013
21.972656; 3.29698E-6; 1.4729
22.338867; 3.30014E-6; 1.7374
22.705078; 3.29572E-6; 1.9971
23.071289; 3.28571E-6; 2.2350
23.437500; 3.27312E-6; 2.4243
23.803711; 3.26084E-6; 2.5672
24.169922; 3.25106E-6; 2.6581
24.536133; 3.24499E-6; 2.7089
24.902344; 3.24291E-6; 2.7479
25.268555; 3.24449E-6; 2.7858
25.634766; 3.24865E-6; 2.8429
26.000977; 3.25384E-6; 2.9294
26.367188; 3.25843E-6; 3.0345
26.733399; 3.26127E-6; 3.1631
27.099610; 3.26203E-6; 3.3022
27.465821; 3.26105E-6; 3.4353
27.832032; 3.25875E-6; 3.5606
28.198243; 3.25612E-6; 3.6686
28.564454; 3.25404E-6; 3.7610
28.930665; 3.25315E-6; 3.8468
29.296876; 3.25362E-6; 3.9249
29.663087; 3.25550E-6; 4.0065
30.029298; 3.25830E-6; 4.0976
30.395509; 3.26157E-6; 4.1949
30.761720; 3.26455E-6; 4.3043
31.127931; 3.26689E-6; 4.4188
31.494142; 3.26834E-6; 4.5294
31.860353; 3.26875E-6; 4.6355
32.226563; 3.26808E-6; 4.7324
32.592774; 3.26700E-6; 4.8234
32.958985; 3.26646E-6; 4.9120
33.325196; 3.26740E-6; 4.9921
33.691407; 3.26916E-6; 5.0673
34.057618; 3.27081E-6; 5.1413
34.423829; 3.27151E-6; 5.2189
34.790040; 3.27168E-6; 5.3121
35.156251; 3.27214E-6; 5.4189
35.522462; 3.27360E-6; 5.5297
35.888673; 3.27591E-6; 5.6361
36.254884; 3.27843E-6; 5.7298
36.621095; 3.28033E-6; 5.8165
36.987306; 3.28161E-6; 5.9057
37.353517; 3.28297E-6; 5.9980
37.719728; 3.28486E-6; 6.0936
38.085939; 3.28681E-6; 6.1853
38.452150; 3.28762E-6; 6.2688
38.818361; 3.28682E-6; 6.3514
39.184572; 3.28500E-6; 6.4380
39.550783; 3.28358E-6; 6.5297
39.916994; 3.28381E-6; 6.6217
40.283205; 3.28623E-6; 6.7018
40.649416; 3.29016E-6; 6.7681
41.015627; 3.29430E-6; 6.8270
41.381838; 3.29753E-6; 6.8901
41.748049; 3.29940E-6; 6.9759
42.114260; 3.30035E-6; 7.0916
42.480471; 3.30129E-6; 7.2315
42.846682; 3.30293E-6; 7.3783
43.212893; 3.30506E-6; 7.5053
43.579103; 3.30650E-6; 7.5942
43.945314; 3.30601E-6; 7.6452
44.311525; 3.30364E-6; 7.6740
44.677736; 3.30136E-6; 7.7073
45.043947; 3.30190E-6; 7.7611
45.410158; 3.30693E-6; 7.8349
45.776369; 3.31489E-6; 7.9256
46.142580; 3.32258E-6; 8.0350
46.508791; 3.32743E-6; 8.1720
46.875002; 3.32929E-6; 8.3368
47.241213; 3.32927E-6; 8.5032
47.607424; 3.32763E-6; 8.6288
47.973635; 3.32292E-6; 8.6832
48.339846; 3.31446E-6; 8.6715
48.706057; 3.30431E-6; 8.6350
49.072268; 3.29817E-6; 8.6141
49.438479; 3.30115E-6; 8.6217
49.804690; 3.31382E-6; 8.6536
50.170901; 3.33104E-6; 8.7150
50.537112; 3.34663E-6; 8.8359
50.903323; 3.35820E-6; 9.0394
51.269534; 3.36695E-6; 9.2924
51.635745; 3.37156E-6; 9.5064
52.001956; 3.36528E-6; 9.6023
52.368167; 3.34126E-6; 9.5863
52.734378; 3.30425E-6; 9.5566
53.100589; 3.27387E-6; 9.6011
53.466800; 3.27350E-6; 9.6868
53.833011; 3.30998E-6; 9.6698
54.199222; 3.36352E-6; 9.4587
54.565432; 3.40025E-6; 9.1813
54.931643; 3.40184E-6; 9.1552
55.297854; 3.38588E-6; 9.6365
55.664065; 3.39100E-6; 10.5233
56.030276; 3.43303E-6; 11.3085
56.396487; 3.47346E-6; 11.4628
56.762698; 3.44380E-6; 10.9185
57.128909; 3.31348E-6; 10.1718
57.495120; 3.14029E-6; 9.9361
57.861331; 3.04938E-6; 10.4809
58.227542; 3.15115E-6; 11.0732
58.593753; 3.45607E-6; 10.4250
58.959964; 3.84467E-6; 7.9432
59.326175; 4.11629E-6; 4.2056
59.692386; 4.10723E-6; 0.5294
60.058597; 3.80930E-6; -1.5415
60.424808; 3.40112E-6; -0.7153
60.791019; 3.13432E-6; 3.0949
61.157230; 3.15249E-6; 7.9759
61.523441; 3.38766E-6; 11.4127
61.889652; 3.63168E-6; 12.5830
62.255863; 3.71022E-6; 12.2896
62.622074; 3.60226E-6; 11.7390
62.988285; 3.41824E-6; 11.7247
63.354496; 3.28765E-6; 12.2583
63.720707; 3.26549E-6; 12.7354
64.086918; 3.31902E-6; 12.6275
64.453129; 3.37900E-6; 11.9909
64.819340; 3.40166E-6; 11.3234
65.185551; 3.39393E-6; 11.0983
65.551762; 3.39217E-6; 11.4184
65.917972; 3.42003E-6; 11.9992
66.284183; 3.46559E-6; 12.4620
66.650394; 3.49536E-6; 12.6462
67.016605; 3.48711E-6; 12.6538
67.382816; 3.44797E-6; 12.6718
67.749027; 3.40540E-6; 12.7880
68.115238; 3.38296E-6; 12.9390
68.481449; 3.38577E-6; 13.0107
68.847660; 3.40326E-6; 12.9648
69.213871; 3.42256E-6; 12.8682
69.580082; 3.43786E-6; 12.8218
69.946293; 3.45020E-6; 12.8774
70.312504; 3.46128E-6; 13.0137
70.678715; 3.46963E-6; 13.1775
71.044926; 3.47201E-6; 13.3302
71.411137; 3.46729E-6; 13.4611
71.777348; 3.45865E-6; 13.5712
72.143559; 3.45066E-6; 13.6537
72.509770; 3.44615E-6; 13.6996
72.875981; 3.44501E-6; 13.7138
73.242192; 3.44611E-6; 13.7191
73.608403; 3.44895E-6; 13.7452
73.974614; 3.45391E-6; 13.8090
74.340825; 3.46127E-6; 13.9051
74.707036; 3.47031E-6; 14.0148
75.073247; 3.47925E-6; 14.1158
75.439458; 3.48586E-6; 14.1938
75.805669; 3.48884E-6; 14.2482
76.171880; 3.48805E-6; 14.2915
76.538091; 3.48488E-6; 14.3444
76.904301; 3.48213E-6; 14.4241
77.270512; 3.48304E-6; 14.5304
77.636723; 3.48915E-6; 14.6454
78.002934; 3.49892E-6; 14.7447
78.369145; 3.50846E-6; 14.8166
78.735356; 3.51409E-6; 14.8732
79.101567; 3.51495E-6; 14.9376
79.467778; 3.51321E-6; 15.0236
79.833989; 3.51199E-6; 15.1233
80.200200; 3.51248E-6; 15.2147
80.566411; 3.51367E-6; 15.2844
80.932622; 3.51405E-6; 15.3399
81.298833; 3.51380E-6; 15.4017
81.665044; 3.51462E-6; 15.4822
82.031255; 3.51840E-6; 15.5738
82.397466; 3.52495E-6; 15.6553
82.763677; 3.53180E-6; 15.7146
83.129888; 3.53623E-6; 15.7584
