* Measurement data measured by REW V5.40 beta 112
* Source: SSL 2+, MICROPHONE, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 8, 2026, 10:23:13 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L RDSL-SKLK-1225-N001 Jan 8
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz); W(W); Phase(degrees)
20.141602; 9.39282E-6; -3.3147
20.507812; 9.51565E-6; -2.9711
20.874023; 9.60355E-6; -2.5564
21.240234; 9.66510E-6; -2.1295
21.606445; 9.70203E-6; -1.7178
21.972656; 9.71427E-6; -1.3311
22.338867; 9.70442E-6; -0.9901
22.705078; 9.67646E-6; -0.6796
23.071289; 9.63645E-6; -0.4035
23.437500; 9.58991E-6; -0.1770
23.803711; 9.54042E-6; 0.0081
24.169922; 9.49053E-6; 0.1448
24.536132; 9.44194E-6; 0.2370
24.902343; 9.39640E-6; 0.3000
25.268554; 9.35629E-6; 0.3322
25.634765; 9.32363E-6; 0.3452
26.000976; 9.29927E-6; 0.3468
26.367187; 9.28305E-6; 0.3312
26.733398; 9.27413E-6; 0.3151
27.099609; 9.27178E-6; 0.3022
27.465820; 9.27556E-6; 0.2934
27.832031; 9.28412E-6; 0.2996
28.198242; 9.29669E-6; 0.3180
28.564452; 9.31180E-6; 0.3501
28.930663; 9.32781E-6; 0.4002
29.296874; 9.34315E-6; 0.4605
29.663085; 9.35745E-6; 0.5336
30.029296; 9.37002E-6; 0.6166
30.395507; 9.38028E-6; 0.7001
30.761718; 9.38639E-6; 0.7886
31.127929; 9.38810E-6; 0.8795
31.494140; 9.38620E-6; 0.9701
31.860351; 9.38191E-6; 1.0615
32.226562; 9.37573E-6; 1.1456
32.592772; 9.36786E-6; 1.2190
32.958983; 9.35831E-6; 1.2828
33.325194; 9.34829E-6; 1.3345
33.691405; 9.33775E-6; 1.3820
34.057616; 9.32819E-6; 1.4274
34.423827; 9.32076E-6; 1.4663
34.790038; 9.31666E-6; 1.4996
35.156249; 9.31496E-6; 1.5239
35.522460; 9.31408E-6; 1.5409
35.888671; 9.31305E-6; 1.5607
36.254882; 9.31283E-6; 1.5885
36.621092; 9.31489E-6; 1.6303
36.987303; 9.32103E-6; 1.6855
37.353514; 9.33189E-6; 1.7429
37.719725; 9.34572E-6; 1.7981
38.085936; 9.35893E-6; 1.8465
38.452147; 9.36761E-6; 1.8900
38.818358; 9.37100E-6; 1.9401
39.184569; 9.37085E-6; 2.0023
39.550780; 9.37005E-6; 2.0760
39.916991; 9.37019E-6; 2.1552
40.283201; 9.37092E-6; 2.2280
40.649412; 9.37024E-6; 2.2907
41.015623; 9.36643E-6; 2.3457
41.381834; 9.35970E-6; 2.3953
41.748045; 9.35189E-6; 2.4448
42.114256; 9.34484E-6; 2.4910
42.480467; 9.33905E-6; 2.5292
42.846678; 9.33398E-6; 2.5601
43.212889; 9.32930E-6; 2.5857
43.579100; 9.32578E-6; 2.6104
43.945311; 9.32469E-6; 2.6362
44.311521; 9.32644E-6; 2.6596
44.677732; 9.33039E-6; 2.6823
45.043943; 9.33574E-6; 2.7075
45.410154; 9.34302E-6; 2.7375
45.776365; 9.35220E-6; 2.7748
46.142576; 9.36267E-6; 2.8161
46.508787; 9.37257E-6; 2.8587
46.874998; 9.38043E-6; 2.9063
47.241209; 9.38563E-6; 2.9632
47.607420; 9.38951E-6; 3.0316
47.973631; 9.39321E-6; 3.1071
48.339841; 9.39662E-6; 3.1796
48.706052; 9.39675E-6; 3.2491
49.072263; 9.39251E-6; 3.3201
49.438474; 9.38589E-6; 3.3952
49.804685; 9.38101E-6; 3.4672
50.170896; 9.37748E-6; 3.5191
50.537107; 9.37007E-6; 3.5430
50.903318; 9.35358E-6; 3.5550
51.269529; 9.33146E-6; 3.5825
51.635740; 9.31491E-6; 3.6372
52.001951; 9.31478E-6; 3.6931
52.368161; 9.32844E-6; 3.7020
52.734372; 9.34017E-6; 3.6463
53.100583; 9.33379E-6; 3.5672
53.466794; 9.31226E-6; 3.5410
53.833005; 9.30019E-6; 3.6098
54.199216; 9.32391E-6; 3.7241
54.565427; 9.38302E-6; 3.7759
54.931638; 9.44263E-6; 3.7047
55.297849; 9.46114E-6; 3.5764
55.664060; 9.43245E-6; 3.5521
56.030271; 9.40266E-6; 3.7433
56.396481; 9.43363E-6; 4.0768
56.762692; 9.53999E-6; 4.3203
57.128903; 9.65524E-6; 4.2886
57.495114; 9.67377E-6; 4.0583
57.861325; 9.54691E-6; 3.9796
58.227536; 9.35484E-6; 4.4441
58.593747; 9.27741E-6; 5.5289
58.959958; 9.46828E-6; 6.7799
59.326169; 9.92004E-6; 7.4565
59.692380; 1.04407E-5; 7.1213
60.058591; 1.07608E-5; 5.9332
60.424801; 1.07133E-5; 4.4957
60.791012; 1.03388E-5; 3.4927
61.157223; 9.85682E-6; 3.3537
61.523434; 9.50978E-6; 3.9943
61.889645; 9.40848E-6; 4.8691
62.255856; 9.48807E-6; 5.4011
62.622067; 9.59110E-6; 5.4107
62.988278; 9.59790E-6; 5.1280
63.354489; 9.50083E-6; 4.9079
63.720700; 9.37948E-6; 4.9429
64.086910; 9.31605E-6; 5.1590
64.453121; 9.32903E-6; 5.3369
64.819332; 9.37456E-6; 5.3325
65.185543; 9.39640E-6; 5.1807
65.551754; 9.37511E-6; 5.0274
65.917965; 9.33545E-6; 4.9863
66.284176; 9.31561E-6; 5.0537
66.650387; 9.33136E-6; 5.1409
67.016598; 9.36744E-6; 5.1702
67.382809; 9.39673E-6; 5.1387
67.749020; 9.40687E-6; 5.1044
68.115230; 9.40559E-6; 5.1197
68.481441; 9.40879E-6; 5.1881
68.847652; 9.42356E-6; 5.2731
69.213863; 9.44430E-6; 5.3393
69.580074; 9.46020E-6; 5.3822
69.946285; 9.46571E-6; 5.4221
70.312496; 9.46380E-6; 5.4779
70.678707; 9.46082E-6; 5.5510
71.044918; 9.46011E-6; 5.6272
71.411129; 9.45984E-6; 5.6931
71.777340; 9.45777E-6; 5.7460
72.143550; 9.45280E-6; 5.7907
72.509761; 9.44602E-6; 5.8326
72.875972; 9.43866E-6; 5.8745
73.242183; 9.43227E-6; 5.9162
73.608394; 9.42817E-6; 5.9568
73.974605; 9.42760E-6; 5.9934
74.340816; 9.43060E-6; 6.0198
74.707027; 9.43535E-6; 6.0328
75.073238; 9.43859E-6; 6.0347
75.439449; 9.43784E-6; 6.0358
75.805660; 9.43487E-6; 6.0480
76.171870; 9.43353E-6; 6.0760
76.538081; 9.43678E-6; 6.1140
76.904292; 9.44418E-6; 6.1518
77.270503; 9.45277E-6; 6.1833
77.636714; 9.45938E-6; 6.2117
78.002925; 9.46325E-6; 6.2452
78.369136; 9.46606E-6; 6.2875
78.735347; 9.46962E-6; 6.3363
79.101558; 9.47418E-6; 6.3849
79.467769; 9.47794E-6; 6.4291
79.833980; 9.47929E-6; 6.4708
80.200190; 9.47765E-6; 6.5146
80.566401; 9.47477E-6; 6.5629
80.932612; 9.47261E-6; 6.6136
81.298823; 9.47228E-6; 6.6620
81.665034; 9.47245E-6; 6.7048
82.031245; 9.47210E-6; 6.7429
82.397456; 9.47128E-6; 6.7777
82.763667; 9.47073E-6; 6.8114
83.129878; 9.47099E-6; 6.8428
83.496089; 9.47164E-6; 6.8702
83.862300; 9.47176E-6; 6.8947
84.228510; 9.47078E-6; 6.9199
84.594721; 9.46935E-6; 6.9509
84.960932; 9.46922E-6; 6.9895
85.327143; 9.47194E-6; 7.0324
85.693354; 9.47796E-6; 7.0742
86.059565; 9.48598E-6; 7.1095
86.425776; 9.49371E-6; 7.1367
86.791987; 9.49906E-6; 7.1595
87.158198; 9.50104E-6; 7.1842
87.524409; 9.50057E-6; 7.2159
87.890619; 9.50010E-6; 7.2559
88.256830; 9.50166E-6; 7.3006
88.623041; 9.50491E-6; 7.3443
88.989252; 9.50849E-6; 7.3832
89.355463; 9.51087E-6; 7.4178
89.721674; 9.51155E-6; 7.4519
90.087885; 9.51115E-6; 7.4885
90.454096; 9.51079E-6; 7.5275
