* Measurement data measured by REW V5.40 beta 118
* Source: SSL 2+, MICROPHONE, L, volume: no control MINUS R
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 28, 2026, 10:33:28 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L RDSL-SKLK-0326-N006-HW-UB Mar 28
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz); W(W); Phase(degrees)
20.141602; 2.04096E-6; -1.3102
20.507813; 2.05397E-6; -1.2488
20.874023; 2.06739E-6; -1.0990
21.240234; 2.08162E-6; -0.8832
21.606445; 2.09449E-6; -0.6190
21.972656; 2.10306E-6; -0.3246
22.338867; 2.10547E-6; -0.0387
22.705078; 2.10147E-6; 0.2338
23.071289; 2.09261E-6; 0.4708
23.437500; 2.08133E-6; 0.6448
23.803711; 2.07009E-6; 0.7597
24.169922; 2.06090E-6; 0.8132
24.536133; 2.05494E-6; 0.8214
24.902344; 2.05251E-6; 0.8156
25.268555; 2.05322E-6; 0.8101
25.634766; 2.05612E-6; 0.8281
26.000977; 2.05994E-6; 0.8812
26.367188; 2.06348E-6; 0.9586
26.733399; 2.06587E-6; 1.0622
27.099610; 2.06677E-6; 1.1762
27.465821; 2.06627E-6; 1.2826
27.832032; 2.06462E-6; 1.3800
28.198243; 2.06257E-6; 1.4601
28.564454; 2.06084E-6; 1.5249
28.930665; 2.05997E-6; 1.5825
29.296876; 2.06003E-6; 1.6312
29.663087; 2.06099E-6; 1.6824
30.029298; 2.06246E-6; 1.7422
30.395509; 2.06410E-6; 1.8082
30.761720; 2.06532E-6; 1.8868
31.127931; 2.06584E-6; 1.9727
31.494142; 2.06558E-6; 2.0596
31.860353; 2.06473E-6; 2.1476
32.226563; 2.06363E-6; 2.2288
32.592774; 2.06276E-6; 2.2996
32.958985; 2.06241E-6; 2.3582
33.325196; 2.06272E-6; 2.4007
33.691407; 2.06314E-6; 2.4389
34.057618; 2.06350E-6; 2.4832
34.423829; 2.06389E-6; 2.5383
34.790040; 2.06467E-6; 2.6075
35.156251; 2.06571E-6; 2.6818
35.522462; 2.06646E-6; 2.7541
35.888673; 2.06644E-6; 2.8267
36.254884; 2.06580E-6; 2.9004
36.621095; 2.06512E-6; 2.9775
36.987306; 2.06500E-6; 3.0535
37.353517; 2.06561E-6; 3.1166
37.719728; 2.06648E-6; 3.1681
38.085939; 2.06698E-6; 3.2140
38.452150; 2.06681E-6; 3.2629
38.818361; 2.06631E-6; 3.3240
39.184572; 2.06586E-6; 3.3936
39.550783; 2.06553E-6; 3.4648
39.916994; 2.06514E-6; 3.5324
40.283205; 2.06481E-6; 3.5908
40.649416; 2.06480E-6; 3.6398
41.015627; 2.06533E-6; 3.6795
41.381838; 2.06627E-6; 3.7123
41.748049; 2.06747E-6; 3.7539
42.114260; 2.06903E-6; 3.8176
42.480471; 2.07133E-6; 3.9063
42.846682; 2.07420E-6; 4.0088
43.212893; 2.07635E-6; 4.1032
43.579103; 2.07581E-6; 4.1799
43.945314; 2.07162E-6; 4.2480
44.311525; 2.06510E-6; 4.3189
44.677736; 2.05939E-6; 4.3921
