* Measurement data measured by REW V5.40 beta 112
* Source: SSL 2+, MICROPHONE, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 8, 2026, 11:29:46 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L RDSL-T60VS-1125-N001 Jan 8
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz); W(W); Phase(degrees)
20.141602; 1.92809E-5; -2.3711
20.507812; 1.94616E-5; -2.0747
20.874023; 1.95787E-5; -1.7184
21.240234; 1.96516E-5; -1.3587
21.606445; 1.96851E-5; -1.0212
21.972656; 1.96793E-5; -0.7130
22.338867; 1.96396E-5; -0.4512
22.705078; 1.95742E-5; -0.2175
23.071289; 1.94952E-5; -0.0131
23.437500; 1.94129E-5; 0.1488
23.803711; 1.93331E-5; 0.2777
24.169922; 1.92586E-5; 0.3681
24.536132; 1.91908E-5; 0.4256
24.902343; 1.91312E-5; 0.4666
25.268554; 1.90830E-5; 0.4899
25.634765; 1.90488E-5; 0.5065
26.000976; 1.90290E-5; 0.5229
26.367187; 1.90223E-5; 0.5314
26.733398; 1.90259E-5; 0.5462
27.099609; 1.90377E-5; 0.5682
27.465820; 1.90562E-5; 0.5956
27.832031; 1.90782E-5; 0.6379
28.198242; 1.91029E-5; 0.6912
28.564452; 1.91286E-5; 0.7552
28.930663; 1.91532E-5; 0.8319
29.296874; 1.91740E-5; 0.9114
29.663085; 1.91903E-5; 0.9959
30.029296; 1.92007E-5; 1.0842
30.395507; 1.92058E-5; 1.1699
30.761718; 1.92047E-5; 1.2591
31.127929; 1.91992E-5; 1.3481
31.494140; 1.91913E-5; 1.4318
31.860351; 1.91817E-5; 1.5109
32.226562; 1.91689E-5; 1.5802
32.592772; 1.91530E-5; 1.6420
32.958983; 1.91361E-5; 1.7014
33.325194; 1.91235E-5; 1.7551
33.691405; 1.91153E-5; 1.8059
34.057616; 1.91114E-5; 1.8514
34.423827; 1.91085E-5; 1.8874
34.790038; 1.91055E-5; 1.9216
35.156249; 1.91022E-5; 1.9583
35.522460; 1.91015E-5; 2.0021
