* Measurement data measured by REW V5.40 beta 112
* Source: SSL 2+, MICROPHONE, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 7, 2026, 10:59:23 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L RDSL-TRVS-1025-B001 Jan 7
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz); W(W); Phase(degrees)
20.141602; 1.57555E-5; 1.6344
20.507812; 1.59351E-5; 1.9295
20.874023; 1.60592E-5; 2.2924
21.240234; 1.61437E-5; 2.6673
21.606445; 1.61934E-5; 3.0275
21.972656; 1.62090E-5; 3.3622
22.338867; 1.61942E-5; 3.6492
22.705078; 1.61536E-5; 3.9045
23.071289; 1.60955E-5; 4.1274
23.437500; 1.60284E-5; 4.3076
23.803711; 1.59592E-5; 4.4565
24.169922; 1.58934E-5; 4.5673
24.536132; 1.58340E-5; 4.6411
24.902343; 1.57819E-5; 4.6899
25.268554; 1.57382E-5; 4.7113
25.634765; 1.57036E-5; 4.7190
26.000976; 1.56786E-5; 4.7251
26.367187; 1.56640E-5; 4.7264
26.733398; 1.56608E-5; 4.7388
27.099609; 1.56696E-5; 4.7613
27.465820; 1.56895E-5; 4.7882
27.832031; 1.57164E-5; 4.8253
28.198242; 1.57461E-5; 4.8684
28.564452; 1.57742E-5; 4.9215
28.930663; 1.57983E-5; 4.9931
29.296874; 1.58178E-5; 5.0787
29.663085; 1.58357E-5; 5.1805
30.029296; 1.58533E-5; 5.2917
30.395507; 1.58704E-5; 5.3975
30.761718; 1.58826E-5; 5.4983
31.127929; 1.58867E-5; 5.5912
31.494140; 1.58820E-5; 5.6770
31.860351; 1.58702E-5; 5.7636
32.226562; 1.58543E-5; 5.8485
32.592772; 1.58385E-5; 5.9308
32.958983; 1.58263E-5; 6.0085
33.325194; 1.58209E-5; 6.0716
33.691405; 1.58191E-5; 6.1216
34.057616; 1.58179E-5; 6.1596
34.423827; 1.58143E-5; 6.1894
34.790038; 1.58102E-5; 6.2246
35.156249; 1.58098E-5; 6.2703
35.522460; 1.58180E-5; 6.3251
35.888671; 1.58368E-5; 6.3840
36.254882; 1.58634E-5; 6.4355
36.621092; 1.58897E-5; 6.4795
36.987303; 1.59086E-5; 6.5265
37.353514; 1.59191E-5; 6.5864
37.719725; 1.59261E-5; 6.6707
38.085936; 1.59355E-5; 6.7748
38.452147; 1.59487E-5; 6.8843
38.818358; 1.59631E-5; 6.9907
39.184569; 1.59739E-5; 7.0891
39.550780; 1.59784E-5; 7.1831
39.916991; 1.59768E-5; 7.2779
40.283201; 1.59722E-5; 7.3700
40.649412; 1.59663E-5; 7.4560
41.015623; 1.59587E-5; 7.5331
41.381834; 1.59490E-5; 7.5987
41.748045; 1.59386E-5; 7.6579
42.114256; 1.59295E-5; 7.7106
42.480467; 1.59236E-5; 7.7552
42.846678; 1.59206E-5; 7.7940
43.212889; 1.59211E-5; 7.8290
43.579100; 1.59265E-5; 7.8642
43.945311; 1.59384E-5; 7.9014
44.311521; 1.59563E-5; 7.9362
44.677732; 1.59771E-5; 7.9720
45.043943; 1.59980E-5; 8.0156
45.410154; 1.60203E-5; 8.0738
45.776365; 1.60461E-5; 8.1503
46.142576; 1.60764E-5; 8.2381
46.508787; 1.61071E-5; 8.3284
46.874998; 1.61327E-5; 8.4221
47.241209; 1.61501E-5; 8.5250
47.607420; 1.61626E-5; 8.6413
