* Measurement data measured by REW V5.40 beta 112
* Source: SSL 2+, MICROPHONE, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 8, 2026, 11:15:18 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L RDSL-TRVS-1025-N001 Jan 8
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz); W(W); Phase(degrees)
20.141602; 1.71803E-5; -2.2316
20.507812; 1.73477E-5; -1.9225
20.874023; 1.74587E-5; -1.5528
21.240234; 1.75295E-5; -1.1804
21.606445; 1.75638E-5; -0.8308
21.972656; 1.75612E-5; -0.5106
22.338867; 1.75266E-5; -0.2370
22.705078; 1.74679E-5; 0.0088
23.071289; 1.73963E-5; 0.2247
23.437500; 1.73212E-5; 0.3969
23.803711; 1.72479E-5; 0.5346
24.169922; 1.71790E-5; 0.6321
24.536132; 1.71160E-5; 0.6952
24.902343; 1.70602E-5; 0.7408
25.268554; 1.70152E-5; 0.7678
25.634765; 1.69836E-5; 0.7873
26.000976; 1.69657E-5; 0.8054
26.367187; 1.69600E-5; 0.8145
26.733398; 1.69637E-5; 0.8298
27.099609; 1.69750E-5; 0.8531
27.465820; 1.69928E-5; 0.8832
27.832031; 1.70145E-5; 0.9291
28.198242; 1.70388E-5; 0.9855
28.564452; 1.70633E-5; 1.0524
28.930663; 1.70852E-5; 1.1333
29.296874; 1.71028E-5; 1.2199
29.663085; 1.71165E-5; 1.3144
30.029296; 1.71263E-5; 1.4130
30.395507; 1.71319E-5; 1.5059
30.761718; 1.71306E-5; 1.5982
31.127929; 1.71227E-5; 1.6886
31.494140; 1.71105E-5; 1.7753
31.860351; 1.70971E-5; 1.8603
32.226562; 1.70836E-5; 1.9357
32.592772; 1.70700E-5; 1.9994
32.958983; 1.70557E-5; 2.0545
33.325194; 1.70435E-5; 2.1004
33.691405; 1.70334E-5; 2.1456
34.057616; 1.70279E-5; 2.1909
34.423827; 1.70271E-5; 2.2307
34.790038; 1.70307E-5; 2.2675
35.156249; 1.70355E-5; 2.3021
35.522460; 1.70404E-5; 2.3409
35.888671; 1.70472E-5; 2.3929
36.254882; 1.70608E-5; 2.4558
36.621092; 1.70824E-5; 2.5245
36.987303; 1.71091E-5; 2.5912
37.353514; 1.71348E-5; 2.6470
37.719725; 1.71528E-5; 2.6988
38.085936; 1.71594E-5; 2.7540
38.452147; 1.71552E-5; 2.8191
38.818358; 1.71466E-5; 2.8995
39.184569; 1.71394E-5; 2.9886
39.550780; 1.71359E-5; 3.0765
39.916991; 1.71334E-5; 3.1561
40.283201; 1.71282E-5; 3.2214
40.649412; 1.71172E-5; 3.2775
41.015623; 1.71011E-5; 3.3318
41.381834; 1.70844E-5; 3.3855
41.748045; 1.70722E-5; 3.4394
42.114256; 1.70663E-5; 3.4861
42.480467; 1.70647E-5; 3.5201
42.846678; 1.70635E-5; 3.5456
43.212889; 1.70612E-5; 3.5700
43.579100; 1.70609E-5; 3.6016
43.945311; 1.70672E-5; 3.6426
44.311521; 1.70821E-5; 3.6850
44.677732; 1.71027E-5; 3.7251
45.043943; 1.71241E-5; 3.7637
45.410154; 1.71438E-5; 3.8059
45.776365; 1.71609E-5; 3.8594
46.142576; 1.71770E-5; 3.9240
46.508787; 1.71919E-5; 3.9947
46.874998; 1.72044E-5; 4.0693
47.241209; 1.72121E-5; 4.1468
47.607420; 1.72151E-5; 4.2281
47.973631; 1.72147E-5; 4.3104
48.339841; 1.72108E-5; 4.3857
48.706052; 1.71991E-5; 4.4546
49.072263; 1.71780E-5; 4.5236
49.438474; 1.71530E-5; 4.5982
49.804685; 1.71351E-5; 4.6733
50.170896; 1.71279E-5; 4.7280
50.537107; 1.71221E-5; 4.7455
50.903318; 1.71024E-5; 4.7361
51.269529; 1.70668E-5; 4.7339
51.635740; 1.70342E-5; 4.7695
52.001951; 1.70333E-5; 4.8316
52.368161; 1.70722E-5; 4.8659
52.734372; 1.71253E-5; 4.8289
53.100583; 1.71482E-5; 4.7412
53.466794; 1.71244E-5; 4.6897
53.833005; 1.70915E-5; 4.7576
54.199216; 1.71177E-5; 4.9315
54.565427; 1.72356E-5; 5.0897
54.931638; 1.73934E-5; 5.1053
55.297849; 1.74841E-5; 4.9818
55.664060; 1.74390E-5; 4.8872
56.030271; 1.73113E-5; 5.0251
56.396481; 1.72492E-5; 5.4338
56.762692; 1.73662E-5; 5.8953
57.128903; 1.76052E-5; 6.0919
57.495114; 1.77434E-5; 5.9174
57.861325; 1.75653E-5; 5.6444
58.227536; 1.70839E-5; 5.7894
58.593747; 1.66076E-5; 6.7429
58.959958; 1.65604E-5; 8.3389
59.326169; 1.71620E-5; 9.7809
59.692380; 1.82264E-5; 10.2311
60.058591; 1.92332E-5; 9.4609
60.424801; 1.96637E-5; 7.9261
60.791012; 1.93302E-5; 6.3926
61.157223; 1.84919E-5; 5.5452
61.523434; 1.76462E-5; 5.6405
61.889645; 1.71852E-5; 6.3523
62.255856; 1.71694E-5; 7.0233
62.622067; 1.73671E-5; 7.2070
62.988278; 1.74859E-5; 6.9411
63.354489; 1.73950E-5; 6.5721
63.720700; 1.71776E-5; 6.4168
64.086910; 1.70089E-5; 6.5350
64.453121; 1.69925E-5; 6.7416
64.819332; 1.70939E-5; 6.8186
65.185543; 1.71991E-5; 6.7086
65.551754; 1.72258E-5; 6.5274
65.917965; 1.71832E-5; 6.4294
66.284176; 1.71427E-5; 6.4719
66.650387; 1.71613E-5; 6.5911
67.016598; 1.72350E-5; 6.6841
67.382809; 1.73140E-5; 6.7057
67.749020; 1.73571E-5; 6.6938
68.115230; 1.73621E-5; 6.7134
68.481441; 1.73572E-5; 6.7934
68.847652; 1.73671E-5; 6.9100
69.213863; 1.73932E-5; 7.0202
69.580074; 1.74187E-5; 7.1023
69.946285; 1.74291E-5; 7.1657
70.312496; 1.74238E-5; 7.2290
70.678707; 1.74115E-5; 7.2993
71.044918; 1.73986E-5; 7.3692
71.411129; 1.73837E-5; 7.4310
71.777340; 1.73664E-5; 7.4863
72.143550; 1.73501E-5; 7.5400
72.509761; 1.73412E-5; 7.5896
72.875972; 1.73402E-5; 7.6248
73.242183; 1.73408E-5; 7.6385
73.608394; 1.73340E-5; 7.6381
73.974605; 1.73172E-5; 7.6440
74.340816; 1.72988E-5; 7.6727
74.707027; 1.72919E-5; 7.7260
75.073238; 1.73041E-5; 7.7874
75.439449; 1.73308E-5; 7.8373
75.805660; 1.73622E-5; 7.8677
76.171870; 1.73882E-5; 7.8859
76.538081; 1.74056E-5; 7.9066
76.904292; 1.74172E-5; 7.9400
77.270503; 1.74277E-5; 7.9866
77.636714; 1.74394E-5; 8.0414
78.002925; 1.74515E-5; 8.0994
78.369136; 1.74622E-5; 8.1579
78.735347; 1.74709E-5; 8.2178
79.101558; 1.74779E-5; 8.2784
79.467769; 1.74838E-5; 8.3374
79.833980; 1.74878E-5; 8.3929
80.200190; 1.74884E-5; 8.4439
80.566401; 1.74855E-5; 8.4917
80.932612; 1.74805E-5; 8.5382
81.298823; 1.74760E-5; 8.5843
81.665034; 1.74722E-5; 8.6293
82.031245; 1.74696E-5; 8.6725
82.397456; 1.74683E-5; 8.7129
82.763667; 1.74687E-5; 8.7520
83.129878; 1.74712E-5; 8.7899
83.496089; 1.74759E-5; 8.8267
83.862300; 1.74825E-5; 8.8617
84.228510; 1.74899E-5; 8.8945
84.594721; 1.74966E-5; 8.9268
84.960932; 1.75017E-5; 8.9621
85.327143; 1.75059E-5; 9.0034
85.693354; 1.75117E-5; 9.0528
86.059565; 1.75217E-5; 9.1077
86.425776; 1.75364E-5; 9.1618
86.791987; 1.75532E-5; 9.2093
87.158198; 1.75667E-5; 9.2488
87.524409; 1.75730E-5; 9.2851
87.890619; 1.75729E-5; 9.3256
88.256830; 1.75708E-5; 9.3751
88.623041; 1.75705E-5; 9.4328
88.989252; 1.75744E-5; 9.4928
89.355463; 1.75820E-5; 9.5483
89.721674; 1.75907E-5; 9.5965
90.087885; 1.75980E-5; 9.6380
90.454096; 1.76031E-5; 9.6749
90.820307; 1.76059E-5; 9.7101
91.186518; 1.76072E-5; 9.7450
91.552729; 1.76070E-5; 9.7808
91.918939; 1.76061E-5; 9.8196
92.285150; 1.76060E-5; 9.8630
92.651361; 1.76088E-5; 9.9107
93.017572; 1.76161E-5; 9.9596
93.383783; 1.76277E-5; 10.0053
93.749994; 1.76412E-5; 10.0449
94.116205; 1.76529E-5; 10.0786
94.482416; 1.76602E-5; 10.1096
94.848627; 1.76639E-5; 10.1433
95.214838; 1.76665E-5; 10.1824
95.581049; 1.76700E-5; 10.2273
95.947259; 1.76757E-5; 10.2759
96.313470; 1.76835E-5; 10.3250
96.679681; 1.76922E-5; 10.3720
97.045892; 1.77004E-5; 10.4164
97.412103; 1.77068E-5; 10.4589
97.778314; 1.77117E-5; 10.5021
98.144525; 1.77160E-5; 10.5466
98.510736; 1.77207E-5; 10.5915
